
[00:00:00.000 --> 00:00:02.500]  能夠一同的敬拜是好得無比
[00:00:02.500 --> 00:00:06.200]  剛才我們在師哥的領袖當中
[00:00:06.200 --> 00:00:09.700]  耶穌基督是那個真光
[00:00:09.700 --> 00:00:12.200]  科牧師帶領我們禱告
[00:00:12.200 --> 00:00:15.200]  是將耶穌基督的福音傳開去
[00:00:15.200 --> 00:00:19.200]  耶穌基督真的是那個答案
[00:00:19.200 --> 00:00:22.800]  科牧師 你說得很對
[00:00:22.800 --> 00:00:28.700]  因為我們在等候室那裡預備來崇拜的時候
[00:00:29.200 --> 00:00:32.200]  我見到科牧師 我說 你來做主席嗎
[00:00:32.200 --> 00:00:35.000]  我說你很忙 你要做主席嗎
[00:00:35.000 --> 00:00:39.400]  因為科牧師在教會很多方面都是要打理的
[00:00:39.400 --> 00:00:44.000]  他跟我說 他說在崇拜當中可以休息
[00:00:44.000 --> 00:00:47.800]  剛才我更深的領袖
[00:00:47.800 --> 00:00:51.600]  真的很多的休息 好好的領袖
[00:00:51.600 --> 00:00:57.000]  能夠跟弟兄姊妹們能夠一同的在聖所當中一起敬拜
[00:00:57.500 --> 00:00:59.300]  一起休息 一起禱告
[00:00:59.300 --> 00:01:00.800]  是好得無比的
[00:01:00.800 --> 00:01:03.200]  感謝神給我們的恩惠
[00:01:03.200 --> 00:01:09.000]  在去年的9月11日
[00:01:09.000 --> 00:01:12.700]  我跟大家思想的一個講題是
[00:01:12.700 --> 00:01:14.000]  「解釋天賦世界」
[00:01:14.000 --> 00:01:17.500]  我們記得我們講整存的福音
[00:01:17.500 --> 00:01:19.700]  是強調耶穌基督的福音
[00:01:19.700 --> 00:01:22.100]  不單止關乎個人靈性的層面
[00:01:22.100 --> 00:01:25.900]  也是關乎生理 心理 社會的
[00:01:26.700 --> 00:01:29.800]  福音派的一位聖經學者
[00:01:29.800 --> 00:01:32.800]  Christopher Wright 他就說
[00:01:32.800 --> 00:01:38.700]  整存的宣教是肯定人靈魂得到的需要
[00:01:38.700 --> 00:01:41.700]  食物 清潔的水 空氣
[00:01:41.700 --> 00:01:47.100]  還需要有足夠的醫療 教育 經濟 政治 社會環境的資源
[00:01:47.100 --> 00:01:50.400]  讓人能夠去生活
[00:01:50.400 --> 00:01:54.700]  在當中我們講到生態的責任
[00:01:54.700 --> 00:01:58.900]  在那次講道當中 我們一起看創世記的第一章
[00:01:58.900 --> 00:02:01.000]  講到在創世之前
[00:02:01.000 --> 00:02:04.700]  這個世界是一個混沌的水域
[00:02:04.700 --> 00:02:09.100]  但是神是從這個混亂當中創造秩序
[00:02:09.100 --> 00:02:11.100]  神說有 就有
[00:02:11.100 --> 00:02:12.500]  厲害了
[00:02:12.500 --> 00:02:16.000]  而且有的是非常好
[00:02:16.000 --> 00:02:19.500]  在第一天神就說要有光 就有光
[00:02:19.500 --> 00:02:21.700]  第一天就是關乎光的創造
[00:02:21.700 --> 00:02:24.600]  第二天就是空氣的創造
[00:02:25.100 --> 00:02:27.600]  第三天是大地的創造
[00:02:27.600 --> 00:02:31.300]  第四天是日月升臣的創造
[00:02:31.300 --> 00:02:35.900]  第五天是鳥仔和魚的創造
[00:02:35.900 --> 00:02:39.100]  第六天神就說
[00:02:39.100 --> 00:02:45.700]  我們要照著我們的形象 按照我們的樣式做人 使它們管理
[00:02:45.700 --> 00:02:49.300]  管理海裡的魚 天空的鳥
[00:02:49.700 --> 00:02:55.800]  天地上的伸縮和全地 以及地上爬的 一起爬行的動物
[00:02:55.800 --> 00:02:58.800]  他這樣說 事就這樣成了
[00:02:58.800 --> 00:03:07.400]  神看一切所造的 看啊 都非常好
[00:03:07.400 --> 00:03:11.600]  第六天是造動物造人
[00:03:11.600 --> 00:03:15.000]  這個創造的故事向我們宣佈
[00:03:15.000 --> 00:03:17.500]  人類是受造物
[00:03:18.300 --> 00:03:22.400]  和其他的受造物 都是屬於主的
[00:03:22.400 --> 00:03:24.200]  屬於創造主的
[00:03:24.200 --> 00:03:29.900]  另外這個故事的肯定 就是神給人類有管理大地的責任
[00:03:29.900 --> 00:03:31.700]  管理大地是什麼意思呢
[00:03:31.700 --> 00:03:39.500]  管理就不是一種專橫的駕馭 而是關心 關顧
[00:03:39.500 --> 00:03:43.800]  所以聖經說 耶和華神在東方的伊甸
[00:03:44.000 --> 00:03:48.600]  栽了一個原子 把所造的人安置在那裡
[00:03:48.600 --> 00:03:51.200]  讓他做什麼呢 耕田
[00:03:51.200 --> 00:03:53.700]  耕耘看管
[00:03:53.700 --> 00:03:57.700]  所以人不單止是大地的管理人
[00:03:57.700 --> 00:03:59.500]  也是園丁
[00:03:59.500 --> 00:04:04.500]  是做護理 關心大地的工作
