
[00:00:00.000 --> 00:00:02.360]  今天我們繼續這個系列,好嗎?
[00:00:02.360 --> 00:00:04.160]  今天是第二部分,講到
[00:00:04.160 --> 00:00:06.920]  聖經裏面,特別是舊約裏面的一些節旗
[00:00:06.920 --> 00:00:10.640]  這些節旗都是一些時間的印象
[00:00:10.640 --> 00:00:14.640]  一些時間的標誌
[00:00:14.640 --> 00:00:16.640]  一些提醒
[00:00:16.640 --> 00:00:19.840]  讓我們知道,一年,四季裏面
[00:00:19.840 --> 00:00:21.840]  有些什麼值得我們去紀念
[00:00:21.840 --> 00:00:23.840]  有些什麼值得我們去想起
[00:00:23.840 --> 00:00:25.400]  跟上帝的關係
[00:00:25.400 --> 00:00:27.960]  但剛纔講到時間的問題
[00:00:27.960 --> 00:00:31.760]  什麼時候開關,什麼時候去旅遊
[00:00:31.760 --> 00:00:36.560]  或者讀書的,可能講到開學、放學等等
[00:00:36.560 --> 00:00:40.480]  我們生命裏面總是有一些時間的標籤
[00:00:40.480 --> 00:00:43.320]  一些標誌,一些提醒
[00:00:43.320 --> 00:00:46.680]  這些可能都是一些人生裏面一定會經歷的東西
[00:00:46.680 --> 00:00:48.840]  什麼時候是財務年,什麼時候出糧
[00:00:48.840 --> 00:00:51.640]  什麼時候會,你的公司裏面
[00:00:51.640 --> 00:00:54.640]  又可能有不同的轉變,不同的季度等等
[00:00:54.640 --> 00:00:58.320]  但是我們需要知道,聖經裏面
[00:00:58.320 --> 00:01:02.360]  一些的節旗,其實是在一年四季裏面
[00:01:02.360 --> 00:01:05.960]  給我們一些獨特的標記
[00:01:05.960 --> 00:01:10.000]  讓我們不要忘記上帝在我們生命裏面做的事
[00:01:10.000 --> 00:01:14.120]  所以我們不斷在這個系列裏面會講一些節旗
[00:01:14.120 --> 00:01:17.160]  我們曾經提過有三大節旗
[00:01:17.160 --> 00:01:20.720]  就是預節,大概四月左右的時間
[00:01:20.720 --> 00:01:24.680]  就是我們的「Good Friday」和「Pastoral Resurrection」
[00:01:24.680 --> 00:01:26.320]  Easter Sunday的時候
[00:01:26.320 --> 00:01:30.120]  然後過了好幾個禮拜,七個禮拜之後
