
[00:00:00.000 --> 00:00:06.540]  我們首先在講道之先有一個祈禱
[00:00:06.540 --> 00:00:11.960]  求聖靈都去掌管我們每一個的心思意念
[00:00:11.960 --> 00:00:17.360]  以致我們有聆聽的耳朵 開放的心
[00:00:17.360 --> 00:00:20.360]  求聖靈掌管我的心思意念
[00:00:20.360 --> 00:00:23.880]  讓我所講的 所傳遞的
[00:00:23.880 --> 00:00:27.720]  都是能夠造就人的訊息
[00:00:27.720 --> 00:00:31.480]  奉主耶穌基督 得聖命祈求 阿們
[00:00:31.480 --> 00:00:36.120]  弟兄姊妹 不知道你最近是否覺得
[00:00:36.120 --> 00:00:41.080]  好像整個世界很灰 很黑暗一樣
[00:00:41.080 --> 00:00:46.280]  是的 因為疫情已經散播到全世界
[00:00:46.280 --> 00:00:51.120]  確診個案已經每天增加超過一百萬
[00:00:51.120 --> 00:00:53.680]  我想當在過去兩個月前
[00:00:53.680 --> 00:00:56.560]  講到一百萬的時候 沒人會相信
[00:00:56.560 --> 00:00:58.400]  但是今天擺在我們眼前的
[00:00:58.400 --> 00:01:02.560]  卻是一百萬的數字不斷上升
[00:01:02.560 --> 00:01:06.680]  留學生很想回到香港 要搶購機票
[00:01:06.680 --> 00:01:09.560]  就算多貴 都要買
[00:01:09.560 --> 00:01:12.200]  但是回到香港又要隔離
[00:01:12.200 --> 00:01:17.200]  政府最近的班令 一家人出街都很早
[00:01:17.200 --> 00:01:20.440]  成為一個高危的動作
[00:01:20.440 --> 00:01:23.760]  各行各業都受到很大的考驗
[00:01:23.760 --> 00:01:26.120]  大家我們會不會覺得很無奈
[00:01:26.120 --> 00:01:28.400]  很辛苦
[00:01:28.400 --> 00:01:32.120]  好像很想在一個這麼灰的環境裏面
[00:01:32.120 --> 00:01:38.800]  即時能夠回到正常 重見光明的日子
[00:01:38.800 --> 00:01:44.040]  今天講到的經文是來自二弗所書五章一到二十一節
[00:01:44.040 --> 00:01:48.800]  剛才Eddie傳道都為我們讀了部分的經文
[00:01:48.800 --> 00:01:53.400]  新普及日本的副題是「活在光中」
[00:01:53.400 --> 00:01:57.520]  我們如何能夠在黑暗的世界活在光裏面呢?
[00:01:57.520 --> 00:02:01.440]  經文是以暗和光來作對比
[00:02:01.440 --> 00:02:06.080]  以前是暗昧的 如今是光明的
[00:02:06.080 --> 00:02:09.440]  提醒信徒在生命上的改變
[00:02:09.440 --> 00:02:15.080]  其實二弗所書頭四章都用了對比來提醒信徒
[00:02:15.080 --> 00:02:16.880]  你還記不記得在第二章說
[00:02:16.880 --> 00:02:21.440]  以前我們是遠離神的 現在是得親近
[00:02:21.440 --> 00:02:28.120]  然後在第四章就說到要脫去舊人 穿上新人
[00:02:28.120 --> 00:02:30.680]  藉著這些對比來提醒我們
[00:02:30.680 --> 00:02:37.520]  信主之後要有生命上很清晰的改變
[00:02:37.520 --> 00:02:39.520]  今天第五章一開始
[00:02:39.520 --> 00:02:44.120]  經文說「所以你們該效法神」
[00:02:44.120 --> 00:02:46.960]  一開始的時候用了「所以」
[00:02:46.960 --> 00:02:53.000]  「所以」這個連接詞是連接了第四章最後一段所說的
[00:02:53.000 --> 00:02:55.400]  第四章那段經文是說什麼呢?
[00:02:55.400 --> 00:02:59.000]  第四章二弗所書第四章二十五到三十二節的副題是
[00:02:59.000 --> 00:03:02.480]  「新生活的守則」
[00:03:02.480 --> 00:03:06.240]  當中講述到信徒在生命生活行為上
[00:03:06.240 --> 00:03:10.960]  應該有的一些行動
[00:03:10.960 --> 00:03:13.560]  新普及日本第五章第一節說
[00:03:13.560 --> 00:03:18.280]  「因此無論你們做什麼都要效法上帝」
[00:03:18.280 --> 00:03:23.480]  原來在第四章最後一段所說的任何的行動
[00:03:23.480 --> 00:03:26.600]  任何實際要做的
[00:03:26.600 --> 00:03:31.160]  都應該是以效法上帝作為依歸
[00:03:31.160 --> 00:03:34.400]  效法神跟跟從神有相同的意思
[00:03:34.400 --> 00:03:36.320]  在新約的教導裡面
[00:03:36.320 --> 00:03:38.720]  人不能夠直接認識神
[00:03:38.720 --> 00:03:41.600]  所以保羅在其他的書信上也說到
[00:03:41.600 --> 00:03:46.640]  效法基督又或者效法其他基督徒
[00:03:46.640 --> 00:03:48.440]  而不是效法神
[00:03:48.440 --> 00:03:50.960]  今天在這裡去講效法神
[00:03:50.960 --> 00:03:55.040]  或者我們說跟著神跟從神又是什麼意思呢?
[00:03:55.040 --> 00:03:59.200]  意思就是我們要效法上帝的屬性
[00:03:59.200 --> 00:04:03.840]  就是祂的聖見、祂的公義和祂的智慧
[00:04:03.840 --> 00:04:06.240]  你可能問這樣即是怎樣?
[00:04:06.240 --> 00:04:08.280]  要怎樣去效法?
[00:04:08.280 --> 00:04:11.200]  經文二弗所書第五章第一節說
[00:04:11.200 --> 00:04:15.440]  「好像蒙慈愛的兒女」
[00:04:15.440 --> 00:04:17.280]  新普教譯本這樣去譯
[00:04:17.280 --> 00:04:20.600]  「因為你們是祂親愛的兒女」
[00:04:20.600 --> 00:04:22.400]  所以我們這樣看的時候
[00:04:22.400 --> 00:04:24.320]  那裡是說不是效法
[00:04:24.320 --> 00:04:26.480]  是一些跟著做的方式
[00:04:26.480 --> 00:04:28.040]  不是一些規條
[00:04:28.040 --> 00:04:30.040]  是按照上帝的形象
[00:04:30.040 --> 00:04:31.280]  為什麼我這樣說呢?
[00:04:31.280 --> 00:04:34.600]  就是因為原來我們就是祂親生的兒女
[00:04:34.600 --> 00:04:39.000]  我們應該有上帝的那些DNA
[00:04:39.000 --> 00:04:44.280]  我們承傳了上帝應該有的屬性
[00:04:44.280 --> 00:04:46.760]  要學效耶穌基督的榜樣
[00:04:46.760 --> 00:04:49.280]  第五章第二節跟著說
[00:04:49.280 --> 00:04:57.320]  「愛我們,為我們捨了自己,當作輕鄉的公物和祭物獻與神」
[00:04:57.320 --> 00:04:58.520]  我們要學效基督
[00:04:58.520 --> 00:04:59.800]  是效祂那份的愛
[00:04:59.800 --> 00:05:02.560]  那份的愛是捨棄了自己
[00:05:02.560 --> 00:05:06.720]  當作了輕鄉的祭來獻
[00:05:06.720 --> 00:05:09.360]  所以這個是在說一個負上
[00:05:09.360 --> 00:05:10.760]  一個犧牲
[00:05:10.760 --> 00:05:13.600]  一個捨棄一份的愛
[00:05:13.600 --> 00:05:15.440]  新普及譯本這樣譯這段經文
[00:05:15.440 --> 00:05:22.480]  「你們要以基督為榜樣,讓生活充滿愛」
[00:05:22.480 --> 00:05:23.720]  兄弟姐妹
[00:05:23.720 --> 00:05:25.720]  在我們日常的生活裡面
[00:05:25.720 --> 00:05:27.440]  是否能夠充滿著愛呢?
[00:05:27.440 --> 00:05:30.040]  是否能夠在生活裡面有付出
[00:05:30.040 --> 00:05:31.560]  也有接受呢?
[00:05:31.560 --> 00:05:32.440]  在家庭
[00:05:32.440 --> 00:05:33.520]  在我們的職場
[00:05:33.520 --> 00:05:35.680]  在任何的境況裡面
[00:05:35.680 --> 00:05:39.960]  兄弟姐妹在我們日常和人接觸的圈子裡面
[00:05:39.960 --> 00:05:44.680]  和任何一個人的交往裡面
[00:05:44.680 --> 00:05:48.040]  我們都能夠以基督的愛
[00:05:48.040 --> 00:05:51.360]  讓生活充滿著愛
[00:05:51.360 --> 00:05:52.920]  我相信這份的愛
[00:05:52.920 --> 00:05:55.360]  在生活任何的細節裡面都充滿
[00:05:55.360 --> 00:05:56.960]  是需要我們去栽種
[00:05:56.960 --> 00:05:59.440]  去Cultivate
[00:05:59.440 --> 00:06:03.720]  我們需要有一個生活充滿愛的文化
[00:06:03.720 --> 00:06:06.480]  特別在這個疫症的時候
[00:06:06.480 --> 00:06:08.400]  當我們不可以再見面了
[00:06:08.400 --> 00:06:11.760]  當我們好像人與人之間隔得很疏落
[00:06:11.760 --> 00:06:15.720]  好像人的距離越來越遠的時候
[00:06:15.720 --> 00:06:19.240]  我們怎樣可以發揮這份的愛呢?
[00:06:19.240 --> 00:06:21.200]  我覺得是可以的
[00:06:21.200 --> 00:06:22.720]  你可以利用你的恩賜
[00:06:22.720 --> 00:06:25.400]  藉著你的恩賜和創意
[00:06:25.400 --> 00:06:28.800]  來去關心、去問候、去聆聽
[00:06:28.800 --> 00:06:34.120]  去代討、去分享食物或者資源
