
[00:00:00.000 --> 00:00:04.640]  當我們一班同工在思考今年聖誕節的主題的時候
[00:00:04.640 --> 00:00:10.640]  我們一班同工在祈禱裡出現了「你是唯一」這個主題
[00:00:10.640 --> 00:00:13.920]  當然在這個主題裡我們曾經也說過
[00:00:13.920 --> 00:00:16.720]  我們會送一份禮物給耶穌
[00:00:16.720 --> 00:00:19.120]  我們過去在聖誕節的崇拜裡
[00:00:19.120 --> 00:00:21.360]  我們每一年都會有一些特別的禮物
[00:00:21.360 --> 00:00:26.480]  送給每一位參加聖誕節崇拜的弟兄姊妹和朋友
[00:00:26.480 --> 00:00:30.400]  但今年呢 縱然我們人數是多過往年
[00:00:30.400 --> 00:00:32.560]  不過有一件事我們改變了
[00:00:32.560 --> 00:00:35.280]  是今年我們沒有禮物送給大家
[00:00:35.280 --> 00:00:37.360]  我們沒有一個實質的禮物送給大家
[00:00:37.360 --> 00:00:38.800]  但是我們很深信今天
[00:00:38.800 --> 00:00:40.960]  剛才我們一開始聖誕的時候
[00:00:40.960 --> 00:00:43.520]  我們其中一位牧者他祈禱在那裡
[00:00:43.520 --> 00:00:49.120]  他說他很渴望我們當中能夠得到一份更好更好的禮物
[00:00:49.120 --> 00:00:51.520]  就是耶穌基督的救恩
[00:00:51.520 --> 00:00:54.560]  所以當我自己思考這個題目「你是唯一」
[00:00:54.560 --> 00:00:56.720]  而當中我們說我們每一個人
[00:00:56.720 --> 00:01:00.880]  會不會在今年真的送一份禮物給我們耶穌的時候
[00:01:00.880 --> 00:01:03.840]  當我自己去思考這篇導讀的時候
[00:01:03.840 --> 00:01:06.640]  我就想起我自己小時候
[00:01:06.640 --> 00:01:07.840]  我讀幼稚園的時候
[00:01:07.840 --> 00:01:12.160]  我不知道為什麼現在開始記得幼稚園的一些情景
[00:01:12.160 --> 00:01:15.280]  你知道幼稚園已經是很多年前的事
[00:01:15.280 --> 00:01:19.120]  特別我現在是和一班小學同學
[00:01:19.120 --> 00:01:24.000]  我的小學同學已經有一個WhatsApp群組
[00:01:24.000 --> 00:01:27.520]  就說我們是小學一班同學走在一起
[00:01:27.520 --> 00:01:29.840]  原來我們去到這樣的年紀的時候
[00:01:29.840 --> 00:01:33.600]  忽然之間就和以往很久很久以前的
[00:01:33.600 --> 00:01:37.280]  甚至小時候的一些朋友很想見面
[00:01:37.280 --> 00:01:39.840]  所以我忽然想起我自己幼稚園的時候
[00:01:39.840 --> 00:01:41.920]  我幼稚園的時候不知道多少年前了
[00:01:41.920 --> 00:01:43.200]  大家自己猜一下
[00:01:43.200 --> 00:01:47.280]  我幼稚園的時候原來當時在聖誕節
[00:01:47.280 --> 00:01:49.840]  去到聖誕節的時候
[00:01:49.840 --> 00:01:55.600]  原來當時在聖誕節去到慶祝的時候
[00:01:55.600 --> 00:01:58.000]  原來都有一個話劇
[00:01:58.000 --> 00:02:01.360]  這個話劇我講出來我相信很多人都知道
[00:02:01.360 --> 00:02:03.680]  這個話劇就是《聖景》
[00:02:03.680 --> 00:02:05.520]  大家知不知道什麼是《聖景》
[00:02:05.520 --> 00:02:09.200]  原來我幼稚園的時候已經有《聖景》這個話劇
[00:02:09.200 --> 00:02:11.360]  我當時我做一個角色
[00:02:11.360 --> 00:02:13.200]  我到現在還記得我自己的角色
[00:02:13.200 --> 00:02:16.480]  這個角色我是做東方三博士的其中一個
[00:02:16.480 --> 00:02:20.800]  我是披著紫色的披肩
[00:02:20.800 --> 00:02:22.880]  我到今天都沒辦法忘記
[00:02:22.880 --> 00:02:25.840]  我是做過東方三博士其中一個
[00:02:25.840 --> 00:02:29.280]  當然幾年前我有機會去到一間幼稚園
[00:02:29.280 --> 00:02:32.160]  在香港都算是一間很出名的幼稚園
[00:02:32.160 --> 00:02:34.720]  他們聖誕節他們舉辦一個報道會
[00:02:34.720 --> 00:02:36.480]  就請我去講道
[00:02:36.480 --> 00:02:42.160]  當時同樣在幼稚園的聖誕節聯歡晚會那邊
[00:02:42.160 --> 00:02:43.520]  都有《聖景》
[00:02:43.520 --> 00:02:47.200]  原來這個《聖景》的故事幾十年在幼稚園都做
[00:02:47.200 --> 00:02:50.960]  我幾十年前到我幾年前都有這個《聖景》
[00:02:50.960 --> 00:02:53.760]  所以當我自己去思考你是唯一的時候
