
[00:00:00.000 --> 00:00:07.060]  有人說禱告是被動、消極和離地的
[00:00:07.060 --> 00:00:09.900]  頂智梅,我很不同意
[00:00:09.900 --> 00:00:15.900]  所以以下我想分享一個神職騎士的真人真事
[00:00:15.900 --> 00:00:19.620]  在去年我在傳教會的組長會中分享過
[00:00:19.620 --> 00:00:22.740]  我很想今天和所有的頂智梅分享
[00:00:22.740 --> 00:00:31.000]  一個同心合意禱告扭轉國運的神職騎士
[00:00:31.000 --> 00:00:36.060]  在1940年5月是第二次世界大戰開始的時間
[00:00:36.060 --> 00:00:41.000]  因為早前納粹德軍入侵波蘭
[00:00:41.000 --> 00:00:43.840]  英國和法國已經向他宣戰
[00:00:43.840 --> 00:00:47.120]  英軍和法軍一心想著
[00:00:47.120 --> 00:00:51.800]  德軍一定會經過比利時攻擊法國的北部
[00:00:51.800 --> 00:00:55.280]  所以在那裡駐紮了很多軍隊,很重的兵
[00:00:55.280 --> 00:00:57.400]  但他們怎也想不到
[00:00:57.400 --> 00:01:00.620]  德軍的坦克竟然穿越盧森堡
[00:01:00.620 --> 00:01:03.900]  那些他們覺得無法穿越的森林
[00:01:03.900 --> 00:01:06.520]  用閃電的速度去包圍他們
[00:01:06.520 --> 00:01:14.240]  所以很快40萬英軍被圍困在鄧寇克一個很大的沙灘
[00:01:14.240 --> 00:01:15.840]  大家現在看這張傳單
[00:01:15.840 --> 00:01:24.160]  就是當年德軍的飛機投下去勸英法聯軍投降的傳單
[00:01:24.160 --> 00:01:30.200]  這40萬英軍如果投降或者完全被消滅
[00:01:30.200 --> 00:01:32.940]  英國的陸軍主力就完全消失
[00:01:32.940 --> 00:01:34.440]  他們只有在意待斃
[00:01:34.440 --> 00:01:36.380]  德軍一渡過英雷海峽
[00:01:36.380 --> 00:01:40.340]  整個英國就完全滅亡了
[00:01:40.340 --> 00:01:45.680]  當時沒有任何人可以做到任何人為的事情
[00:01:45.680 --> 00:01:47.240]  可以改變這個事實
[00:01:47.240 --> 00:01:49.060]  解決這個困難
[00:01:49.060 --> 00:01:53.040]  我想可能就像香港今天那樣
[00:01:53.040 --> 00:01:58.840]  沒有任何人做到任何事情解決這個困難
[00:01:58.840 --> 00:02:00.820]  在這個這麼危急的時間
[00:02:00.820 --> 00:02:06.560]  英皇喬治六世呼籲全國人民開始禱告運動
[00:02:06.560 --> 00:02:11.060]  他宣告5月26日是全國禱告日
[00:02:11.060 --> 00:02:13.620]  歷代之下七章十四節
[00:02:13.620 --> 00:02:16.880]  那稱為我名下的子民若是自卑
[00:02:16.880 --> 00:02:18.920]  禱告尋求我的面
[00:02:18.920 --> 00:02:20.420]  轉離他們的惡行
[00:02:20.420 --> 00:02:22.500]  我就必從天上垂聽
[00:02:22.500 --> 00:02:24.080]  赦免他們的罪
[00:02:24.080 --> 00:02:25.780]  醫治他們的地
[00:02:25.780 --> 00:02:27.400]  我必睜眼看
[00:02:27.400 --> 00:02:30.680]  則而聽在此處所獻的禱告
[00:02:30.680 --> 00:02:34.420]  於是全國的人民就湧出去教會
[00:02:34.420 --> 00:02:36.060]  湧上街那裡禱告
[00:02:36.060 --> 00:02:38.380]  大家現在看這張照片
[00:02:38.380 --> 00:02:40.700]  那些人排隊不是在等巴士
[00:02:40.700 --> 00:02:43.100]  不是在搭地鐵等交通工具
[00:02:43.100 --> 00:02:45.100]  而是排著這麼長的龍
[00:02:45.100 --> 00:02:47.020]  湧入教會祈禱
[00:02:47.020 --> 00:02:50.960]  一個全國的禱告運動就由那個時間開始
[00:02:50.960 --> 00:02:55.060]  當全國的人民同心合意去禱告呼求神的時間
[00:02:55.060 --> 00:02:57.660]  就有三個神蹟奇事發生
[00:02:57.660 --> 00:03:00.880]  第一個神蹟奇事
[00:03:00.880 --> 00:03:06.200]  希特勒突然下令德軍停戰三日
[00:03:06.200 --> 00:03:09.540]  當時德軍一直在圍困
[00:03:09.540 --> 00:03:11.940]  迫近鄧寇克這個地方
[00:03:11.940 --> 00:03:14.020]  希特勒突然下令停戰三日
[00:03:14.020 --> 00:03:16.140]  因為坦克去得太快
[00:03:16.140 --> 00:03:18.040]  步兵追不上
[00:03:18.040 --> 00:03:20.160]  如果大家認識德國人
[00:03:20.160 --> 00:03:22.400]  就知道他們的配套
[00:03:22.400 --> 00:03:25.080]  那些協調一直都做得相當好
[00:03:25.080 --> 00:03:26.540]  數據都很精密
[00:03:26.540 --> 00:03:27.940]  從來都不會錯
[00:03:27.940 --> 00:03:30.040]  但竟然這麼重要的戰爭
[00:03:30.040 --> 00:03:32.660]  竟然犯下一個協調的錯誤
[00:03:32.660 --> 00:03:34.060]  這是第一個神蹟
[00:03:34.060 --> 00:03:35.340]  但希特勒不怕
[00:03:35.340 --> 00:03:38.760]  強大的德國空軍炸都炸死你
[00:03:38.760 --> 00:03:42.000]  因為鄧寇克這個地方是一個沒有遮無掩的沙灘
[00:03:42.000 --> 00:03:44.260]  40萬英軍很容易就在機關槍下掃
[00:03:44.260 --> 00:03:46.640]  扔炸彈就全部死了
[00:03:46.640 --> 00:03:48.660]  第二個神蹟奇事
[00:03:48.660 --> 00:03:50.740]  鄧寇克鄰近的地方
[00:03:50.740 --> 00:03:55.160]  那些機場突然掛起大風
[00:03:55.160 --> 00:03:56.220]  風暴
