
[00:00:00.000 --> 00:00:01.600]  如果你什麼都不記得
[00:00:01.600 --> 00:00:05.780]  或者你覺得那些啓示的元素太困難
[00:00:05.780 --> 00:00:06.780]  OK
[00:00:06.780 --> 00:00:08.280]  你沒辦法解釋
[00:00:08.280 --> 00:00:09.280]  沒辦法明白
[00:00:09.280 --> 00:00:10.780]  也不要緊的
[00:00:10.780 --> 00:00:11.980]  啓示錄裏面
[00:00:11.980 --> 00:00:14.480]  你最重要記住三幅圖畫
[00:00:14.480 --> 00:00:15.980]  或者四個
[00:00:15.980 --> 00:00:17.680]  就是你記得啓示錄裏面
[00:00:17.680 --> 00:00:20.480]  它中間有條大紅龍
[00:00:20.480 --> 00:00:21.680]  The Red Dragon
[00:00:21.680 --> 00:00:22.680]  當然我們
[00:00:22.680 --> 00:00:24.680]  通常你在教會內
[00:00:24.680 --> 00:00:26.180]  或者你都聽過
[00:00:26.180 --> 00:00:28.680]  你知道龍是代表着撒旦
[00:00:28.680 --> 00:00:30.680]  所以我們是龍的傳人
[00:00:30.680 --> 00:00:31.680]  好的
[00:00:31.680 --> 00:00:34.180]  不用特別覺得中國人是特別差的
[00:00:34.180 --> 00:00:35.680]  不用自卑的
[00:00:35.680 --> 00:00:37.680]  全世界都是龍的傳人
[00:00:37.680 --> 00:00:38.680]  不用怕的
[00:00:38.680 --> 00:00:40.680]  但是他在說龍
[00:00:40.680 --> 00:00:43.180]  這個是撒旦的化身當中
[00:00:43.180 --> 00:00:45.180]  在啓示錄裏面
[00:00:45.180 --> 00:00:48.180]  是龍有三個不同的Partner
[00:00:48.180 --> 00:00:49.680]  或者是
[00:00:49.680 --> 00:00:52.180]  衍生在這個世界的東西
[00:00:52.180 --> 00:00:55.180]  第一個是海中出來的獸
[00:00:55.180 --> 00:00:57.180]  第二是假仙姿
[00:00:57.180 --> 00:00:59.180]  第三是大人物
[00:00:59.180 --> 00:01:01.180]  我不想你回家做噩夢
[00:01:01.180 --> 00:01:04.680]  以爲海里會有一隻走獸出來
[00:01:04.680 --> 00:01:07.180]  不是日本人的東西
[00:01:07.180 --> 00:01:09.180]  不是Botswana的東西
[00:01:09.180 --> 00:01:10.680]  海中的獸
[00:01:10.680 --> 00:01:15.680]  是代表着暴力的恐嚇和逼迫
[00:01:15.680 --> 00:01:17.680]  你記得這三個東西
[00:01:17.680 --> 00:01:20.180]  都是那七個循環裏面不斷髮生的
[00:01:20.180 --> 00:01:22.680]  今天如果你去看教會歷史裏面
[00:01:22.680 --> 00:01:24.680]  這三樣東西是不斷重複的
[00:01:24.680 --> 00:01:26.680]  不斷髮生的
[00:01:26.680 --> 00:01:27.680]  不是我嚇你
[00:01:27.680 --> 00:01:30.180]  不是我把它簡單化
[00:01:30.180 --> 00:01:33.180]  整個教會歷史裏面所面對的挑戰
[00:01:33.180 --> 00:01:34.180]  就是這三樣東西
[00:01:34.180 --> 00:01:34.680]  第一
[00:01:34.680 --> 00:01:36.180]  你會發覺教會歷史裏面
[00:01:36.180 --> 00:01:39.680]  有很多的暴力恐嚇和逼迫
[00:01:39.680 --> 00:01:40.680]  因爲這樣的緣故
[00:01:40.680 --> 00:01:42.680]  所以很多人很多時候
[00:01:42.680 --> 00:01:45.680]  將它從政府聯繫
[00:01:45.680 --> 00:01:47.680]  於是有些什麼政府
[00:01:47.680 --> 00:01:48.680]  我想你可以這麼說
[00:01:48.680 --> 00:01:51.180]  但是其實也是超越政府的
[00:01:51.180 --> 00:01:53.180]  可能是一些商業的東西
[00:01:53.180 --> 00:01:54.680]  可以是其他文化上
[00:01:54.680 --> 00:01:56.680]  或者你現在到今時今日
[00:01:56.680 --> 00:01:59.180]  如果你有機會去讀一下大學
[00:01:59.180 --> 00:02:00.680]  就嚇死你了
[00:02:00.680 --> 00:02:03.680]  我想你有很長時間被人逼迫
[00:02:03.680 --> 00:02:08.680]  如果你有一些對世界的觀點
[00:02:08.680 --> 00:02:11.180]  或者是道德的東西
[00:02:11.180 --> 00:02:14.680]  是有一些和其他人不同的時候
[00:02:14.680 --> 00:02:16.680]  你隨時那坨東西都肥
[00:02:16.680 --> 00:02:18.680]  被老師肥了很多次
[00:02:18.680 --> 00:02:20.680]  所以這些威逼
[00:02:20.680 --> 00:02:21.680]  這個恐嚇
[00:02:21.680 --> 00:02:23.680]  是在我們所有的系統裏面
[00:02:23.680 --> 00:02:25.180]  不斷出現的
[00:02:25.180 --> 00:02:26.180]  包括你的工作
[00:02:26.180 --> 00:02:27.680]  包括我們的教育系統
[00:02:27.680 --> 00:02:30.180]  包括政府等等
