
[00:00:00.000 --> 00:00:05.480]  好 今天我們也會有一個比較特別的題目
[00:00:05.480 --> 00:00:08.760]  因為今天我們完成了馬太福音
[00:00:08.760 --> 00:00:13.120]  下一個月我們會開始一個新的書卷
[00:00:13.120 --> 00:00:15.080]  這次我們會看一件事
[00:00:15.080 --> 00:00:19.880]  也特別是跟一個新的階段有關的
[00:00:19.880 --> 00:00:25.240]  我們叫做生命旅程的三寶
[00:00:25.240 --> 00:00:31.600]  就是說有一些事情其實在我們人生的旅程裡面是很重要的
[00:00:31.600 --> 00:00:33.360]  而今天我們一起去看
[00:00:33.360 --> 00:00:36.000]  究竟當我們走我們人生的路
[00:00:36.000 --> 00:00:38.880]  特別我們知道我們都是去Farewell
[00:00:38.880 --> 00:00:44.240]  我們一些喜歡去外國或者去成人目區的弟兄姊妹的時候
[00:00:44.240 --> 00:00:48.400]  究竟人生最重要的是什麼呢?
[00:00:48.400 --> 00:00:51.320]  所以我們看看今天的PowerPoint
[00:00:51.320 --> 00:00:55.480]  好 生命旅程三寶
[00:00:55.480 --> 00:01:00.200]  我不知道誰跟我們一起去過斯達赤腳行
[00:01:00.200 --> 00:01:01.480]  可以舉手嗎?
[00:01:01.480 --> 00:01:04.920]  我們相信有些人跟我們一起去過斯達赤腳行
[00:01:04.920 --> 00:01:07.960]  如果你去過斯達赤腳行我覺得很好
[00:01:07.960 --> 00:01:10.160]  我們一起去體驗一下
[00:01:10.160 --> 00:01:13.240]  究竟我們是怎樣去體驗一下
[00:01:13.240 --> 00:01:14.880]  其實只是很小的體驗而已
[00:01:14.880 --> 00:01:17.760]  就是究竟如果貧窮人沒有鞋穿
[00:01:17.760 --> 00:01:20.320]  而他們面對的情況是怎樣呢?
[00:01:20.320 --> 00:01:24.080]  如果你記得我們去參與斯達赤腳行的時候
[00:01:24.080 --> 00:01:28.600]  其實他有說斯達赤腳行四寶
[00:01:28.600 --> 00:01:31.480]  我不知道你記不記得你那天有沒有帶這四寶
[00:01:31.480 --> 00:01:34.440]  他說你需要有一個裝鞋的袋子
