
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,早安,平安
[00:00:03.000 --> 00:00:06.680]  感謝主可以跟大家分享訊息
[00:00:06.680 --> 00:00:08.680]  帶著感恩的心去分享
[00:00:08.680 --> 00:00:11.180]  先跟大家分享兩件事
[00:00:11.180 --> 00:00:12.960]  都是最近發生的
[00:00:12.960 --> 00:00:16.460]  第一件事是一件喜訊
[00:00:16.460 --> 00:00:18.960]  最近我做了爸爸,幸好
[00:00:18.960 --> 00:00:21.120]  是甚麼呢?我們先看一看
[00:00:21.120 --> 00:00:22.360]  很感謝主
[00:00:22.360 --> 00:00:24.920]  但是甚麼呢?就是我養了一隻蝦
[00:00:24.920 --> 00:00:29.240]  就是在辦公室的魚缸
[00:00:29.240 --> 00:00:34.360]  看著蝦媽媽抱怨
[00:00:34.360 --> 00:00:41.140]  由抱怨到生了很多蝦,整個缸都是
[00:00:41.140 --> 00:00:44.480]  整個缸都充滿生命的氣息
[00:00:44.480 --> 00:00:47.880]  不好意思,可能誤會了大家
[00:00:47.880 --> 00:00:49.520]  但還是很開心
[00:00:49.520 --> 00:00:54.520]  因為見證著蝦媽媽成立了一個幸福的家庭
[00:00:54.520 --> 00:00:56.520]  這件事我開心了兩個星期
[00:00:56.520 --> 00:00:59.160]  如果有養魚的弟兄姊妹
[00:00:59.160 --> 00:01:01.160]  或者養寵物的弟兄姊妹
[00:01:01.160 --> 00:01:04.360]  會見到見證生命的誕生是很奇妙的
[00:01:04.360 --> 00:01:07.360]  但轉過頭,有壞消息出現
[00:01:07.360 --> 00:01:09.360]  因為除了養蝦之外
[00:01:09.360 --> 00:01:11.040]  我也有養魚
[00:01:11.040 --> 00:01:15.840]  很快就見到蝦仔一隻一隻被魚吃光
[00:01:15.840 --> 00:01:17.840]  我非常傷心
[00:01:17.840 --> 00:01:22.420]  就怪自己,因為沒有好好幫牠看實頭家
[00:01:22.420 --> 00:01:24.760]  我應該早點跟牠們分開
[00:01:24.760 --> 00:01:26.760]  這是第一件事
[00:01:26.760 --> 00:01:31.760]  第二件事就是,話說我現在是在養殖蝦
[00:01:31.760 --> 00:01:36.760]  殖蝦的弟兄姊妹都進入了結婚生子的年齡
[00:01:36.760 --> 00:01:41.760]  我跟她們說,你打算結婚的時候
[00:01:41.760 --> 00:01:44.760]  有沒有想過生小孩?
[00:01:44.760 --> 00:01:51.760]  殖蝦們聽到「小孩」三個字就非常害怕
[00:01:51.760 --> 00:01:58.760]  有很多原因,因為要考慮錢、住宿、教育
[00:01:58.760 --> 00:02:00.760]  所以她們立即回應
[00:02:00.760 --> 00:02:04.760]  我堅決一定不會生小孩
