
[00:00:00.000 --> 00:00:02.000]  請支配平安
[00:00:02.000 --> 00:00:04.000]  上星期開始
[00:00:04.000 --> 00:00:08.000]  我們思想了一位新約中的信心人物
[00:00:08.000 --> 00:00:10.000]  就是主耶穌的大弟子
[00:00:10.000 --> 00:00:12.000]  善徒彼得
[00:00:12.000 --> 00:00:16.000]  特別是有關他在海面上行走的事
[00:00:16.000 --> 00:00:18.000]  很多人以為那件事
[00:00:18.000 --> 00:00:21.000]  是表現出彼得的信心不足
[00:00:21.000 --> 00:00:24.000]  但忘記了其實他要爬出船身
[00:00:24.000 --> 00:00:27.000]  在海面上走了幾步的時候
[00:00:27.000 --> 00:00:30.000]  都是需要很大的信心
[00:00:30.000 --> 00:00:34.000]  那就是他對耶穌發出命令的信心
[00:00:34.000 --> 00:00:37.000]  他先要求耶穌發命令
[00:00:37.000 --> 00:00:40.000]  然後他就爬出船身
[00:00:40.000 --> 00:00:43.000]  然後在水面上行走
[00:00:43.000 --> 00:00:48.000]  如果我們能夠認定主耶穌是上帝的兒子
[00:00:48.000 --> 00:00:52.000]  我們就應該聽他的命令行事為人
[00:00:52.000 --> 00:00:54.000]  當然彼得也是人
[00:00:54.000 --> 00:00:57.000]  當他轉眼不看耶穌
[00:00:57.000 --> 00:00:59.000]  看風浪的時候
[00:00:59.000 --> 00:01:01.000]  他的信心就軟弱了
[00:01:01.000 --> 00:01:03.000]  開始沉在水裏
[00:01:03.000 --> 00:01:06.000]  要主耶穌去拯救
[00:01:06.000 --> 00:01:08.000]  當我們信心軟弱的時候
[00:01:08.000 --> 00:01:11.000]  對上主有疑惑的時候
[00:01:11.000 --> 00:01:14.000]  我們都要呼求主幫助我們
[00:01:14.000 --> 00:01:17.000]  堅定我們的信心
[00:01:17.000 --> 00:01:20.000]  今日我想和大家思想的是
[00:01:20.000 --> 00:01:22.000]  另一位耶穌的使徒
[00:01:22.000 --> 00:01:24.000]  就是馬太
[00:01:24.000 --> 00:01:27.000]  他有另一個名叫利微
[00:01:27.000 --> 00:01:30.000]  在《馬可》和《路加福音》裏面
[00:01:30.000 --> 00:01:33.000]  就用了利微的名字
[00:01:33.000 --> 00:01:38.000]  《新約聖經》裏面除了今日選讀的這段經文之外
[00:01:38.000 --> 00:01:42.000]  其實很少記載有關馬太的事
[00:01:42.000 --> 00:01:48.000]  但是由於他編寫了馬太福音
[00:01:48.000 --> 00:01:53.000]  我們可以從馬太福音這本書
[00:01:53.000 --> 00:01:58.000]  嘗試去掩飾馬太過節
[00:01:58.000 --> 00:02:03.000]  馬太的家鄉和彼得一樣
[00:02:03.000 --> 00:02:07.000]  是加伯隆在加利利湖的北面
[00:02:07.000 --> 00:02:09.000]  是一個漁村
[00:02:09.000 --> 00:02:13.000]  上星期已經給大家看過這幅地圖
[00:02:13.000 --> 00:02:17.000]  希望大家對加伯隆的地理位置
[00:02:17.000 --> 00:02:20.000]  有深一些的印象
