
[00:00:00.000 --> 00:00:01.320]  各位大眾朋友好
[00:00:01.320 --> 00:00:05.660]  今天我們看這個課題是從世俗中分出來的
[00:00:05.660 --> 00:00:09.600]  當然我們不是排斥這個世界是不好的
[00:00:09.600 --> 00:00:15.420]  意思是這個世俗和我們的信仰是很不同敵對的
[00:00:15.420 --> 00:00:17.740]  這些世俗我們稱為世俗
[00:00:17.740 --> 00:00:19.340]  但是我們怎樣去回應
[00:00:19.340 --> 00:00:22.440]  是我們今晚上一起學習
[00:00:22.440 --> 00:00:24.940]  我們一起去禱告
[00:00:24.940 --> 00:00:28.820]  天父多謝你給我們一同同守聖餐
[00:00:28.820 --> 00:00:31.140]  我們是你的救贖的群體
[00:00:31.140 --> 00:00:33.660]  保守我們有聖潔的生命
[00:00:33.660 --> 00:00:35.940]  我們一同整個教會
[00:00:35.940 --> 00:00:37.940]  在你的恩典裏面
[00:00:37.940 --> 00:00:40.780]  從世俗裏面分別出來
[00:00:40.780 --> 00:00:42.080]  求主幫助
[00:00:42.080 --> 00:00:44.060]  祈禱奉主耶穌基督的名
[00:00:44.060 --> 00:00:45.180]  阿們
[00:00:45.180 --> 00:00:48.700]  有一個機構叫做基要書室
[00:00:48.700 --> 00:00:50.980]  我看到裏面有一篇文章
[00:00:50.980 --> 00:00:55.440]  有一篇文章叫做教會世俗化的危機
[00:00:55.440 --> 00:00:56.460]  危險
[00:00:56.460 --> 00:01:01.000]  即是說原來教會裏面有很多的世俗化
[00:01:01.000 --> 00:01:04.400]  譬如在報道信息裏面
[00:01:04.400 --> 00:01:07.540]  是為了迎合人的喜好
[00:01:07.540 --> 00:01:10.160]  小提認罪
[00:01:10.160 --> 00:01:12.080]  神的公義
[00:01:12.080 --> 00:01:12.760]  審判
[00:01:12.760 --> 00:01:14.080]  地獄等等
[00:01:14.080 --> 00:01:16.260]  因為如果你叫人去認罪
[00:01:16.260 --> 00:01:18.880]  好像是別人很不喜歡
[00:01:18.880 --> 00:01:19.860]  很反感
[00:01:19.860 --> 00:01:21.780]  慢慢就不理會你的教會
[00:01:21.780 --> 00:01:24.620]  反而講多些神的慈愛
[00:01:24.620 --> 00:01:27.360]  信耶穌你有平安
[00:01:27.360 --> 00:01:28.500]  有福分
[00:01:28.500 --> 00:01:30.280]  很多這些說法
