
[00:00:00.000 --> 00:00:11.000]  上個禮拜我們看過馬太福音24章42到47節
[00:00:11.000 --> 00:00:19.000]  耶穌教導他的門徒要警醒預備
[00:00:19.000 --> 00:00:24.000]  因為在44節那邊講
[00:00:24.000 --> 00:00:30.000]  你們想不到的時候人子就來了
[00:00:30.000 --> 00:00:33.000]  人子就指著主耶穌
[00:00:33.000 --> 00:00:37.000]  接著他講一個僕人的比喻
[00:00:37.000 --> 00:00:45.000]  誰是忠心有見識的僕人為主人所派
[00:00:45.000 --> 00:00:51.000]  管理家裡的人按時分糧給他們
[00:00:51.000 --> 00:00:55.000]  主人來到看見他這樣行,那僕人就有福了
[00:00:55.000 --> 00:00:58.000]  主人來到看見他這樣行,那僕人就有福了
[00:00:58.000 --> 00:01:05.000]  我們上次嘗試連同其他相關的經文
[00:01:05.000 --> 00:01:09.000]  整理出一個被主耶穌稱為有福僕人
[00:01:09.000 --> 00:01:13.000]  是怎樣預備迎見主人的方案
[00:01:13.000 --> 00:01:16.000]  我們整理出一個被主稱為有福的門徒
[00:01:16.000 --> 00:01:20.000]  他有一個什麼樣的方案去迎見他的主人
[00:01:20.000 --> 00:01:23.000]  我們提出一個問題
[00:01:23.000 --> 00:01:30.000]  主耶穌再來的時候期望的門徒是怎樣的呢
[00:01:30.000 --> 00:01:38.000]  得出的結論就是如果僕人是一個好僕人的話
[00:01:38.000 --> 00:01:42.000]  他會在三方面做好準備
[00:01:42.000 --> 00:01:48.000]  第一就是預備好主隨時會再來
[00:01:48.000 --> 00:01:55.000]  第二就是預備好可能會為主受苦
[00:01:55.000 --> 00:02:04.000]  第三就是預備好要侍人如侍主
[00:02:04.000 --> 00:02:08.000]  相反如果他是一個惡的僕人
[00:02:08.000 --> 00:02:12.000]  當主人回來的時候
[00:02:12.000 --> 00:02:16.000]  他就會受到主人的重罰
[00:02:16.000 --> 00:02:20.000]  僕人得獎賞還是被懲罰
[00:02:20.000 --> 00:02:23.000]  到底僕人是得到獎賞還是被懲罰呢
[00:02:23.000 --> 00:02:28.000]  關鍵在於這個僕人是否既忠心又有見識
[00:02:28.000 --> 00:02:32.000]  關鍵是這個僕人是否又忠心又有見識
[00:02:32.000 --> 00:02:38.000]  今天我是揀選了另外一段由路加所寫的經文
[00:02:38.000 --> 00:02:41.000]  今天我們選了一段由路加所寫的經文
[00:02:41.000 --> 00:02:44.000]  有很多是相同的
[00:02:44.000 --> 00:02:48.000]  我們嘗試更加仔細分析和探討一個主題
[00:02:48.000 --> 00:02:52.000]  我們更詳細的分析這個主題
[00:02:52.000 --> 00:02:56.000]  我們探討一下怎樣作為一個有見識的僕人
[00:02:56.000 --> 00:02:59.000]  怎樣才能夠做到一個有見識的僕人呢
