
[00:00:00.000 --> 00:00:04.000]  這個講道題目裡面我們會有八堂的講道
[00:00:04.000 --> 00:00:08.000]  那麼今天的第一堂是一個introduction 是一個簡介
[00:00:08.000 --> 00:00:10.000]  那麼接下來的七堂裡面
[00:00:10.000 --> 00:00:14.000]  我們會從人生的七個不同的層面去講
[00:00:14.000 --> 00:00:16.000]  有什麼可以幫助我們
[00:00:16.000 --> 00:00:20.000]  讓我們的人生的下一站能夠走得更加的幸福
[00:00:20.000 --> 00:00:23.000]  我們都希望我們下一站可以更幸福
[00:00:23.000 --> 00:00:25.000]  所有東西都希望更好
[00:00:25.000 --> 00:00:27.000]  車子開了一段時間想換車
[00:00:27.000 --> 00:00:30.000]  你一定會想換一個更新的model
[00:00:30.000 --> 00:00:33.000]  我六月份我的手機也到齊了
[00:00:33.000 --> 00:00:35.000]  正在考慮到底是iPhone6好呢
[00:00:35.000 --> 00:00:37.000]  還是繼續Samsung
[00:00:37.000 --> 00:00:39.000]  Samsung好像已經出到Note4了對不對
[00:00:39.000 --> 00:00:41.000]  我還是Note2
[00:00:41.000 --> 00:00:45.000]  所以沒有人會說我現在Note2電話到齊
[00:00:45.000 --> 00:00:46.000]  換個Note1吧
[00:00:46.000 --> 00:00:47.000]  不會
[00:00:47.000 --> 00:00:49.000]  很少人會走回頭路
[00:00:49.000 --> 00:00:51.000]  都希望說下一站可不可以更好
[00:00:51.000 --> 00:00:52.000]  在各個的層面
[00:00:52.000 --> 00:00:54.000]  所以我們就有這樣的一個
[00:00:54.000 --> 00:00:57.000]  講到的系列叫做下一站幸福
[00:00:57.000 --> 00:01:00.000]  希望我們下一站真的每個人都可以走得幸福
[00:01:00.000 --> 00:01:02.000]  那麼今天因為是introduction
[00:01:02.000 --> 00:01:04.000]  想跟大家聊一個話題就是
[00:01:04.000 --> 00:01:07.000]  第一點我想跟大家去討論的是
[00:01:07.000 --> 00:01:12.000]  我們怎麼樣去立定一個真正讓我們幸福的目標
[00:01:12.000 --> 00:01:13.000]  沒有了目標
[00:01:13.000 --> 00:01:16.000]  你就不知道下一站到底往哪去
[00:01:16.000 --> 00:01:20.000]  也不能說更說不上幸福了
[00:01:20.000 --> 00:01:22.000]  立定真正幸福的目標是很重要
[00:01:22.000 --> 00:01:26.000]  那麼我想從一個話題來開始討論這一點
[00:01:26.000 --> 00:01:28.000]  這個話題叫做拖延症
[00:01:28.000 --> 00:01:32.000]  英文叫procrastination又或者俗稱的last minute
[00:01:32.000 --> 00:01:35.000]  這個問題我想你跟我都有這個問題
[00:01:35.000 --> 00:01:38.000]  就明明知道有些事情你該做
[00:01:38.000 --> 00:01:40.000]  可是就一直拖著沒做
[00:01:40.000 --> 00:01:41.000]  這叫拖延症
[00:01:41.000 --> 00:01:44.000]  那因為我的拖延症就特別的嚴重
[00:01:44.000 --> 00:01:47.000]  所以我在讀心理輔導的時候
[00:01:47.000 --> 00:01:48.000]  也要讀很多的書
[00:01:48.000 --> 00:01:49.000]  參考很多的書
[00:01:49.000 --> 00:01:51.000]  到底找找什麼方法
[00:01:51.000 --> 00:01:52.000]  也試過很多方法
[00:01:52.000 --> 00:01:55.000]  什麼寫大字報貼家裡
[00:01:55.000 --> 00:01:57.000]  Shirley她以前舊的車
