
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹 各位來賓 早安
[00:00:03.000 --> 00:00:08.000]  在《使徒行傳》第一章第八節
[00:00:08.000 --> 00:00:10.000]  即是上個星期大家背的金句
[00:00:10.000 --> 00:00:12.000]  那個主曾經應許我們
[00:00:12.000 --> 00:00:15.000]  聖靈要降臨在門徒的身上
[00:00:15.000 --> 00:00:18.000]  使他們得著能力去傳福音
[00:00:18.000 --> 00:00:21.000]  使到教會可以增長
[00:00:21.000 --> 00:00:23.000]  但現今我們看回教會裏面
[00:00:23.000 --> 00:00:25.000]  很多信徒傳福音的時候
[00:00:25.000 --> 00:00:28.000]  往往很害怕 很害怕
[00:00:28.000 --> 00:00:30.000]  到底他們害怕什麼呢
[00:00:30.000 --> 00:00:32.000]  我們現在在香港的生活
[00:00:32.000 --> 00:00:34.000]  應該都很自由
[00:00:34.000 --> 00:00:36.000]  就不會像初期教會那樣
[00:00:36.000 --> 00:00:39.000]  傳福音被抓去坐牢
[00:00:39.000 --> 00:00:41.000]  甚至被判死刑
[00:00:41.000 --> 00:00:44.000]  到底我們傳福音害怕什麼呢
[00:00:44.000 --> 00:00:48.000]  害怕被人笑 被人罵
[00:00:48.000 --> 00:00:50.000]  或者害怕被人欺負
[00:00:50.000 --> 00:00:51.000]  人家知道你是基督徒
[00:00:51.000 --> 00:00:52.000]  基督徒有些事不能做
[00:00:52.000 --> 00:00:54.000]  於是故意欺負你
[00:00:54.000 --> 00:00:56.000]  或者我們害怕被人拒絕
[00:00:56.000 --> 00:00:59.000]  到底怎樣我們才可以不用害怕呢
[00:00:59.000 --> 00:01:00.000]  在傳福音的時候
[00:01:00.000 --> 00:01:03.000]  我們怎樣有這份勇氣呢
[00:01:03.000 --> 00:01:06.000]  在《斯大林傳》第三章裏面
[00:01:06.000 --> 00:01:08.000]  其實是記載了彼得和約翰
[00:01:08.000 --> 00:01:10.000]  在聖殿的門口裏面
[00:01:10.000 --> 00:01:13.000]  醫好了一個生禮就瘸腿的
[00:01:13.000 --> 00:01:15.000]  這個人一生出來就瘸了
[00:01:15.000 --> 00:01:18.000]  當時的社會福利制度
[00:01:18.000 --> 00:01:20.000]  就不像現在那麼好
[00:01:20.000 --> 00:01:22.000]  他只可以做的行業
[00:01:22.000 --> 00:01:23.000]  就是做一個乞丐
[00:01:23.000 --> 00:01:26.000]  在聖殿的門口做乞丐
[00:01:26.000 --> 00:01:28.000]  讓人們進入聖殿的時候
[00:01:28.000 --> 00:01:29.000]  出聖殿的時候
[00:01:29.000 --> 00:01:31.000]  看到他就去施捨錢給他
[00:01:31.000 --> 00:01:34.000]  但是彼得和約翰
[00:01:34.000 --> 00:01:35.000]  在聖殿的門口
[00:01:35.000 --> 00:01:36.000]  這個尾門的門口
[00:01:36.000 --> 00:01:39.000]  就醫好了這個生禮瘸腿的乞丐
[00:01:39.000 --> 00:01:41.000]  使得百姓很驚訝
[00:01:41.000 --> 00:01:43.000]  其實彼得和約翰
[00:01:43.000 --> 00:01:46.000]  只不過是行主耶穌在世的時候
[00:01:46.000 --> 00:01:47.000]  曾經行過的神蹟
[00:01:47.000 --> 00:01:49.000]  主耶穌也曾經試過
