
[00:00:00.000 --> 00:00:04.080]  今天想和大家分享一個在創世界裏很重要的人物
[00:00:04.080 --> 00:00:06.080]  這個人物是阿伯拉罕
[00:00:06.080 --> 00:00:10.480]  有沒有電影節目的朋友沒聽過這個人?
[00:00:10.480 --> 00:00:11.680]  都很熟悉了,是吧?
[00:00:11.680 --> 00:00:12.880]  阿伯拉罕
[00:00:12.880 --> 00:00:16.480]  當我們想起阿伯拉罕,你會想起什麼呢?
[00:00:16.480 --> 00:00:18.320]  可能就是想起今天這段經文
[00:00:18.320 --> 00:00:22.400]  阿伯拉罕獻以殺,上帝必預備
[00:00:22.400 --> 00:00:24.160]  還有呢?
[00:00:24.160 --> 00:00:26.480]  信心之父,沒錯,非常好
[00:00:26.480 --> 00:00:28.680]  想起阿伯拉罕就想起信心之父
[00:00:28.680 --> 00:00:31.240]  還有呢?
[00:00:31.240 --> 00:00:32.760]  想起阿伯拉罕就想起改名
[00:00:32.760 --> 00:00:34.280]  本來叫阿伯蘭的
[00:00:34.280 --> 00:00:38.200]  老婆叫薩萊,改名叫薩萊和阿伯拉罕
[00:00:38.200 --> 00:00:40.520]  想起阿伯拉罕可能有不同的想法
[00:00:40.520 --> 00:00:42.760]  特別對阿伯拉罕的信心
[00:00:42.760 --> 00:00:45.320]  《聖經》裏特別提到他的信心
[00:00:45.320 --> 00:00:46.920]  所以當我們學習信心的時候
[00:00:46.920 --> 00:00:52.360]  很自然就會打開創世紀,看阿伯拉罕
[00:00:52.360 --> 00:00:56.240]  今時今日我們在社會里都很需要信心
[00:00:56.240 --> 00:00:58.960]  這個世界很多人說,特別是這一代的社會
[00:00:58.960 --> 00:01:01.480]  香港人沒了信任
[00:01:01.480 --> 00:01:05.040]  你做什麼都會覺得身邊的人在騙你
[00:01:05.040 --> 00:01:06.520]  我不知道是不是這樣
[00:01:06.520 --> 00:01:14.120]  我曾經有一次在港鐵上上水回來九龍
[00:01:14.120 --> 00:01:17.520]  突然間旁邊的人就問我可不可以借電話
[00:01:17.520 --> 00:01:20.320]  好了,通常你的答案是怎樣的?
[00:01:20.320 --> 00:01:22.880]  你就假裝聽不到,就說電話停在那裏
[00:01:22.880 --> 00:01:24.360]  電視是這樣教的
[00:01:24.360 --> 00:01:26.760]  他看着我的車,車子在走路
