
[00:00:00.000 --> 00:00:02.320]  各位弟兄姊妹平安又到了
[00:00:02.320 --> 00:00:04.720]  「舊約」仍然說話的時候
[00:00:04.720 --> 00:00:06.440]  今天我要介紹的
[00:00:06.440 --> 00:00:09.760]  就是「舊約」裡面一個很重要的物件
[00:00:09.760 --> 00:00:11.600]  就是「匯幕」
[00:00:11.600 --> 00:00:13.680]  當以色裔人離開埃及
[00:00:13.680 --> 00:00:17.000]  他們在曠野漂流了40年那麼久
[00:00:17.000 --> 00:00:21.080]  神就在白天用「魂柱」帶領他們
[00:00:21.080 --> 00:00:24.280]  晚上就用「火柱」帶領他們
[00:00:24.280 --> 00:00:26.800]  何時「魂柱」「火柱」停下
[00:00:26.800 --> 00:00:28.600]  他們就在那裡紮營
[00:00:28.600 --> 00:00:30.200]  但是怎樣紮營呢?
[00:00:30.200 --> 00:00:33.240]  原來紮營有個中心點
[00:00:33.240 --> 00:00:37.360]  那個中心點就是建立這個「匯幕」
[00:00:37.360 --> 00:00:39.920]  當「匯幕」建造起來的時候
[00:00:39.920 --> 00:00:42.640]  「匯幕」有東南西北四邊
[00:00:42.640 --> 00:00:45.480]  每一邊就有三個支派
[00:00:45.480 --> 00:00:47.840]  在那裡順治罪紮營
[00:00:47.840 --> 00:00:50.920]  所以當「匯幕」一建造起來的時候
[00:00:50.920 --> 00:00:53.280]  他們就知道在哪裡紮營了
[00:00:53.280 --> 00:00:57.960]  因為「匯幕」在他們這個行起曠野裡面
[00:00:57.960 --> 00:00:59.040]  的中心
[00:00:59.040 --> 00:01:02.000]  因為這個就是「敬拜」的所在
[00:01:02.000 --> 00:01:05.680]  這個就是神與他們同在的地方
[00:01:05.680 --> 00:01:08.280]  那麼「匯幕」怎樣建造起來呢?
[00:01:08.280 --> 00:01:11.120]  就是摩西上到西賴山上面
[00:01:11.120 --> 00:01:14.280]  按照神起山上面的指示
[00:01:14.280 --> 00:01:15.960]  摩西下山之後
[00:01:15.960 --> 00:01:20.440]  就吩咐那些有才藝的人
[00:01:20.440 --> 00:01:23.640]  怎樣去建造「匯幕」
[00:01:23.640 --> 00:01:26.720]  「匯幕」可以分為三個部份
[00:01:26.720 --> 00:01:30.040]  第一就是外面的「院子」
[00:01:30.040 --> 00:01:33.080]  然後再有就是「聖所」
[00:01:33.080 --> 00:01:36.440]  然後第三部份就是「致聖所」
[00:01:36.440 --> 00:01:38.360]  「聖所」和「致聖所」
[00:01:38.360 --> 00:01:40.720]  外面是有「萬子」
[00:01:40.720 --> 00:01:43.040]  有「海狗皮」等等
[00:01:43.040 --> 00:01:45.120]  三重的「萬子」
[00:01:45.120 --> 00:01:49.200]  覆蓋著「聖所」和「致聖所」
[00:01:49.200 --> 00:01:52.760]  一共有九樣的「聖物」
[00:01:52.760 --> 00:01:56.320]  是分散在「匯幕」裡面的
[00:01:56.320 --> 00:02:00.960]  在「院子」裡面就有兩樣的「物品」
[00:02:00.960 --> 00:02:08.000]  第一樣就是金造的「祭壇」
[00:02:08.000 --> 00:02:10.640]  這個「祭壇」是很觸目的
