
[00:00:00.000 --> 00:00:02.740]  到2017年的下半年
[00:00:02.740 --> 00:00:08.000]  教會就安排了我有10次的羅馬書講道
[00:00:08.000 --> 00:00:15.900]  剛剛好夠時間可以將羅馬書第12章至第16章就講完
[00:00:15.900 --> 00:00:19.660]  雖然我是第一次來到晚堂宣講羅馬書
[00:00:19.660 --> 00:00:25.160]  但其實已經是羅馬書的下半部系列的第三講
[00:00:25.160 --> 00:00:29.140]  不過由今晚開始之後幾個月我都在這裡等
[00:00:29.140 --> 00:00:32.500]  也就是說如果你繼續來晚堂的話
[00:00:32.500 --> 00:00:36.660]  你可以將整個羅馬書系列聽完
[00:00:36.660 --> 00:00:37.860]  因為時間的關係
[00:00:37.860 --> 00:00:42.320]  其實我今晚就沒辦法跟你複習第一講第二講
[00:00:42.320 --> 00:00:44.800]  不過你可以上我的YouTube
[00:00:44.800 --> 00:00:52.620]  你可以去YouTube頻道真理廚房重聽第一和第二堂
[00:00:52.620 --> 00:00:54.860]  而如果你真的去聽的時候
[00:00:54.860 --> 00:01:02.940]  你也會比較明白為什麼我叫羅馬書做保羅的西遊記
[00:01:02.940 --> 00:01:09.320]  如果你去這個tiny.cc/romance123的連結的話
[00:01:09.320 --> 00:01:13.560]  就會直接去到羅馬書的系列
[00:01:13.560 --> 00:01:19.360]  今天要講的題目是西遊記之真誠熱愛
[00:01:19.360 --> 00:01:21.160]  如果你今天用心去聽
[00:01:21.160 --> 00:01:23.480]  如果你不打瞌睡的話
[00:01:23.480 --> 00:01:28.560]  我猜你到最後大概會覺得林牧師有一點瘋瘋癲癲
[00:01:28.560 --> 00:01:29.780]  其實我想告訴你
[00:01:29.780 --> 00:01:31.220]  不是我瘋癲
[00:01:31.220 --> 00:01:32.700]  是保羅瘋癲
[00:01:32.700 --> 00:01:33.640]  甚至可以這麼說
[00:01:33.640 --> 00:01:34.620]  不單止是保羅瘋癲
[00:01:34.620 --> 00:01:37.540]  是因為上帝瘋癲
[00:01:37.540 --> 00:01:40.720]  保羅對羅馬教會的差遣
[00:01:40.720 --> 00:01:43.340]  由第十二章開始
[00:01:43.340 --> 00:01:46.620]  我想大家都很熟悉那兩節聖經
[00:01:46.620 --> 00:01:50.580]  保羅叫他們將身體獻上當作活祭
[00:01:50.580 --> 00:01:55.600]  保羅要他們全然的為上帝
[00:01:55.600 --> 00:02:00.460]  保羅說你們做基督徒的模式是獻上自己作活祭
[00:02:00.460 --> 00:02:01.980]  不是十一的奉獻
[00:02:01.980 --> 00:02:03.820]  不是十九的奉獻
[00:02:03.820 --> 00:02:06.060]  甚至是十十的奉獻
[00:02:06.060 --> 00:02:08.140]  是一個完全的奉獻
[00:02:08.140 --> 00:02:10.980]  保羅叫他們要心意更生
[00:02:10.980 --> 00:02:14.180]  在英文或者原文上很清晰的叫做
[00:02:14.180 --> 00:02:15.540]  renewal of your mind
[00:02:15.540 --> 00:02:18.940]  是你頭腦上的完全的轉型
[00:02:18.940 --> 00:02:21.820]  我們可以說是remapping of your brain
[00:02:21.820 --> 00:02:24.020]  原來我們生在這個世界上
[00:02:24.020 --> 00:02:26.020]  生出來這個世界上的
[00:02:26.020 --> 00:02:28.220]  我們的腦袋已經變壞了
[00:02:28.220 --> 00:02:32.060]  我們腦袋想的東西的傾向是完全錯誤的
[00:02:32.060 --> 00:02:35.220]  於是保羅說當你成為一個基督徒的時候
[00:02:35.220 --> 00:02:39.020]  你的腦袋要完全的被remap
[00:02:39.020 --> 00:02:42.660]  我們再不要追求地上的事情
[00:02:42.660 --> 00:02:44.860]  我們要追求天上的事情
[00:02:44.860 --> 00:02:47.300]  我們再不要為這一生人而活
[00:02:47.300 --> 00:02:50.380]  而要為永恆而活
[00:02:50.380 --> 00:02:54.260]  所以當你看到這個世界的家長
[00:02:54.260 --> 00:02:57.820]  經常都怕小孩輸在起跑線的時候
[00:02:57.820 --> 00:02:59.540]  你不用跟他們爭的
[00:02:59.540 --> 00:03:01.340]  因為他們跑的跑道
[00:03:01.340 --> 00:03:04.460]  方向跟我們跑的是完全不一樣的
[00:03:04.460 --> 00:03:07.740]  你應不應該為你的兒女擔心
[00:03:07.740 --> 00:03:08.900]  他們輸在起跑線
[00:03:08.900 --> 00:03:10.140]  是應該的
