
[00:00:00.000 --> 00:00:11.000]  早前我提及在法國巴黎發生的恐怖襲擊事件
[00:00:11.000 --> 00:00:18.000]  這是近期轟動的災難消息
[00:00:18.000 --> 00:00:24.000]  自從兩星期前發生的恐怖襲擊之後
[00:00:24.000 --> 00:00:29.000]  這兩星期都不斷有很多關於這方面的評論
[00:00:29.000 --> 00:00:34.000]  前幾天我在Focus on the Family
[00:00:34.000 --> 00:00:35.000]  中文不知譯
[00:00:35.000 --> 00:00:39.000]  有些人譯作愛家組織
[00:00:39.000 --> 00:00:44.000]  我喜歡叫做體重家庭
[00:00:44.000 --> 00:00:47.000]  在他的網頁裏我看到一篇文章
[00:00:47.000 --> 00:00:49.000]  我覺得很有意思
[00:00:49.000 --> 00:00:52.000]  這個文章的題目叫做
[00:00:52.000 --> 00:00:58.000]  如何疏導孩子對恐怖襲擊的驚恐
[00:00:58.000 --> 00:01:00.000]  這篇文章是我翻譯的
[00:01:00.000 --> 00:01:02.000]  簡單來說
[00:01:02.000 --> 00:01:06.000]  加上我翻譯裏面的演繹
[00:01:06.000 --> 00:01:07.000]  簡單來說
[00:01:07.000 --> 00:01:11.000]  對小朋友來說
[00:01:11.000 --> 00:01:16.000]  對七歲以下的幼稚園的孩子來說
[00:01:16.000 --> 00:01:18.000]  你不需要解釋這麼多
[00:01:18.000 --> 00:01:21.000]  你不需要跟他們解釋這麼清楚
[00:01:21.000 --> 00:01:22.000]  什麼叫做恐怖襲擊
[00:01:22.000 --> 00:01:24.000]  背後是什麼原因
[00:01:24.000 --> 00:01:27.000]  他們是不明白的
[00:01:27.000 --> 00:01:30.000]  你只要簡單直接告訴他們
[00:01:30.000 --> 00:01:35.000]  表達出你對他們的愛和安慰就可以了
[00:01:35.000 --> 00:01:38.000]  譬如你們抱著他們
[00:01:38.000 --> 00:01:39.000]  抱著他們
[00:01:39.000 --> 00:01:41.000]  安慰他們說不用怕
[00:01:41.000 --> 00:01:44.000]  有爸爸媽媽保護你們
[00:01:44.000 --> 00:01:45.000]  愛你們
[00:01:45.000 --> 00:01:47.000]  有主耶穌愛你們
[00:01:47.000 --> 00:01:48.000]  保護你們
[00:01:48.000 --> 00:01:51.000]  所以什麼都不用怕
[00:01:51.000 --> 00:01:54.000]  這樣就夠了
[00:01:54.000 --> 00:01:55.000]  我可以證明這樣是對的
[00:01:55.000 --> 00:01:57.000]  因為以前我對我兩個女兒
[00:01:57.000 --> 00:01:58.000]  小時候
[00:01:58.000 --> 00:01:59.000]  當她們害怕的時候
[00:01:59.000 --> 00:02:01.000]  我就這樣跟她們說
[00:02:01.000 --> 00:02:06.000]  很漂亮的
[00:02:06.000 --> 00:02:09.000]  第二個方法
[00:02:09.000 --> 00:02:14.000]  對小學生來說
[00:02:14.000 --> 00:02:15.000]  要多說一點
[00:02:15.000 --> 00:02:17.000]  你只是這樣說
[00:02:17.000 --> 00:02:19.000]  安慰的說話是不夠的
[00:02:19.000 --> 00:02:24.000]  因為他們開始懂得思考
[00:02:24.000 --> 00:02:27.000]  他們需要有原因
[00:02:27.000 --> 00:02:31.000]  文章的作者強調
[00:02:31.000 --> 00:02:36.000]  父母要加上平日生活的榜樣
[00:02:36.000 --> 00:02:38.000]  意思就是說
[00:02:38.000 --> 00:02:42.000]  平日父母要讓孩子看到
[00:02:42.000 --> 00:02:45.000]  當他們憂慮或害怕一些事情的時候
[00:02:45.000 --> 00:02:48.000]  就會將這些事情帶到神的面前
[00:02:48.000 --> 00:02:51.000]  用禱告來求神幫助
[00:02:51.000 --> 00:02:53.000]  禱告完之後
[00:02:53.000 --> 00:02:55.000]  就會很安心
[00:02:55.000 --> 00:02:57.000]  會經歷平安
[00:02:57.000 --> 00:02:59.000]  平靜地生活
[00:02:59.000 --> 00:03:01.000]  不再害怕
[00:03:01.000 --> 00:03:06.000]  讓你的孩子常常看到你們這樣
[00:03:06.000 --> 00:03:09.000]  當他們害怕的時候
[00:03:09.000 --> 00:03:12.000]  他們就會很樂意跟父母一起
[00:03:12.000 --> 00:03:14.000]  將這些驚恐的事情
[00:03:14.000 --> 00:03:15.000]  交給神
[00:03:15.000 --> 00:03:17.000]  用禱告交給神
[00:03:17.000 --> 00:03:26.000]  然後他們一樣會經歷神所賜的平安
[00:03:26.000 --> 00:03:28.000]  父母的生活榜樣
[00:03:28.000 --> 00:03:35.000]  對小孩子有極大的影響力
[00:03:35.000 --> 00:03:38.000]  這篇文章說到這裡
[00:03:38.000 --> 00:03:40.000]  先說這麼多
[00:03:40.000 --> 00:03:42.000]  依我說
[00:03:42.000 --> 00:03:48.000]  這個方法豈止只是對付驚恐的事情
[00:03:48.000 --> 00:03:53.000]  其實對所有價值觀對錯的標準
[00:03:53.000 --> 00:04:00.000]  小朋友都會受父母平時的生活榜樣所影響
[00:04:00.000 --> 00:04:03.000]  所以我們想教導小孩子
[00:04:03.000 --> 00:04:05.000]  任何的標準
[00:04:05.000 --> 00:04:15.000]  在平時的生活裡活出來就行了
[00:04:15.000 --> 00:04:21.000]  當我思考這篇文章背後的教導原則時
[00:04:21.000 --> 00:04:26.000]  我覺得其中的重點是
[00:04:26.000 --> 00:04:34.000]  我們要知道和做出生活的榜樣
[00:04:34.000 --> 00:04:35.000]  也就是說
[00:04:35.000 --> 00:04:38.000]  當我們知道神愛我們的時候
[00:04:38.000 --> 00:04:44.000]  我們就要活出對神的信靠
[00:04:44.000 --> 00:04:47.000]  這個思想也是今天我要說的
[00:04:47.000 --> 00:04:54.000]  哈巴谷書第三章裡所說的主題的教導
[00:04:54.000 --> 00:04:57.000]  我們今天就大家一起去學這個功課
[00:04:57.000 --> 00:05:03.000]  去學習活出以神為樂
[00:05:03.000 --> 00:05:12.000]  去學習活出因我們的神而歡欣
[00:05:12.000 --> 00:05:14.000]  哈巴谷書第一章
[00:05:14.000 --> 00:05:19.000]  是說先知從周圍身邊發生苦難
[00:05:19.000 --> 00:05:22.000]  發生災難而產生疑惑
[00:05:22.000 --> 00:05:24.000]  而從這個疑惑裡
[00:05:24.000 --> 00:05:29.000]  開始有明白神的公義和憐憫
[00:05:29.000 --> 00:05:31.000]  第二章是說先知
[00:05:31.000 --> 00:05:34.000]  他慢慢慢慢有更多的啟示
[00:05:34.000 --> 00:05:38.000]  他認識到明白到神對罪的懲罰
[00:05:38.000 --> 00:05:44.000]  是非常認真和徹底的
[00:05:44.000 --> 00:05:46.000]  今天要說的第三章
[00:05:46.000 --> 00:05:48.000]  是說先知
[00:05:48.000 --> 00:05:51.000]  他首先去回憶神在歷史之中
[00:05:51.000 --> 00:05:54.000]  對他們的百姓以色列人
[00:05:54.000 --> 00:05:57.000]  他們怎樣拯救他們
[00:05:57.000 --> 00:06:02.000]  怎樣施恩給他們怎樣行神蹟來幫助他們
[00:06:02.000 --> 00:06:07.000]  然後先知就作出一個決定來做回應
[00:06:07.000 --> 00:06:09.000]  這個決定就是
[00:06:09.000 --> 00:06:14.000]  無論生活在任何多麼差的環境裡
[00:06:14.000 --> 00:06:17.000]  多麼不如意的境況裡
[00:06:17.000 --> 00:06:21.000]  都要因耶和華而歡欣
[00:06:21.000 --> 00:06:26.000]  要因救他的神而喜樂
[00:06:26.000 --> 00:06:29.000]  就是說只要有神在
[00:06:29.000 --> 00:06:35.000]  他就可以歡欣喜樂
[00:06:35.000 --> 00:06:39.000]  先知做這個決定
[00:06:39.000 --> 00:06:43.000]  其實也是我們今天信徒要做的決定
[00:06:43.000 --> 00:06:47.000]  我們今天生活在這個所謂世風日下的社會裡
[00:06:47.000 --> 00:06:51.000]  我們更加應該要有這種決心
[00:06:51.000 --> 00:06:54.000]  就是我們要敬畏神
[00:06:54.000 --> 00:06:56.000]  不要隨波逐流
[00:06:56.000 --> 00:07:00.000]  不要跟隨現在的潮流風氣
[00:07:00.000 --> 00:07:05.000]  而犯了罪都不知道
[00:07:05.000 --> 00:07:08.000]  無論環境多麼差
[00:07:08.000 --> 00:07:11.000]  我們都要專心依靠神
[00:07:11.000 --> 00:07:16.000]  這樣神就必定賜給我們心裡的平安
[00:07:16.000 --> 00:07:24.000]  這個也是今天訊息的主題
[00:07:24.000 --> 00:07:30.000]  我們看哈巴谷書第三章第一節
[00:07:30.000 --> 00:07:37.000]  先知哈巴谷的禱告調用琉璃歌
[00:07:37.000 --> 00:07:41.000]  第三章是一篇禱告的內容
[00:07:41.000 --> 00:07:43.000]  是先知向神禱告
[00:07:43.000 --> 00:07:47.000]  或者說是他經過第一章第二章的領受之後
[00:07:47.000 --> 00:07:49.000]  對神的一個回應
[00:07:49.000 --> 00:07:51.000]  用禱告來回應
[00:07:51.000 --> 00:07:56.000]  但是這個內容的文章的題材
[00:07:56.000 --> 00:07:58.000]  是詩歌的題材
[00:07:58.000 --> 00:08:00.000]  是一首讚美詩
[00:08:00.000 --> 00:08:08.000]  而且是配上激情的伴奏
[00:08:08.000 --> 00:08:17.000]  琉璃歌的意思是激昂奔放
[00:08:17.000 --> 00:08:22.000]  特別當我們讀到後面第十七十八節的時候
[00:08:22.000 --> 00:08:27.000]  我們更加會感受到那種悲壯豪情
[00:08:27.000 --> 00:08:29.000]  或者剛才你讀到後面的時候
[00:08:29.000 --> 00:08:38.000]  你會覺得雖然很慘,但是很有豪氣在神面前
[00:08:38.000 --> 00:08:40.000]  第二節
[00:08:40.000 --> 00:08:44.000]  耶和華說:我聽見你的明星就懼怕
[00:08:44.000 --> 00:08:48.000]  耶和華說:求你在這些年間復興你的作為
[00:08:48.000 --> 00:08:50.000]  在這些年間顯明出來
