
[00:00:00.000 --> 00:00:02.280]  恭祝明文乃神之廟平安
[00:00:02.280 --> 00:00:05.600]  恭祝文豪弟兄姊妹平安
[00:00:05.600 --> 00:00:06.840]  恭祝大家新年快樂
[00:00:06.840 --> 00:00:08.720]  恭祝大家新年快樂
[00:00:08.720 --> 00:00:17.440]  新年給我們一些新的意識
[00:00:17.440 --> 00:00:19.920]  新年要給我們一些新的意識
[00:00:19.920 --> 00:00:22.480]  特別你看到世俗人
[00:00:22.480 --> 00:00:25.280]  他要去公車廟
[00:00:26.280 --> 00:00:31.600]  現在看到很多世俗的人去廟宇
[00:00:31.600 --> 00:00:33.800]  去小鑽輪盤
[00:00:33.800 --> 00:00:37.480]  我們都有個心態
[00:00:37.480 --> 00:00:43.120]  希望能夠開始新的一年
[00:00:43.120 --> 00:00:45.600]  我們都希望有一個新的開始
[00:00:45.600 --> 00:00:46.160]  是好的
[00:00:46.160 --> 00:00:47.000]  老實說
[00:00:47.000 --> 00:00:48.920]  如果我們以前做錯了
[00:00:48.920 --> 00:00:52.400]  得罪上帝或者有些什麼不合上帝的旨意
[00:00:52.400 --> 00:00:54.040]  我們求主幫助我們
[00:00:54.040 --> 00:00:55.880]  在今年可以做好一點
[00:00:55.880 --> 00:00:58.040]  這個是好的思想
[00:00:58.040 --> 00:00:58.840]  這是好的
[00:00:58.840 --> 00:01:01.520]  就是說以前我們做過什麼錯的事情
[00:01:01.520 --> 00:01:03.160]  希望主能幫助我們改進
[00:01:03.160 --> 00:01:04.840]  在新的一年能做好
[00:01:04.840 --> 00:01:07.200]  不過我們活在這個世界上
[00:01:07.200 --> 00:01:08.400]  活在這個世界上
[00:01:08.400 --> 00:01:09.680]  這個是Earth
[00:01:09.680 --> 00:01:10.320]  就在世上
[00:01:10.320 --> 00:01:11.720]  剛才你唱過一首歌
[00:01:11.720 --> 00:01:13.280]  Heaven and Earth
[00:01:13.280 --> 00:01:15.600]  You worship him
[00:01:15.600 --> 00:01:17.880]  剛才我們唱的詩歌講到
[00:01:17.880 --> 00:01:19.760]  Heaven和Earth
[00:01:19.760 --> 00:01:21.720]  天和地
[00:01:21.720 --> 00:01:24.240]  都敬拜他
[00:01:24.240 --> 00:01:26.960]  我們是天和地中間裡面的人
[00:01:26.960 --> 00:01:28.880]  在天和地中間的我們
[00:01:28.880 --> 00:01:30.360]  我們對上帝如何呢?
[00:01:30.360 --> 00:01:31.680]  我們對上帝如何呢?
[00:01:31.680 --> 00:01:33.200]  剛才的詩篇
[00:01:33.200 --> 00:01:37.120]  你手上的碟子裡面有它的內容
[00:01:37.120 --> 00:01:43.080]  剛才我們的宣教經文講詩篇
[00:01:43.080 --> 00:01:47.800]  你有沒有提到有日出之地
[00:01:47.800 --> 00:01:49.160]  講到日出之地
[00:01:49.160 --> 00:01:51.400]  又有石安
[00:01:51.400 --> 00:01:53.240]  上帝那裡已經發光了
[00:01:53.240 --> 00:01:54.480]  上帝也發光了
[00:01:54.480 --> 00:01:55.880]  上帝又開口了
[00:01:55.880 --> 00:01:58.920]  也開口了
[00:01:58.920 --> 00:02:00.600]  還有烈火
[00:02:00.600 --> 00:02:01.440]  還有烈火
[00:02:01.440 --> 00:02:03.320]  在祂面前
[00:02:03.320 --> 00:02:05.560]  在祂的面前
[00:02:05.560 --> 00:02:09.880]  有烈火在祂面前吞滅
[00:02:09.880 --> 00:02:11.360]  有烈火在祂面前吞滅
[00:02:11.360 --> 00:02:15.760]  有暴風雨在祂四周圍大刮
[00:02:15.760 --> 00:02:19.600]  有暴風雨在祂四周圍大刮
[00:02:19.600 --> 00:02:21.880]  說要審判祂的民
[00:02:21.880 --> 00:02:23.280]  說要審判祂的民
[00:02:23.280 --> 00:02:25.160]  我們很多時候留著一樣東西
[00:02:25.160 --> 00:02:26.560]  我們很多時候留著一樣東西
[00:02:26.560 --> 00:02:27.760]  我們要快樂快樂
[00:02:27.760 --> 00:02:28.480]  我們只要快樂
[00:02:28.480 --> 00:02:29.560]  Happy Happy
[00:02:29.560 --> 00:02:30.240]  只要快樂
[00:02:30.240 --> 00:02:31.080]  做什麼都好
[00:02:31.080 --> 00:02:32.400]  上帝都要愛我
[00:02:32.400 --> 00:02:33.200]  做什麼都好
[00:02:33.200 --> 00:02:34.360]  上帝就愛我
[00:02:34.360 --> 00:02:37.920]  我們被現在的福音信息種壞了
[00:02:37.920 --> 00:02:41.040]  我們被現在的福音信息種壞了
[00:02:41.040 --> 00:02:42.720]  是 上帝很愛我們
[00:02:42.720 --> 00:02:44.120]  沒錯 上帝愛我們
[00:02:44.120 --> 00:02:47.160]  但是這個詩篇
[00:02:47.160 --> 00:02:49.320]  上帝要審判祂的民
[00:02:49.320 --> 00:02:50.400]  上帝要審判祂的民
[00:02:50.400 --> 00:02:52.200]  上官要審判我們
[00:02:52.200 --> 00:02:53.360]  上帝要審判我們
[00:02:53.360 --> 00:02:54.520]  你有沒有聽過?
[00:02:54.520 --> 00:02:55.760]  有沒有聽過呢?
[00:02:55.760 --> 00:02:57.200]  很少聽
[00:02:57.200 --> 00:02:59.920]  好像很少聽
[00:02:59.920 --> 00:03:01.080]  很少聽
[00:03:01.080 --> 00:03:03.320]  有些人漏了不說 是不是?
[00:03:03.320 --> 00:03:04.200]  很少聽
[00:03:04.200 --> 00:03:05.000]  像今天的人有些人比較不講
[00:03:05.000 --> 00:03:06.240]  還有一樣東西
[00:03:06.240 --> 00:03:07.680]  我們教會
[00:03:07.680 --> 00:03:09.920]  不知道特別是針心會
[00:03:09.920 --> 00:03:11.480]  特別是靜心會
[00:03:11.480 --> 00:03:16.760]  是最不唸這個《詩圖信經》
[00:03:16.760 --> 00:03:18.640]  對 都很少唸這個詩
[00:03:18.640 --> 00:03:22.320]  我問問這個教會有沒有唸《詩圖信經》
[00:03:22.320 --> 00:03:29.880]  你們經常唸這個《詩圖信經》嗎?
[00:03:29.880 --> 00:03:32.320]  在那些路德宗的教會
[00:03:32.320 --> 00:03:34.400]  在路德宗的教會呢?
[00:03:34.400 --> 00:03:36.200]  差不多每個禮拜都唸
[00:03:36.200 --> 00:03:38.440]  在每個星期都唸
[00:03:38.440 --> 00:03:39.720]  《詩圖信經》
[00:03:39.720 --> 00:03:41.360]  《詩圖信經》
[00:03:41.360 --> 00:03:45.720]  因為我不想將時間講到時間
[00:03:45.720 --> 00:03:47.960]  所以我不講這麼多來源
[00:03:47.960 --> 00:03:50.080]  如果你想要很多東西問
[00:03:50.080 --> 00:03:50.880]  就問你的牧師
[00:03:50.880 --> 00:03:52.960]  所以註冊牧師是很慘的
[00:03:52.960 --> 00:03:58.920]  如果有問題就請問主人牧師
[00:03:58.920 --> 00:04:01.000]  這套《詩圖信經》裏面說
[00:04:01.000 --> 00:04:07.600]  主是一個審判活人和喪人的主
[00:04:07.600 --> 00:04:08.920]  在《詩圖信經》裏面講
[00:04:08.920 --> 00:04:12.600]  主是一個審判活人和死人的
[00:04:12.600 --> 00:04:15.320]  你看不看到剛才那個詩篇說了
[00:04:15.320 --> 00:04:17.520]  主是審判他的子民的人
[00:04:17.520 --> 00:04:18.480]  在詩篇裏面講
[00:04:18.480 --> 00:04:21.120]  主是審判他的子民的人
[00:04:21.120 --> 00:04:23.240]  我們的《詩圖信經》
[00:04:23.240 --> 00:04:24.160]  在《詩圖信經》裏面
[00:04:24.160 --> 00:04:25.240]  你知道什麼叫做《信經》嗎?
[00:04:25.240 --> 00:04:27.160]  就是我們的信念
[00:04:27.160 --> 00:04:27.760]  什麼是信經?
[00:04:27.760 --> 00:04:29.960]  主耶穌當然是拯救我們
[00:04:29.960 --> 00:04:31.680]  主耶穌拯救我們
[00:04:31.680 --> 00:04:34.480]  但是祂也將來要審判我們
[00:04:34.480 --> 00:04:36.040]  在將來也要審判我們
[00:04:36.040 --> 00:04:37.560]  我們不要漏掉這一點
[00:04:37.560 --> 00:04:38.560]  不要漏掉這一點
[00:04:38.560 --> 00:04:40.320]  OK?
[00:04:40.320 --> 00:04:43.160]  我們對上帝的understanding
[00:04:43.160 --> 00:04:44.320]  要complete
[00:04:44.320 --> 00:04:45.680]  要明白
[00:04:45.680 --> 00:04:46.840]  要完整
[00:04:46.840 --> 00:04:49.680]  我們要完全地明白
[00:04:49.680 --> 00:04:51.800]  如果你明白了這一點呢?
[00:04:51.800 --> 00:04:52.920]  如果你明白了呢?
[00:04:52.920 --> 00:04:54.400]  你就可以明白
[00:04:54.400 --> 00:04:57.360]  我現在為什麼要講耶利米蘇裏面的內容
[00:04:57.360 --> 00:04:59.360]  你就會明白我為什麼要講耶利米蘇
[00:04:59.360 --> 00:05:00.240]  你記不記得我昨天說
[00:05:00.240 --> 00:05:04.720]  耶路撒冷你當受警告
[00:05:04.720 --> 00:05:05.560]  今天的題目就是
[00:05:05.560 --> 00:05:07.840]  耶路撒冷你當接受警告
[00:05:07.840 --> 00:05:10.160]  災禍從北方來了
[00:05:10.160 --> 00:05:11.960]  災禍從北方來了
[00:05:11.960 --> 00:05:12.800]  如果你不明白
[00:05:12.800 --> 00:05:16.200]  我們的上帝要審判他的子民的神體的話
[00:05:16.200 --> 00:05:17.440]  如果你不明白
[00:05:17.440 --> 00:05:19.480]  人家審是審判他子民的
[00:05:19.480 --> 00:05:21.680]  你很難明白我說到的題目
[00:05:21.680 --> 00:05:23.160]  就很難明白我所講的題目
[00:05:23.160 --> 00:05:25.600]  你更加難明白耶利米蘇在講什麼
[00:05:25.600 --> 00:05:30.160]  更加難明白耶路你所講的是什麼
[00:05:30.160 --> 00:05:33.040]  OK?
[00:05:33.040 --> 00:05:34.480]  我們讀到一件事
[00:05:34.480 --> 00:05:38.000]  天地的element
[00:05:38.000 --> 00:05:41.440]  天地和其中的element
[00:05:41.440 --> 00:05:43.200]  element我
[00:05:43.200 --> 00:05:44.840]  怎麼翻譯?
[00:05:44.840 --> 00:05:47.040]  它的元素
[00:05:47.040 --> 00:05:49.320]  你知道下雨是元素
[00:05:49.320 --> 00:05:51.480]  風是元素
[00:05:51.480 --> 00:05:52.480]  地震
[00:05:52.480 --> 00:05:55.160]  就是地裏面的東西全部是元素的
[00:05:55.160 --> 00:05:56.640]  都聽上帝話
[00:05:56.640 --> 00:05:59.520]  說天地之間的元素都聽上帝的話
[00:05:59.520 --> 00:06:01.000]  誰最不聽上帝話?
[00:06:01.000 --> 00:06:03.800]  最不聽上帝話的就是我們這些會動的人
[00:06:03.800 --> 00:06:05.640]  會講話的人最不聽上帝話
[00:06:05.640 --> 00:06:07.520]  就是我們這些可以動的人
[00:06:07.520 --> 00:06:09.000]  那是不是上帝話?
[00:06:09.000 --> 00:06:10.880]  我用俗一點說
[00:06:10.880 --> 00:06:13.080]  是不是上帝吹你不脹?
[00:06:13.080 --> 00:06:14.200]  是不是上帝話對你不太好?
[00:06:14.200 --> 00:06:15.960]  沒你的份
