
[00:00:00.000 --> 00:00:02.000]  感恩節剛剛過了
[00:00:02.000 --> 00:00:04.000]  相信大家都各自在家
[00:00:04.000 --> 00:00:07.000]  或者和朋友或者回來教會有慶祝
[00:00:07.000 --> 00:00:10.000]  或者可能你亦都享受了
[00:00:10.000 --> 00:00:13.000]  感恩節之後的購物
[00:00:13.000 --> 00:00:15.000]  不知道有沒有排隊買到
[00:00:15.000 --> 00:00:19.000]  平價的手機呀
[00:00:19.000 --> 00:00:21.000]  iPhone呀 iPad呀
[00:00:21.000 --> 00:00:25.000]  不知道還有i的各種的產品呀
[00:00:25.000 --> 00:00:26.000]  電腦呀
[00:00:30.000 --> 00:00:33.000]  我今天想和大家說
[00:00:33.000 --> 00:00:35.000]  在《針研》裏面
[00:00:35.000 --> 00:00:37.000]  我們怎樣去明白神的教導
[00:00:37.000 --> 00:00:39.000]  關於這個
[00:00:39.000 --> 00:00:43.000]  可以能夠有一個和諧家庭
[00:00:43.000 --> 00:00:46.000]  在《針研》裏面
[00:00:46.000 --> 00:00:48.000]  上兩次我有講到
[00:00:48.000 --> 00:00:52.000]  我們怎樣去交朋友
[00:00:52.000 --> 00:00:57.000]  和怎樣去維繫一個好朋友的友誼
[00:00:58.000 --> 00:01:00.000]  今天想和大家一起
[00:01:00.000 --> 00:01:02.000]  從《針研》裏面去學習
[00:01:02.000 --> 00:01:07.000]  怎樣可以去營造一個和諧的家庭
[00:01:07.000 --> 00:01:16.000]  講到時下的資訊新設備新產品
[00:01:16.000 --> 00:01:18.000]  大家不知道有沒有發覺
[00:01:18.000 --> 00:01:20.000]  當這些資訊的工具產品
[00:01:20.000 --> 00:01:22.000]  越先進的時候
[00:01:22.000 --> 00:01:26.000]  但是人的溝通能力就越來越弱
[00:01:26.000 --> 00:01:29.000]  我指的是特別在面對面的溝通
[00:01:29.000 --> 00:01:31.000]  即是聊天
[00:01:31.000 --> 00:01:34.000]  亦都人與人相處
[00:01:34.000 --> 00:01:36.000]  亦都越來越困難
[00:01:36.000 --> 00:01:39.000]  有些年青人
[00:01:39.000 --> 00:01:41.000]  在餐廳約會
[00:01:41.000 --> 00:01:42.000]  人就見到了
[00:01:42.000 --> 00:01:43.000]  來了
[00:01:43.000 --> 00:01:45.000]  但是他們仍然是低著頭
[00:01:45.000 --> 00:01:47.000]  用手機來去溝通的
[00:01:47.000 --> 00:01:53.000]  我們現在這一代叫低頭族
[00:01:53.000 --> 00:01:56.000]  以前年紀越老就越低頭
[00:01:56.000 --> 00:02:00.000]  但是現在年青人就越來越低頭
[00:02:00.000 --> 00:02:02.000]  不知道是他們謙卑
[00:02:02.000 --> 00:02:06.000]  還是另有所指
[00:02:06.000 --> 00:02:12.000]  當他們低著頭溝通的時候
[00:02:12.000 --> 00:02:14.000]  抬高頭的時候
[00:02:14.000 --> 00:02:15.000]  不會說話
[00:02:15.000 --> 00:02:17.000]  而面部的表情亦都不符合
[00:02:17.000 --> 00:02:19.000]  手機裏面所打的訊息
[00:02:19.000 --> 00:02:22.000]  這個現象很奇怪
[00:02:22.000 --> 00:02:25.000]  大家有沒有留意到這個現象
[00:02:25.000 --> 00:02:31.000]  其實何止是年青人
[00:02:31.000 --> 00:02:34.000]  就算是成年人
[00:02:34.000 --> 00:02:35.000]  中年人
[00:02:35.000 --> 00:02:36.000]  老年人
[00:02:36.000 --> 00:02:38.000]  男人
[00:02:38.000 --> 00:02:39.000]  女人
[00:02:39.000 --> 00:02:43.000]  他們都不一定懂得怎樣去溝通
