
[00:00:00.000 --> 00:00:03.980]  上星期朱sir跟我們分享一個題目
[00:00:03.980 --> 00:00:07.680]  就是我們怎樣面對罪
[00:00:07.680 --> 00:00:13.180]  記不記得講最重要的做法是甚麼
[00:00:13.180 --> 00:00:15.500]  一個字
[00:00:15.500 --> 00:00:17.440]  就是認
[00:00:17.440 --> 00:00:20.980]  認認真真地認
[00:00:20.980 --> 00:00:25.340]  那段經文告訴我們神是信實的
[00:00:25.340 --> 00:00:26.480]  是公義的
[00:00:26.480 --> 00:00:30.280]  就會赦免我們的罪 洗淨我們一切的不義
[00:00:30.280 --> 00:00:31.780]  這是約翰一書講的
[00:00:31.780 --> 00:00:35.880]  今天我想跟大家從另一段經文去看一看
[00:00:35.880 --> 00:00:39.280]  我們作為一個屬神的群體
[00:00:39.280 --> 00:00:41.580]  面對罪的處理的時候
[00:00:41.580 --> 00:00:46.080]  我們可以從另一個角度去面對這件事
[00:00:46.080 --> 00:00:50.480]  彼得前書四章七至十一節
[00:00:50.480 --> 00:00:52.180]  這段經文
[00:00:52.180 --> 00:00:55.780]  彼得前書第四章第七節一開始
[00:00:55.780 --> 00:00:59.780]  就在講一個很重要的事件給我們聽
[00:00:59.780 --> 00:01:03.880]  就是萬物的結局近了
[00:01:03.880 --> 00:01:05.480]  萬物的結局近了
[00:01:05.480 --> 00:01:07.080]  這個即是在講甚麼呢
[00:01:07.080 --> 00:01:12.080]  我太太就說主在來
[00:01:12.080 --> 00:01:13.880]  是對的
[00:01:13.880 --> 00:01:20.180]  其實這裡有多少人你相信耶穌是來過的
[00:01:25.680 --> 00:01:28.280]  這個就是信心
[00:01:28.280 --> 00:01:30.480]  我們有沒有人見過耶穌來過
[00:01:30.480 --> 00:01:32.480]  沒有 但你相信
[00:01:32.480 --> 00:01:34.480]  真的見不到
[00:01:34.480 --> 00:01:36.380]  但你相信
[00:01:36.380 --> 00:01:37.680]  反過來
[00:01:37.680 --> 00:01:41.080]  有多少人你相信主有一天會再回來
