
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹,大家好
[00:00:02.000 --> 00:00:05.320]  生命樹又和大家讀聖經了
[00:00:05.320 --> 00:00:07.600]  聖經人,聖經事
[00:00:07.600 --> 00:00:10.600]  看到聖經背後上帝的工作
[00:00:10.600 --> 00:00:12.600]  在事,事,事記
[00:00:12.600 --> 00:00:16.600]  是一個很清楚的循環,說了很多次了
[00:00:16.600 --> 00:00:19.800]  每一次都是這樣,每一次都是這樣
[00:00:19.800 --> 00:00:24.600]  今次見到米殿人壓制以色列人
[00:00:24.600 --> 00:00:27.600]  米殿人壓制以色列人
[00:00:27.600 --> 00:00:31.200]  今次是以色列人和米殿人對抗
[00:00:31.200 --> 00:00:34.200]  或者是米殿人來攻擊以色列人
[00:00:34.200 --> 00:00:36.600]  以色列人頑皮了
[00:00:36.600 --> 00:00:41.600]  於是神就用外族的人成為一條皮鞭鞭他
[00:00:41.600 --> 00:00:46.600]  鞭十年八載,很慘的,我們看看
[00:00:46.600 --> 00:00:50.600]  以色列十二支派當中的迦南人
[00:00:50.600 --> 00:00:52.600]  這個圖看了很多次了
[00:00:52.600 --> 00:00:55.600]  不過有時我會移動它,會有些變化的
[00:00:55.600 --> 00:00:58.600]  主要就是我們見到
[00:00:58.600 --> 00:01:02.600]  其實當他們進入迦南地的時候
[00:01:02.600 --> 00:01:08.600]  迦南地主要是約旦河的西面
[00:01:08.600 --> 00:01:11.600]  東面也給了他們
[00:01:11.600 --> 00:01:14.600]  有三個支派拿到這裡
[00:01:14.600 --> 00:01:20.600]  約旦河東,今日的國家是約旦
[00:01:20.600 --> 00:01:23.600]  約旦河西岸就是以色列
[00:01:23.600 --> 00:01:28.600]  留下了很多迦南地的人
[00:01:28.600 --> 00:01:31.600]  當時神是叫他們趕走他們,殺死他們
[00:01:31.600 --> 00:01:33.600]  牛羊也不要,免得
[00:01:33.600 --> 00:01:36.600]  最重要是不要和他們一起拜他們的神
[00:01:36.600 --> 00:01:39.600]  要將他們的祭壇全部拆掉
[00:01:39.600 --> 00:01:43.600]  但很可惜,以色列人沒有聽他們說
[00:01:43.600 --> 00:01:45.600]  留下很多人
[00:01:45.600 --> 00:01:48.600]  其實是分了不同支派的地之後
[00:01:48.600 --> 00:01:52.600]  剩下一些未得之地就自己去拿了
[00:01:52.600 --> 00:01:57.600]  很多支派已經定居
[00:01:57.600 --> 00:02:03.600]  不太有意欲去趕那些人走
[00:02:03.600 --> 00:02:07.600]  或者有些人怕了他們,就來幫他們打工
[00:02:07.600 --> 00:02:09.600]  於是就叫他們留下來
[00:02:09.600 --> 00:02:12.600]  結果正如上帝所說
[00:02:12.600 --> 00:02:17.600]  你留下來的人將會成為你肋上的荊棘
[00:02:17.600 --> 00:02:19.600]  即是你的身上繞著荊棘
[00:02:19.600 --> 00:02:22.600]  你會覺得很痛,很慘,不能動
[00:02:22.600 --> 00:02:24.600]  而且會成為你們的網絡
[00:02:24.600 --> 00:02:26.600]  網絡著你動不了
[00:02:26.600 --> 00:02:28.600]  這是真的
[00:02:28.600 --> 00:02:33.600]  今次是米殿人壓制了以色列人
[00:02:33.600 --> 00:02:35.600]  米殿在哪裏呢?
[00:02:35.600 --> 00:02:37.600]  這個真的很難說
[00:02:37.600 --> 00:02:39.600]  看看地圖
