
[00:00:00.000 --> 00:00:03.480]  好,在節目一樣是開始聽神的道義,先同心的禱告
[00:00:03.480 --> 00:00:07.320]  聽什麼樣,我們聽神的道歉,先同心禱告
[00:00:07.320 --> 00:00:15.800]  蔡父神,多謝祢讓我們能夠在祢的說話的面前再次坦然無懼地去研讀
[00:00:15.800 --> 00:00:18.840]  多謝祢能夠給我們這個機會去認識祢
[00:00:18.840 --> 00:00:23.000]  求祢讓我們真的學會怎樣尊祢為愛,主我們的神
[00:00:23.000 --> 00:00:26.240]  能夠常存在主祢的教訓裏面
[00:00:26.240 --> 00:00:28.600]  提醒我們怎樣去認識
[00:00:28.600 --> 00:00:32.200]  以及與這位永恆的主在祢同在
[00:00:32.200 --> 00:00:35.080]  求祢幫助我們,讓我們深懷於祢
[00:00:35.080 --> 00:00:39.400]  我們親愛的父神,感謝祢讓我們今天能夠再次有這份機會
[00:00:39.400 --> 00:00:43.000]  來打開祢的話語,讓祢寶貴的說話
[00:00:43.000 --> 00:00:48.920]  彰顯在我們面前,讓我們能夠更認識祢是怎樣的一位神
[00:00:48.920 --> 00:00:53.480]  求祢的幫助,讓我們學著怎樣尊祢為聖
[00:00:53.480 --> 00:00:55.280]  是我們生命的主
[00:00:55.280 --> 00:00:58.760]  我們再次把這段時間恭敬教授,我們禱告
[00:00:58.760 --> 00:01:01.760]  奉主耶穌的名聖,Amen
[00:01:01.760 --> 00:01:05.280]  基督教經常說愛
[00:01:05.280 --> 00:01:07.800]  基督教經常說愛
[00:01:07.800 --> 00:01:09.800]  詩歌經常唱愛
[00:01:09.800 --> 00:01:11.520]  詩歌也經常唱愛
[00:01:11.520 --> 00:01:19.160]  基督徒差不多就將上帝神賜愛這個說話常常掛在後面
[00:01:19.160 --> 00:01:23.440]  基督徒經常將神賜愛常常掛在口邊
[00:01:23.440 --> 00:01:25.480]  但是在聖經裏面
[00:01:25.480 --> 00:01:27.000]  但是在聖經裏面
[00:01:27.000 --> 00:01:28.280]  什麼叫做愛呢?
[00:01:28.280 --> 00:01:30.760]  什麼叫愛呢?
[00:01:30.760 --> 00:01:34.520]  如果當我們去留意下有關於形容愛的時候
[00:01:34.520 --> 00:01:37.920]  其中我們經常會有一個這樣的形容
[00:01:37.920 --> 00:01:40.600]  當我們形容愛的時候,基督徒會這樣形容
[00:01:40.600 --> 00:01:42.960]  叫做痛愛
[00:01:42.960 --> 00:01:44.560]  痛愛
[00:01:44.560 --> 00:01:48.760]  愛和痛愛好像兩者有些衝突
[00:01:48.760 --> 00:01:51.200]  愛好像和痛愛有些衝突
[00:01:51.200 --> 00:01:54.440]  今天大部分基督徒看的只是愛
[00:01:54.440 --> 00:01:55.960]  今天大部分基督徒看的只是愛
[00:01:55.960 --> 00:01:59.640]  但是聖經裏面說的愛是痛愛
[00:01:59.640 --> 00:02:02.440]  但是聖經裏面說的愛是痛愛
[00:02:02.440 --> 00:02:09.800]  是一種對一個人那份愛的過程上面有疼痛的經驗
[00:02:09.800 --> 00:02:15.160]  就是在對人的愛的過程當中有痛痛的經驗
[00:02:15.160 --> 00:02:19.000]  而這個正是聖經裏面耶和華神對他的子民
[00:02:19.000 --> 00:02:23.280]  甚至對整個他的創造那份真正的痛愛
[00:02:23.280 --> 00:02:30.400]  耶和華神對他的子民和他整個創造的這份痛愛
[00:02:30.400 --> 00:02:32.200]  顧名思義
[00:02:32.200 --> 00:02:35.760]  痛愛就是說過程當中是不容易過的
[00:02:35.760 --> 00:02:39.600]  痛愛這個過程就說這個過程是不容易的
[00:02:39.600 --> 00:02:41.400]  是有難堪的時間
[00:02:41.400 --> 00:02:42.800]  是有難堪的時間
