
[00:00:00.000 --> 00:00:02.000]  羅馬書第十一講
[00:00:02.000 --> 00:00:04.000]  羅馬書第四章
[00:00:04.000 --> 00:00:08.000]  上次我們已經講了阿伯拉罕的故事
[00:00:08.000 --> 00:00:11.000]  其實第四章還未講完
[00:00:11.000 --> 00:00:13.000]  所以我們現在要繼續講
[00:00:13.000 --> 00:00:16.000]  今天就是要跟大家講信心
[00:00:16.000 --> 00:00:19.000]  我本來給他的題目叫做
[00:00:19.000 --> 00:00:21.000]  怎樣才是真正的信心
[00:00:21.000 --> 00:00:24.000]  但是講到怎樣的時候
[00:00:24.000 --> 00:00:27.000]  就是教你們怎樣做
[00:00:27.000 --> 00:00:29.000]  那就變成行為了
[00:00:29.000 --> 00:00:30.000]  所以後來我想了一下
[00:00:30.000 --> 00:00:32.000]  這個題目不太妥當
[00:00:32.000 --> 00:00:34.000]  因為信心絕對不是行為
[00:00:34.000 --> 00:00:36.000]  不是出於行為
[00:00:36.000 --> 00:00:38.000]  所以我改了它為
[00:00:38.000 --> 00:00:41.000]  怎樣才是真正的信心
[00:00:41.000 --> 00:00:45.000]  就是我們今天的題目
[00:00:45.000 --> 00:00:49.000]  世上一共有四種不同的事情
[00:00:49.000 --> 00:00:51.000]  包括了一切的事
[00:00:51.000 --> 00:00:53.000]  我先講惡事
[00:00:53.000 --> 00:00:55.000]  然後再講善事
[00:00:55.000 --> 00:00:57.000]  惡事是甚麼
[00:00:57.000 --> 00:01:00.000]  惡事就是所有不榮耀神的事
[00:01:00.000 --> 00:01:02.000]  都是惡事
[00:01:02.000 --> 00:01:04.000]  所以惡事是包括
[00:01:04.000 --> 00:01:07.000]  所有人未接受耶穌基督之前
[00:01:07.000 --> 00:01:08.000]  所做的事
[00:01:08.000 --> 00:01:10.000]  無論好壞
[00:01:10.000 --> 00:01:14.000]  正如爾忽所書的二章三節
[00:01:14.000 --> 00:01:17.000]  說他們放縱肉體的私慾
[00:01:17.000 --> 00:01:21.000]  隨著肉體和心中所喜好的去行
[00:01:21.000 --> 00:01:25.000]  本為可怒之子和別人一樣
[00:01:25.000 --> 00:01:27.000]  我們未接受耶穌基督之前
[00:01:27.000 --> 00:01:29.000]  所做的事都是不榮耀神
[00:01:29.000 --> 00:01:32.000]  但是這些都是壞事
[00:01:32.000 --> 00:01:35.000]  我未做基督徒之前
[00:01:35.000 --> 00:01:38.000]  我做很多好事
[00:01:38.000 --> 00:01:41.000]  但是你做好事是否榮耀神
[00:01:41.000 --> 00:01:45.000]  你絕對當時不是榮耀神
[00:01:45.000 --> 00:01:47.000]  但是你說我不榮耀神
[00:01:47.000 --> 00:01:50.000]  也是做很多好事
[00:01:50.000 --> 00:01:53.000]  為甚麼你說是這些惡事
[00:01:53.000 --> 00:01:55.000]  原因很簡單
[00:01:55.000 --> 00:01:57.000]  因為你做好事
[00:01:57.000 --> 00:01:59.000]  你為甚麼會做好事
