
[00:00:00.000 --> 00:00:03.480]  我想說這段時間我在聽和思考的時候
[00:00:03.480 --> 00:00:06.360]  做了一些想法
[00:00:06.360 --> 00:00:08.160]  原來講自由的時候沒有想過
[00:00:08.160 --> 00:00:12.000]  原來是講一種自由的空間
[00:00:12.000 --> 00:00:17.720]  譬如說G.E.提到他中了COVID
[00:00:17.720 --> 00:00:20.800]  自己鎖在房間裡就很自由了
[00:00:20.800 --> 00:00:23.240]  然後我又看看「自由」是什麼意思
[00:00:23.240 --> 00:00:24.560]  「自由」即是可以選擇
[00:00:24.560 --> 00:00:26.120]  或者「自主」就是可以作主
[00:00:26.120 --> 00:00:27.920]  一些這樣的想法
[00:00:27.920 --> 00:00:33.600]  當然其實一般我們這個字
[00:00:33.600 --> 00:00:35.880]  我看的時候其實立刻想到
[00:00:35.880 --> 00:00:36.920]  阿南也說過了
[00:00:36.920 --> 00:00:38.840]  就是「想做就去做」
[00:00:38.840 --> 00:00:40.800]  「不受限制」一種這樣的意思
[00:00:40.800 --> 00:00:42.600]  或者更加重要的
[00:00:42.600 --> 00:00:44.200]  就是「不想做可以不做」
[00:00:44.200 --> 00:00:45.320]  「你自己作主」
[00:00:45.320 --> 00:00:46.160]  我們都是這樣
[00:00:46.160 --> 00:00:50.160]  我就想聖經講的那種自由會是怎樣呢
[00:00:50.160 --> 00:00:52.800]  其實就不是說你好像第一種那樣
[00:00:52.800 --> 00:00:54.880]  有自己的空間那種財務自由
[00:00:54.880 --> 00:00:58.440]  這個字本身是講得釋放的意思
[00:00:58.440 --> 00:01:01.120]  當然有不同書卷都有很多的用法
[00:01:01.120 --> 00:01:03.560]  但是這個是一個很主要的概念
[00:01:03.560 --> 00:01:07.600]  亦都是在第三步之餘
[00:01:07.600 --> 00:01:10.360]  你又不會失控的一種這樣的狀況
[00:01:10.360 --> 00:01:11.800]  無論怎樣都好
[00:01:11.800 --> 00:01:13.680]  我聽完和一邊想的時候
[00:01:13.680 --> 00:01:15.560]  我就覺得這堆東西很理性
[00:01:15.560 --> 00:01:17.200]  接著我就收到阿南的WhatsApp
[00:01:17.200 --> 00:01:19.120]  他說你要做一個Powerpoint
[00:01:19.120 --> 00:01:21.680]  就有一張cover page這樣
[00:01:21.680 --> 00:01:22.600]  我就想了
[00:01:22.600 --> 00:01:25.840]  即是合上眼睛祈禱應該用過甚麼去cover呢
[00:01:25.840 --> 00:01:30.600]  我一看就馬上想到出了一張這樣的照片
[00:01:30.600 --> 00:01:35.520]  這張照片我覺得是很自由、很自主的
[00:01:35.520 --> 00:01:37.360]  為甚麼這樣說呢
[00:01:37.360 --> 00:01:42.320]  我不知道有沒有人知道這裏是哪裏來的
[00:01:42.320 --> 00:01:43.720]  仙島湖是嗎
[00:01:43.720 --> 00:01:45.160]  答對了一半
[00:01:45.160 --> 00:01:46.920]  不過是哪裏的仙島湖呢
[00:01:46.920 --> 00:01:49.320]  其實這裏是西貢的泰墩
[00:01:49.320 --> 00:01:51.760]  在西貢泰墩的頂拍下來
[00:01:51.760 --> 00:01:56.480]  我們經常說仙島湖通常是說元朗大湯那個
[00:01:56.480 --> 00:01:59.000]  這個其實是有西貢的仙島湖
[00:01:59.000 --> 00:02:01.280]  你知道我近時行危行者
[00:02:01.280 --> 00:02:02.680]  我都行西貢的
[00:02:02.680 --> 00:02:04.240]  多數行物理浩徑
[00:02:04.240 --> 00:02:05.760]  都行過西貢其他不同地方
[00:02:05.760 --> 00:02:07.680]  但我沒有上過這個地方
[00:02:07.680 --> 00:02:09.280]  那次其實是去年
[00:02:09.280 --> 00:02:11.640]  我現在在機構服侍的時候
[00:02:11.640 --> 00:02:13.760]  機構同工有幾十人一起去旅行
[00:02:13.760 --> 00:02:15.640]  它就給大家有得選擇
[00:02:15.640 --> 00:02:16.480]  選擇甚麼呢
[00:02:16.480 --> 00:02:18.160]  你去到北潭涌那裏
[00:02:18.160 --> 00:02:19.840]  我們去那裏集合
[00:02:19.840 --> 00:02:23.160]  如果你喜歡是一般的
[00:02:23.160 --> 00:02:25.200]  你就行迦樂徑
[00:02:25.200 --> 00:02:26.800]  然後你喜歡有些的挑戰
[00:02:26.800 --> 00:02:28.720]  就上這個剛才看到的照片
[00:02:28.720 --> 00:02:31.320]  就是行上去泰墩這個地方
[00:02:31.320 --> 00:02:35.240]  其實行上去這個地方有些難度
[00:02:35.240 --> 00:02:35.960]  為甚麼呢
[00:02:35.960 --> 00:02:37.280]  因為它不是很長
[00:02:37.280 --> 00:02:38.600]  1.4公里而已
[00:02:38.600 --> 00:02:41.200]  但是一直這樣直斜上去山路來的
[00:02:41.200 --> 00:02:44.120]  要行三百多米
[00:02:44.120 --> 00:02:45.160]  其實也不長
[00:02:45.160 --> 00:02:47.240]  你行多危行者就濕濕碎的
