
[00:00:00.000 --> 00:00:04.000]  主持人:大家好,各位姐妹好,早安,主佑平安。
[00:00:04.000 --> 00:00:09.000]  剛才尹成執事去讀題目的時候,我在想他會不會唱出來呢?
[00:00:09.000 --> 00:00:12.000]  我們的年代一首歌是可以唱出來的。
[00:00:12.000 --> 00:00:16.000]  今天已經是章南期第三個主日,
[00:00:16.000 --> 00:00:20.000]  距離紀念我們主耶穌基督降生的日子越來越近了。
[00:00:20.000 --> 00:00:22.000]  就好像聖經所說,
[00:00:22.000 --> 00:00:27.000]  基督耶穌降世,為要拯救罪人。
[00:00:27.000 --> 00:00:34.000]  我們都明白,我們每一位都是夢主的恩典、憐憫的罪人。
[00:00:34.000 --> 00:00:37.000]  但不知道會不會我們信了主的年日越來越久的時候,
[00:00:37.000 --> 00:00:42.000]  我們就不知不覺忘記了自己罪人的本質。
[00:00:42.000 --> 00:00:46.000]  我們以為自己頭上已經多了一個光環,
[00:00:46.000 --> 00:00:50.000]  可能我們會批評,我們未信的有什麼問題,
[00:00:50.000 --> 00:00:55.000]  又或者這個世界越來越偏離上主的心意,
[00:00:55.000 --> 00:01:02.000]  而我們忘記了原來我們可能都經常處於罪的光景當中。
[00:01:02.000 --> 00:01:04.000]  我們需要上主的保守,
[00:01:04.000 --> 00:01:11.000]  甚至我們可能會集體地做一些上主不喜悅我們的事,
[00:01:11.000 --> 00:01:13.000]  求上主憐憫私恩,
[00:01:13.000 --> 00:01:16.000]  讓我們能夠時刻去警醒、去反省。
[00:01:16.000 --> 00:01:20.000]  今天我盼望和大家一起進入一個聖經的故事,
[00:01:20.000 --> 00:01:23.000]  就是《創世紀》十一章一到九節,
[00:01:23.000 --> 00:01:25.000]  盼望藉著閱讀這個聖經故事,
[00:01:25.000 --> 00:01:27.000]  我們一起去思想,
[00:01:27.000 --> 00:01:29.000]  作為信仰的群體,
[00:01:29.000 --> 00:01:32.000]  我們其實同樣需要謹慎自守,
[00:01:32.000 --> 00:01:35.000]  我們嘗試一起去體會上主的心意。
[00:01:35.000 --> 00:01:37.000]  不知道大家記不記得,
[00:01:37.000 --> 00:01:40.000]  上次和大家分享訊息的時候,
[00:01:40.000 --> 00:01:43.000]  我們曾經以彼得前書的經文,
[00:01:43.000 --> 00:01:49.000]  和大家分享齊心、同心建造教會的重要性,
[00:01:49.000 --> 00:01:51.000]  當然當時比較特別,
[00:01:51.000 --> 00:01:53.000]  因為我不是面對面和大家分享的,
[00:01:53.000 --> 00:01:55.000]  我是在網上和大家分享。
[00:01:55.000 --> 00:02:02.000]  齊心、同心,如果是做壞事的話,那又會怎樣呢?
[00:02:02.000 --> 00:02:05.000]  會不會是非常之可怕呢?
[00:02:05.000 --> 00:02:09.000]  在二次大戰的時候,
[00:02:09.000 --> 00:02:15.000]  納粹德國屠殺了數以百萬的猶太人,
[00:02:15.000 --> 00:02:22.000]  我們相信這不單單是希特拉這個暴君個人的責任,
[00:02:22.000 --> 00:02:27.000]  整個德國的人民同樣是難辭其咎,
[00:02:27.000 --> 00:02:32.000]  因為畢竟那個人即使不是親自參與了,
[00:02:32.000 --> 00:02:39.000]  但還是縱容了、默許了這些集中營和大屠殺的發生。
[00:02:39.000 --> 00:02:41.000]  所以直到現在,
[00:02:41.000 --> 00:02:46.000]  德國政府和人民仍然深感愧疚。
[00:02:46.000 --> 00:02:49.000]  作為中國人的我們,
[00:02:49.000 --> 00:02:56.000]  在1966至1976年發生了文化大革命,
[00:02:56.000 --> 00:03:02.000]  對於年長一輩的朋友,絕對是一個慘痛的歷史或經歷過。
[00:03:02.000 --> 00:03:05.000]  即使我們身處香港,
[00:03:05.000 --> 00:03:08.000]  我們同樣可能通過一些新聞的片段,
[00:03:08.000 --> 00:03:11.000]  或者一些報紙看到,
[00:03:11.000 --> 00:03:13.000]  在十年浩劫裏面,
[00:03:13.000 --> 00:03:19.000]  很多同胞逃難到香港,顛沛流離,
[00:03:19.000 --> 00:03:21.000]  甚至我們看過一些片段,
[00:03:21.000 --> 00:03:27.000]  在深圳河,經常有一些屍體漂浮到香港。
[00:03:27.000 --> 00:03:30.000]  無奈的是,直到今天,
[00:03:30.000 --> 00:03:36.000]  我們仍然未能作出一個深切的反省和凝聚。
[00:03:36.000 --> 00:03:41.000]  假如整個國家,整個民族,成千上萬的人,
[00:03:41.000 --> 00:03:44.000]  一起去參與惡行的話,
[00:03:44.000 --> 00:03:46.000]  絕對是恐怖的事。
[00:03:46.000 --> 00:03:49.000]  現在創世紀十一章一到九節,
[00:03:49.000 --> 00:03:54.000]  同樣是記錄了一宗集體性的惡行,
[00:03:54.000 --> 00:03:57.000]  是很值得我們去反省的。
[00:03:57.000 --> 00:04:00.000]  原來創世紀的一到十一章,
[00:04:00.000 --> 00:04:04.000]  其實都是記載了上古發生了一些事情,
[00:04:04.000 --> 00:04:06.000]  當中包括大家熟悉的,
[00:04:06.000 --> 00:04:10.000]  就是我們的上主如何創造這個世界,
[00:04:10.000 --> 00:04:13.000]  人類的起源,原罪的由來,
