
[00:00:00.000 --> 00:00:04.220]  早安,兄弟姐妹
[00:00:04.220 --> 00:00:08.900]  今天來到我們這個逆流抉擇的系列
[00:00:08.900 --> 00:00:12.740]  我們追溯回馬丁路德五百年前
[00:00:12.740 --> 00:00:17.920]  帶給我們整個宗教,特別是教會界裏面
[00:00:17.920 --> 00:00:20.420]  我們需要反思我們的信仰
[00:00:20.420 --> 00:00:28.920]  五百年後的今天,我們發現我們仍然在不同的層面
[00:00:28.920 --> 00:00:32.380]  都有很多值得我們深思的事
[00:00:32.380 --> 00:00:36.660]  今天講的題目是關乎到我們工作的照明
[00:00:36.660 --> 00:00:39.100]  這件事我覺得我們每一個人都有份
[00:00:39.100 --> 00:00:41.020]  如果你細心想一想
[00:00:41.020 --> 00:00:46.700]  你人生裏面佔據你最多的時間
[00:00:46.700 --> 00:00:48.660]  其實是否應該是工作?
[00:00:48.660 --> 00:00:50.260]  都是的,是嗎?
[00:00:50.260 --> 00:00:52.740]  但工作究竟是甚麼一回事呢?
[00:00:52.740 --> 00:00:54.100]  我們要搞清楚
[00:00:54.100 --> 00:00:58.680]  因為如果不是的話,我們真的好像往活一生
[00:00:58.680 --> 00:01:00.580]  你不要以為你今天是家庭主婦
[00:01:00.580 --> 00:01:03.480]  你就說我沒有工作,我一輩子都不用打工
[00:01:03.480 --> 00:01:08.820]  其實做家庭主婦是一份很高貴
[00:01:08.820 --> 00:01:12.620]  很有尊嚴、全職的工作
[00:01:12.620 --> 00:01:16.460]  其實比全職的那些人可能更辛苦,是嗎?
[00:01:16.460 --> 00:01:17.800]  因為年終無憂
[00:01:17.800 --> 00:01:20.400]  特別是你家裏如果有幾個化骨龍的話
[00:01:20.400 --> 00:01:24.240]  那你真的是廢寢忘餐
[00:01:24.240 --> 00:01:27.000]  不休不眠地來養大小朋友
[00:01:27.000 --> 00:01:29.380]  我們發覺我們的生命裏面
[00:01:29.380 --> 00:01:31.540]  工作和我們是息息相關的
[00:01:31.540 --> 00:01:33.840]  先和大家看一個很著名的
[00:01:33.840 --> 00:01:36.740]  這個是……
[00:01:36.740 --> 00:01:38.820]  不讓我控制
[00:01:38.820 --> 00:01:40.380]  是Charles Burgeon
[00:01:40.380 --> 00:01:41.620]  一個港島王子
[00:01:41.620 --> 00:01:44.960]  他曾經有一個很經典的說話
[00:01:44.960 --> 00:01:49.160]  他說最驚嘆神的恩典不是祂愛我、救我
[00:01:49.160 --> 00:01:52.800]  乃是神呼召我成為祂的同工
[00:01:52.800 --> 00:01:58.400]  基督能夠令我可能與神同工,幫助祂引進神的國度
[00:01:58.400 --> 00:02:03.740]  建立祂的公義,加速祂至終得勝的日子來臨
[00:02:03.740 --> 00:02:09.120]  這是我們今天看到上帝給我們這個工作
[00:02:09.120 --> 00:02:12.720]  其實是一個很神聖的價值和使命
[00:02:12.720 --> 00:02:15.960]  五百年前馬丁路德對工作的看法是什麼呢?
[00:02:15.960 --> 00:02:19.660]  他說職業是來自神的召命
[00:02:19.660 --> 00:02:26.700]  神也將我們不同的人安放在不同的崗位去服侍他
[00:02:26.700 --> 00:02:30.500]  馬丁路德說這種的召命是一個calling
[00:02:30.500 --> 00:02:32.480]  他相信每一個職業
[00:02:32.480 --> 00:02:35.340]  vocation是有神聖的召命的
[00:02:35.340 --> 00:02:38.880]  vocation和我們今天有些年輕人說
[00:02:38.880 --> 00:02:42.060]  working holiday,最好找到一份筍工
[00:02:42.060 --> 00:02:46.820]  去澳洲大補招,天天游山玩水
[00:02:46.820 --> 00:02:49.460]  一年之內賺到很多錢
