
[00:00:00.000 --> 00:00:07.000]  各位午安 很高興能夠在大家當中分享
[00:00:07.000 --> 00:00:11.000]  我覺得是上帝給我的一個最寶貴的禮物
[00:00:11.000 --> 00:00:16.000]  亦都是在我生命裏面最寶貴的一個恩典
[00:00:16.000 --> 00:00:18.000]  能夠今日和大家分享
[00:00:18.000 --> 00:00:22.000]  我覺得這個恩典是一個很大的蒙福
[00:00:22.000 --> 00:00:25.000]  在這裏再一次多謝大家給這個機會
[00:00:25.000 --> 00:00:29.000]  亦都多謝神給我有機會和大家分享
[00:00:29.000 --> 00:00:33.000]  我請各位再一次同心低頭和同祈禱
[00:00:33.000 --> 00:00:37.000]  天父求你藉著聖靈和你的話語
[00:00:37.000 --> 00:00:40.000]  在我們每個人心裏面做你所做的工作
[00:00:40.000 --> 00:00:46.000]  無論是提醒的、勸勉的、挑戰的、督導的
[00:00:46.000 --> 00:00:49.000]  改變我們的生命
[00:00:49.000 --> 00:00:51.000]  特別是紀念到有些還是尋索者
[00:00:51.000 --> 00:00:53.000]  特別是能夠尋找到你
[00:00:53.000 --> 00:00:55.000]  因為你答應過說尋找就必尋見
[00:00:55.000 --> 00:00:58.000]  叩門就必為我們開門
[00:00:58.000 --> 00:01:00.000]  在途中或是有失意的
[00:01:00.000 --> 00:01:02.000]  或是有迷惘的
[00:01:02.000 --> 00:01:05.000]  讓我們看到人生永遠是有盼望的
[00:01:05.000 --> 00:01:09.000]  在耶穌基督裏面是沒有絕望這一個字
[00:01:09.000 --> 00:01:10.000]  祝福我們
[00:01:10.000 --> 00:01:12.000]  祈禱奉耶穌基督命求
[00:01:12.000 --> 00:01:13.000]  阿們
[00:01:13.000 --> 00:01:15.000]  仍是有望
[00:01:15.000 --> 00:01:19.000]  在1972年3月14日
[00:01:19.000 --> 00:01:21.000]  我想我永遠不會忘記這一天
[00:01:21.000 --> 00:01:23.000]  那天是星期二
[00:01:23.000 --> 00:01:25.000]  我早上起床
[00:01:25.000 --> 00:01:29.000]  那時我仍然是在石劫尾一間中學
[00:01:29.000 --> 00:01:31.000]  叫冥賢中學教書
[00:01:31.000 --> 00:01:34.000]  我早上起床的時候準備要上學
[00:01:34.000 --> 00:01:37.000]  見到我爸爸
[00:01:37.000 --> 00:01:39.000]  我爸爸說你先不要走
[00:01:39.000 --> 00:01:41.000]  有件事要跟你說
[00:01:41.000 --> 00:01:42.000]  我以為有什麼要說
[00:01:42.000 --> 00:01:44.000]  我昨晚做了一個夢
[00:01:44.000 --> 00:01:45.000]  很有趣的
[00:01:45.000 --> 00:01:47.000]  我說做了什麼夢
[00:01:47.000 --> 00:01:52.000]  我昨晚做夢我和一班老友記吃飯
[00:01:52.000 --> 00:01:53.000]  這不是很特別
[00:01:53.000 --> 00:01:54.000]  和老友記吃飯
[00:01:54.000 --> 00:01:55.000]  我們經常做夢
[00:01:55.000 --> 00:01:57.000]  看看吃什麼菜
[00:01:57.000 --> 00:01:58.000]  他說不是
[00:01:58.000 --> 00:02:00.000]  我這班朋友是三十多年前
[00:02:00.000 --> 00:02:04.000]  我在中國認識的一些傳教士
[00:02:04.000 --> 00:02:05.000]  我們在這裡吃西餐
[00:02:05.000 --> 00:02:07.000]  吃得很開心
[00:02:07.000 --> 00:02:08.000]  我就奇怪
[00:02:08.000 --> 00:02:10.000]  我們一直有和他們聯絡
[00:02:10.000 --> 00:02:11.000]  他說不是
[00:02:11.000 --> 00:02:12.000]  三十多年前見面之後
[00:02:12.000 --> 00:02:13.000]  什麼都沒有見過
[00:02:13.000 --> 00:02:15.000]  全部都去世了
[00:02:15.000 --> 00:02:16.000]  我說這麼奇怪
[00:02:16.000 --> 00:02:17.000]  你和他們吃飯
[00:02:17.000 --> 00:02:18.000]  他說覺得奇怪
[00:02:18.000 --> 00:02:19.000]  突然間會想起
[00:02:19.000 --> 00:02:20.000]  一個一個面孔和他們吃飯
[00:02:20.000 --> 00:02:22.000]  吃得很開心
[00:02:22.000 --> 00:02:23.000]  我之後怎樣
