
[00:00:00.000 --> 00:00:02.920]  各位網友,早安!平安!
[00:00:02.920 --> 00:00:06.900]  今天我們要講的是約瑟十七歲的時候
[00:00:06.900 --> 00:00:09.800]  你有沒有想起十七歲的時候你在做什麼?
[00:00:09.800 --> 00:00:14.940]  十七歲這個數目在聖經裡面是不常有的,你覺不覺得?
[00:00:14.940 --> 00:00:19.280]  通常聖經講的是十二,因為是四十,很少十七的,是不是?
[00:00:19.280 --> 00:00:23.000]  那為什麼約瑟是十七呢?因為那時候他真的是十七歲
[00:00:23.000 --> 00:00:26.840]  所以他就寫了十七歲,這個specific是真的十七歲
[00:00:26.840 --> 00:00:31.680]  約瑟十七歲,十多歲的時候是一個很燦爛的年華
[00:00:31.680 --> 00:00:36.760]  有很多可能性,有很多夢想,也有很多未知之數,你覺不覺得?
[00:00:36.760 --> 00:00:40.640]  十七歲的時候,劉德華在做什麼呢?
[00:00:40.640 --> 00:00:45.840]  十七歲那一不要臉,參加了挑戰
[00:00:45.840 --> 00:00:50.600]  明星也有訓練班,短短一年太新鮮
[00:00:50.600 --> 00:00:55.920]  記得四哥,發哥都已見過面
[00:00:55.920 --> 00:00:59.080]  後來榮升主角太突然
[00:00:59.080 --> 00:01:02.480]  這個就是十七歲的劉德華,他那時候參加了訓練班
[00:01:02.480 --> 00:01:06.360]  很多人生轉折位在那個時候,你好像沒唱過K歌
[00:01:06.360 --> 00:01:13.520]  Anyway,這首是K歌,劉德華十七歲的時候的經歷
[00:01:13.520 --> 00:01:18.520]  所以每一個人在那個年紀,那個很燦爛的年代
[00:01:18.520 --> 00:01:21.560]  有很多可能性,有很多未知之數
[00:01:21.560 --> 00:01:26.640]  若失十七歲的時候,還有一樣東西,聖經這樣描述他的
[00:01:26.640 --> 00:01:30.480]  他是一個童子,童子的意思是什麼呢?未結婚的意思
[00:01:30.480 --> 00:01:32.680]  十七歲的時候,當年的人是可以結婚的
[00:01:32.680 --> 00:01:35.880]  尤其是那些大家庭,他家庭都富裕,很多牛羊
[00:01:35.880 --> 00:01:37.640]  是不是可以結婚?是可以結婚的
[00:01:37.640 --> 00:01:40.320]  但是又同一時間他未結婚,所以是一個童子
[00:01:40.320 --> 00:01:44.200]  聖經形容他有沒有打工?有打工的,他和哥哥一同牧羊
[00:01:44.200 --> 00:01:45.800]  他的職業是什麼?牧羊人
[00:01:45.800 --> 00:01:52.240]  因為他又可以這樣說,他叫做Manage Family Business
[00:01:52.240 --> 00:01:55.440]  他現在是在做家裡的工,就是在打家裡的工
[00:01:55.440 --> 00:02:01.080]  他家裡是一個大企業的,牛羊無數,很多很多
[00:02:01.080 --> 00:02:03.680]  所以他十七歲的時候,有很多同事的
[00:02:03.680 --> 00:02:07.880]  那些同事有十一個其他的兄弟,是一個大的集團
[00:02:07.880 --> 00:02:10.880]  當然還有其他的僕人
[00:02:10.880 --> 00:02:15.040]  還有,聖經還有這樣形容,與他父親的妾
[00:02:15.040 --> 00:02:20.440]  "丕拉、釋柏的兒子們尚在一處"
[00:02:20.440 --> 00:02:24.720]  所以他和他父親
[00:02:24.720 --> 00:02:28.160]  這裡也說到他家裡,他家裡也有繁繁的
[00:02:28.160 --> 00:02:30.480]  他家裡有四房人
[00:02:30.480 --> 00:02:36.760]  跟我們香港知名家族何先生都差不多,有四個Brunch
[00:02:36.760 --> 00:02:39.760]  他又不是和每個Brunch都這麼友好
[00:02:39.760 --> 00:02:43.520]  這裡聖經特別形容,就是他和另外那兩個妾
[00:02:43.520 --> 00:02:47.000]  "丕拉、釋柏的兒子們尚在一處"
[00:02:47.000 --> 00:02:50.160]  你可以這樣想像,你平時上班是不是都這樣?
[00:02:50.160 --> 00:02:53.920]  你上班,你公司會有五十人的,譬如他來,五十人
[00:02:53.920 --> 00:02:57.800]  你平時去吃Lunch,在茶房,在Tea的時候
[00:02:57.800 --> 00:03:00.680]  Tea是不是來來去去,其實都三幾個,是不是?
[00:03:00.680 --> 00:03:02.320]  你自己是不是這樣?
[00:03:02.320 --> 00:03:06.320]  因為你不是,我輪流的,我有一個Roster,逐個逐個見的
[00:03:06.320 --> 00:03:08.920]  你會不會這樣?很少這樣的,是不是?
[00:03:08.920 --> 00:03:10.520]  多數你有幾個特別什麼?
[00:03:10.520 --> 00:03:13.680]  一起喝茶,一起吃飯,一起聊天
[00:03:13.680 --> 00:03:17.320]  又相反,有些人你見到他來,你馬上彈開,有沒有的?
[00:03:17.320 --> 00:03:21.480]  你有沒有的?有時候都會有的,特別和哪幾個在一起
[00:03:21.480 --> 00:03:23.680]  我給十五秒時間你想想
[00:03:23.680 --> 00:03:27.400]  為什麼約瑟會特意同意,是特意的
[00:03:27.400 --> 00:03:33.520]  這裡特別寫著,他是特意同意這幾個"尚在一處"
[00:03:33.520 --> 00:03:37.120]  他不是和整個家庭,不是和所有同事一起
