
[00:00:00.000 --> 00:00:03.000]  剛才我們也有讀經
[00:00:03.000 --> 00:00:04.920]  我相信對經文
[00:00:04.920 --> 00:00:07.320]  大家一定不會陌生
[00:00:07.320 --> 00:00:12.520]  但當我們看第八章第一節那段時間
[00:00:12.520 --> 00:00:14.680]  我們覺得有些特別
[00:00:14.680 --> 00:00:16.160]  不知道大家有沒有留意
[00:00:16.160 --> 00:00:17.240]  聖經這樣說
[00:00:17.240 --> 00:00:21.520]  「耶穌卻往橄欖山去」
[00:00:21.520 --> 00:00:24.200]  為何用「卻」字呢?
[00:00:24.200 --> 00:00:28.400]  為何不說「耶穌往橄欖山去」
[00:00:28.400 --> 00:00:29.680]  很清楚吧?
[00:00:29.680 --> 00:00:32.560]  如果我們想了解「卻」那段時間
[00:00:32.560 --> 00:00:36.040]  可能我們要再看第七章
[00:00:36.040 --> 00:00:40.000]  如果你認識《約翰福音》那段時間
[00:00:40.000 --> 00:00:45.160]  我們看到裡面有很多衝突
[00:00:45.160 --> 00:00:50.840]  第七章記載到以色列人要過駐彭節
[00:00:50.840 --> 00:00:52.120]  我想大家了解
[00:00:52.120 --> 00:00:56.400]  以色列的南丁每年都有三次去耶路撒冷
[00:00:56.400 --> 00:00:57.840]  我們稱為「聖城」
[00:00:57.840 --> 00:01:02.160]  聖殿所在的地方要敬拜度一日真神
[00:01:02.160 --> 00:01:05.400]  在那段時間主耶穌也去過
[00:01:05.400 --> 00:01:11.080]  祂藉著駐彭節宣講這個訊息
[00:01:11.080 --> 00:01:13.640]  在駐彭節最後一天
[00:01:13.640 --> 00:01:16.800]  主耶穌公開宣告
[00:01:16.800 --> 00:01:20.280]  祂說祂能夠滿足每一個人的需要
[00:01:20.280 --> 00:01:24.640]  每一個跟隨主的人在裡面完全得到滿足
[00:01:24.640 --> 00:01:27.840]  飢渴的開了主面前
[00:01:27.840 --> 00:01:30.720]  雖然主這樣去宣告
[00:01:30.720 --> 00:01:35.360]  不過我一邊看第七章那段時間
[00:01:35.360 --> 00:01:40.040]  似乎不單止宗教領袖好像不以為然
[00:01:40.040 --> 00:01:42.400]  你是誰?你講甚麼說話?
[00:01:42.400 --> 00:01:46.080]  又或者連那些百姓都是這樣
[00:01:46.080 --> 00:01:49.920]  主耶穌雖然是用心去愛耶路撒冷
