
[00:00:00.000 --> 00:00:04.360]  我們繼續思想啟示錄七間教會的信息
[00:00:04.360 --> 00:00:07.760]  每一封信都有一句說話
[00:00:07.760 --> 00:00:10.800]  聖靈向宗教會所說的話
[00:00:10.800 --> 00:00:15.080]  「凡有耳的就應當聽」
[00:00:15.080 --> 00:00:18.080]  七封書信裏面的信息
[00:00:18.080 --> 00:00:24.800]  是神與當日亞細亞七間教會的信徒所說
[00:00:24.800 --> 00:00:33.520]  這七封信息亦是神對今日的教會的心意宣述
[00:00:33.520 --> 00:00:38.720]  所以聖經說「凡有耳的就應當聽」
[00:00:38.720 --> 00:00:43.880]  意思是信息不只是對當時的七間教會所說
[00:00:43.880 --> 00:00:46.520]  而是對我們今日每一個信徒
[00:00:46.520 --> 00:00:49.240]  每一個返教會的人
[00:00:49.240 --> 00:00:53.120]  我們需要去認識的信息
[00:00:53.120 --> 00:00:55.680]  第一間是弗索教會
[00:00:55.680 --> 00:01:01.080]  神稱讚他們熱心侍奉
[00:01:01.080 --> 00:01:04.080]  不過他們缺乏愛心
[00:01:04.080 --> 00:01:08.920]  第二間是仕美娜教會
[00:01:08.920 --> 00:01:14.120]  神稱讚他們是一間忠心的教會
[00:01:14.120 --> 00:01:18.560]  願意至死去忠心
[00:01:18.560 --> 00:01:21.520]  今日我們去思想第三間教會
[00:01:21.520 --> 00:01:25.720]  第三封書信就是別加摩教會
[00:01:25.720 --> 00:01:30.400]  神對別加摩教會有一個稱讚
[00:01:30.400 --> 00:01:33.680]  有一個責備
[00:01:33.680 --> 00:01:39.880]  一個稱讚是稱讚他們肯去堅守主導
[00:01:39.880 --> 00:01:47.760]  就算面對死亡仍然願意去持守這個信仰
[00:01:47.760 --> 00:01:51.600]  但神去責備別加摩教會
[00:01:51.600 --> 00:01:56.080]  就是他們在真理上
[00:01:56.080 --> 00:02:02.360]  他們就向當時信仰的群體
[00:02:02.360 --> 00:02:05.440]  當時的社會有妥協
[00:02:05.440 --> 00:02:10.040]  不能去守住這個真理
[00:02:10.040 --> 00:02:16.040]  也就是說他們有一個願意為主而死的決心
[00:02:16.040 --> 00:02:20.560]  卻在生活上不能為主而活
[00:02:20.560 --> 00:02:23.400]  就讓我們去花點時間去思想
[00:02:23.400 --> 00:02:27.280]  神對別加摩教會的提醒
[00:02:27.280 --> 00:02:29.680]  讓我們在書信當中
[00:02:29.680 --> 00:02:34.760]  去反省我們今天的教會生活
[00:02:34.760 --> 00:02:38.800]  神對別加摩教會的稱讚
[00:02:38.800 --> 00:02:43.360]  稱讚的話就在第二章第十三節
[00:02:43.360 --> 00:02:46.840]  我們一起再讀這一節的經文
[00:02:46.840 --> 00:02:52.440]  「我知道祢的居所,就是有撒旦座位之處
[00:02:52.440 --> 00:02:57.560]  當我忠心的見證人安提柏在祢們中間
[00:02:57.560 --> 00:03:01.160]  撒旦所住的地方被殺之時
[00:03:01.160 --> 00:03:06.360]  祢還堅守我的命,沒有棄絕我的道」
[00:03:06.360 --> 00:03:11.760]  這句話就是上帝去稱讚他們
[00:03:11.760 --> 00:03:18.160]  就是這位被殺而復活的耶穌基督親自所說的話
[00:03:18.160 --> 00:03:22.080]  祂說「我知道祢的居所
[00:03:22.080 --> 00:03:24.800]  我知道祢住在什麼地方
[00:03:24.800 --> 00:03:27.840]  我知道祢住在一個什麼城市
[00:03:27.840 --> 00:03:35.120]  那個城市是一個有撒旦座位之處」
[00:03:35.120 --> 00:03:37.280]  撒旦坐在那個座位上
[00:03:37.280 --> 00:03:43.640]  就是撒旦掌權的地方
[00:03:43.640 --> 00:03:47.360]  我們之前所說的以弗所和仕美那
[00:03:47.360 --> 00:03:50.480]  是一個沿海岸的城市
[00:03:50.480 --> 00:03:54.280]  是一個商業發展的都市
[00:03:54.280 --> 00:03:57.160]  有貿易
[00:03:57.160 --> 00:03:59.840]  是一個旅遊的城市
[00:03:59.840 --> 00:04:07.640]  但是別加摩這個城市是在山上
[00:04:07.640 --> 00:04:10.920]  這個城市是做在山上
[00:04:10.920 --> 00:04:14.160]  這個不是一個商業的中心
[00:04:14.160 --> 00:04:18.120]  卻是一個宗教的中心
[00:04:18.120 --> 00:04:23.400]  看回第一幅圖畫
[00:04:23.400 --> 00:04:27.160]  主說「我知道祢的居所
[00:04:27.160 --> 00:04:30.680]  就是撒旦座位之處」
[00:04:30.680 --> 00:04:34.520]  這個模型現在放在德國
[00:04:34.520 --> 00:04:38.520]  是仿照當時的別加摩教會
[00:04:38.520 --> 00:04:45.040]  他們在山上的一個廟宇的一個模型
[00:04:45.040 --> 00:04:49.520]  我們看上去像不像一個座位
[00:04:49.520 --> 00:04:51.640]  好像一個寶座一樣
[00:04:51.640 --> 00:04:53.560]  下一幅圖畫
