
[00:00:00.000 --> 00:00:03.320]  作為父親節,或者近十年八載
[00:00:03.320 --> 00:00:06.340]  很多時候,凡是母親節、父親節之前
[00:00:06.340 --> 00:00:08.680]  就一定有機構搞一些調查的
[00:00:08.680 --> 00:00:10.600]  大家有印象吧,一定有的
[00:00:10.600 --> 00:00:13.560]  不論是之前一個星期已經出
[00:00:13.560 --> 00:00:15.560]  還是之前一天,甚至過一天才出
[00:00:15.560 --> 00:00:16.580]  總有的
[00:00:16.580 --> 00:00:18.840]  前幾天呢,我就看到一個商場
[00:00:18.840 --> 00:00:20.840]  我沒想到商場也做了
[00:00:20.840 --> 00:00:24.800]  商場也做了父親節調查
[00:00:24.800 --> 00:00:26.300]  我不知道大家有沒有看到
[00:00:26.300 --> 00:00:29.440]  我在準備資料的時候,看著看著就看到了
[00:00:29.440 --> 00:00:31.260]  話說就是問
[00:00:31.260 --> 00:00:33.620]  港爸壓力的問題
[00:00:33.620 --> 00:00:37.440]  就是被路過的父親問
[00:00:37.440 --> 00:00:39.440]  你壓力到底有多大
[00:00:39.440 --> 00:00:41.940]  如果一分最低,十分最高
[00:00:41.940 --> 00:00:44.440]  在那個調查裡面
[00:00:44.440 --> 00:00:47.860]  壓力指數,如果一分最低,十分最高
[00:00:47.860 --> 00:00:49.860]  平均大家有沒有印象,有多少?
[00:00:49.860 --> 00:00:52.440]  有些人看了,8.2
[00:00:52.440 --> 00:00:59.440]  8,對,8,很厲害,不夠,還沒到9,9才厲害,很難計算
[00:00:59.440 --> 00:01:01.440]  起碼叫偏向高那邊
[00:01:01.440 --> 00:01:03.440]  十分最高,8.2,壓力最大
[00:01:03.440 --> 00:01:07.020]  檢查一下,不知道真假的
[00:01:07.020 --> 00:01:09.020]  於是他就問了第二條問題
[00:01:09.020 --> 00:01:11.020]  究竟開不開心?
[00:01:11.020 --> 00:01:13.020]  有人說我很高壓,但是很開心
[00:01:13.020 --> 00:01:16.020]  我在想搞什麼,沒有壓力又不開心,什麼事
[00:01:16.020 --> 00:01:18.020]  於是就檢查了
[00:01:18.020 --> 00:01:21.020]  開心指數,港爸自己給了
[00:01:21.020 --> 00:01:23.020]  一樣是一分就最不開心
[00:01:23.020 --> 00:01:25.020]  十分就最開心
[00:01:25.020 --> 00:01:27.020]  知不知道大約是多少
[00:01:27.020 --> 00:01:29.020]  3.9
[00:01:29.020 --> 00:01:31.020]  3.9,怎麼算都不合格
[00:01:31.020 --> 00:01:33.020]  很不開心
[00:01:33.020 --> 00:01:35.020]  壓力大又不開心,應該是相對應
[00:01:35.020 --> 00:01:38.020]  有那個互共性在
[00:01:38.020 --> 00:01:40.020]  出了的時候
[00:01:40.020 --> 00:01:43.020]  不知道你聽到,當你看到新聞的時候
[00:01:43.020 --> 00:01:45.020]  你心裡面有沒有共鳴
[00:01:45.020 --> 00:01:47.020]  我也是有很大壓力的
[00:01:47.020 --> 00:01:51.020]  或者老婆你看到老公的時候,你有沒有想安慰他兩句呢
[00:01:51.020 --> 00:01:53.020]  或者兒子女兒
[00:01:53.020 --> 00:01:55.020]  你今晚會不會回去和爸爸拿著禮物給他們
[00:01:55.020 --> 00:01:57.020]  爸爸我知道你壓力大
[00:01:57.020 --> 00:01:59.020]  8.2,你要禮物
[00:01:59.020 --> 00:02:01.020]  想不想安慰都可能是
[00:02:01.020 --> 00:02:03.020]  想不想安慰都可能是
[00:02:03.020 --> 00:02:05.020]  但是與此同時,調查又問多了兩樣東西
[00:02:05.020 --> 00:02:07.020]  問多了一些東西
[00:02:07.020 --> 00:02:09.020]  就問一下,因為這樣的緣故
[00:02:09.020 --> 00:02:11.020]  有什麼反應呢?
[00:02:11.020 --> 00:02:13.020]  原來呢
[00:02:13.020 --> 00:02:15.020]  答問卷那班的港爸呢
[00:02:15.020 --> 00:02:17.020]  有八成以上的人
[00:02:17.020 --> 00:02:19.020]  是有失眠的
[00:02:19.020 --> 00:02:21.020]  如果有父親在
[00:02:21.020 --> 00:02:23.020]  如果昨晚你睡得好
[00:02:23.020 --> 00:02:25.020]  真是感謝上帝
[00:02:25.020 --> 00:02:27.020]  只有一成多的人
[00:02:27.020 --> 00:02:29.020]  是沒有失眠的
[00:02:29.020 --> 00:02:31.020]  在座當中有沒有人昨晚失眠的
[00:02:31.020 --> 00:02:33.020]  順耶穌不錯
[00:02:33.020 --> 00:02:35.020]  不是不是,正正正
[00:02:35.020 --> 00:02:37.020]  八成有失眠
[00:02:37.020 --> 00:02:39.020]  幾乎五成的人
[00:02:39.020 --> 00:02:41.020]  是選擇回家不說話的
[00:02:41.020 --> 00:02:43.020]  我挺害怕的
[00:02:43.020 --> 00:02:45.020]  我猜也有個打招呼的
[00:02:45.020 --> 00:02:47.020]  可能打完招呼進屋門後
