
[00:00:00.000 --> 00:00:04.000]  今天已經去到十誡那邊的第九條誡命
[00:00:04.000 --> 00:00:06.200]  換句話來說,再多一堂崇拜
[00:00:06.200 --> 00:00:08.200]  我就會將整個十誡
[00:00:08.200 --> 00:00:10.000]  我渴望是很清楚的
[00:00:10.000 --> 00:00:12.000]  也都是渴望在這個世代那邊
[00:00:12.000 --> 00:00:15.700]  我們仍然可以去應用的誡命當中
[00:00:15.700 --> 00:00:17.500]  真的在我們的生活當中
[00:00:17.500 --> 00:00:20.600]  我們可以一步一步的來應用
[00:00:20.600 --> 00:00:22.400]  以至有一天我們的生命
[00:00:22.400 --> 00:00:25.800]  是能夠完全的將十誡的教導
[00:00:25.800 --> 00:00:27.400]  擺在我們的生命當中
[00:00:27.400 --> 00:00:30.000]  而我們也都藉著我們的生命
[00:00:30.000 --> 00:00:32.800]  去影響更多人的生命
[00:00:32.800 --> 00:00:33.800]  我強調講十誡
[00:00:33.800 --> 00:00:37.000]  並不是因為我們很想建立一間
[00:00:37.000 --> 00:00:39.600]  所謂的律法主義的教會
[00:00:39.600 --> 00:00:41.600]  而我們很希望能夠藉著十誡
[00:00:41.600 --> 00:00:43.000]  我們更加去看得到
[00:00:43.000 --> 00:00:45.000]  我們的上帝那種的智慧
[00:00:45.000 --> 00:00:47.000]  祂的大能,祂的生命
[00:00:47.000 --> 00:00:49.400]  也都是因為這個十誡那邊
[00:00:49.400 --> 00:00:51.400]  當我們更深去了解之後
[00:00:51.400 --> 00:00:53.600]  我們看到神自己的真實
[00:00:53.600 --> 00:00:55.600]  以至到讓祂的教導
[00:00:55.600 --> 00:00:58.000]  成為了我們生命根深的
[00:00:58.000 --> 00:01:00.600]  一個很重要的源頭
[00:01:00.600 --> 00:01:03.800]  以至到我們去享受分享十誡那邊
[00:01:03.800 --> 00:01:05.800]  享受去應用十誡當中
[00:01:05.800 --> 00:01:07.800]  我們是真的從心那邊
[00:01:07.800 --> 00:01:09.200]  是甘心樂意的
[00:01:09.200 --> 00:01:11.400]  是帶著我們生命的改變之後
[00:01:11.400 --> 00:01:13.000]  我們外在的生命
