
[00:00:00.000 --> 00:00:01.620]  我們一同再次祈禱
[00:00:01.620 --> 00:00:04.240]  天父我們感謝祢今天早上
[00:00:04.240 --> 00:00:07.540]  再一次用祢的愛招聚我們
[00:00:07.540 --> 00:00:12.580]  亦是在祢面前等一天他們回應祢的感動
[00:00:12.580 --> 00:00:14.180]  願意到祢面前來
[00:00:14.180 --> 00:00:15.720]  無論在家中
[00:00:15.720 --> 00:00:17.520]  無論在其他場合
[00:00:17.520 --> 00:00:20.020]  當我們敬拜讚美
[00:00:20.020 --> 00:00:23.020]  在祢面前恭聽祢話語的時候
[00:00:23.020 --> 00:00:25.420]  最後求祢幫助我們每一位
[00:00:25.420 --> 00:00:28.580]  讓我們不單止人在的地方
[00:00:28.580 --> 00:00:30.520]  讓我們的心靈
[00:00:30.520 --> 00:00:33.260]  按著真理在祢面前來敬拜
[00:00:33.260 --> 00:00:35.760]  求主使我們口中的言語
[00:00:35.760 --> 00:00:37.860]  心裡的意念都能夠蒙面立
[00:00:37.860 --> 00:00:39.240]  順聽我們的禱告
[00:00:39.240 --> 00:00:41.160]  奉耶穌名字祈求
[00:00:41.160 --> 00:00:42.900]  阿門
[00:00:42.900 --> 00:00:44.100]  感謝天父今天早上
[00:00:44.100 --> 00:00:45.300]  可以在這些地方
[00:00:45.300 --> 00:00:48.800]  和大家一同去敬拜神
[00:00:48.800 --> 00:00:52.780]  我在想科技也挺有意思的
[00:00:52.780 --> 00:00:55.340]  今早劉恩德可以在兩個不同的地方
[00:00:55.340 --> 00:00:59.680]  同時講道
[00:00:59.680 --> 00:01:02.920]  我前天跟他在一條拍檔
[00:01:02.920 --> 00:01:05.820]  今天又見到他
[00:01:05.820 --> 00:01:07.360]  在那邊講課室訊息
[00:01:07.360 --> 00:01:12.300]  這裡在講兩個義人的得救、拯救
[00:01:12.300 --> 00:01:15.360]  大家知道神給我們一些東西
[00:01:15.360 --> 00:01:18.340]  是要我們好好地去運用
[00:01:18.340 --> 00:01:20.640]  不是叫我們濫用
[00:01:20.640 --> 00:01:22.680]  你濫用就糟糕了
[00:01:22.680 --> 00:01:24.440]  今天講到兩個義人的得救
[00:01:24.440 --> 00:01:25.580]  如果大家讀剛才的經文
[00:01:25.580 --> 00:01:28.280]  都知道這兩個義人的名字叫什麼
[00:01:28.280 --> 00:01:30.720]  一個叫羅德
[00:01:30.720 --> 00:01:35.420]  一個叫羅亞
[00:01:35.420 --> 00:01:38.220]  如果兩個都是義人
[00:01:38.220 --> 00:01:39.120]  或者我們今天坐在這裡
[00:01:39.120 --> 00:01:42.320]  每個人都是恩信稱義被稱為義人
[00:01:42.320 --> 00:01:45.460]  你想在人生裡有羅德的結局
[00:01:45.460 --> 00:01:49.240]  還是亞伯拉罕的結局
[00:01:49.240 --> 00:01:51.440]  我這樣提
[00:01:51.440 --> 00:01:53.240]  請你們不要誤會
[00:01:53.240 --> 00:01:55.980]  我用地上的生活幸福與否
[00:01:55.980 --> 00:01:58.340]  來比對永生的問題
[00:01:58.340 --> 00:02:01.120]  而是看兩個人都是信
[00:02:01.120 --> 00:02:05.680]  兩個人都是被聖經裡稱為義人的人
[00:02:05.680 --> 00:02:09.160]  但是兩個人都可以說是蒙拯救
[00:02:09.160 --> 00:02:13.160]  拯救的意思就是
[00:02:13.160 --> 00:02:15.520]  滴了出來
[00:02:15.520 --> 00:02:18.860]  如果你有選擇
