
[00:00:00.000 --> 00:00:09.780]  近年來,香港的咖啡文化越來越盛行,坊間也開了很多咖啡店,可以說是城巷城市。
[00:00:09.780 --> 00:00:13.420]  我想問一下,你們有哪位是喝咖啡的呢?
[00:00:13.420 --> 00:00:17.860]  嘩,不少喔,有超過一半的喔。
[00:00:17.860 --> 00:00:25.360]  我喝了咖啡會睡不著覺,還會心跳手震興奮的。
[00:00:25.360 --> 00:00:30.560]  所以,如果你看到我傻傻的,可能我就是喝了咖啡。
[00:00:30.560 --> 00:00:39.940]  香港的咖啡店其實有一個蠻有趣的現象,特別是那些連鎖式的咖啡店。
[00:00:39.940 --> 00:00:47.040]  早前考公開試,我們在這些咖啡店裡面會看到什麼呢?
[00:00:47.040 --> 00:00:54.060]  很多學生哥在那邊,一邊喝咖啡一邊去溫功課。
[00:00:54.060 --> 00:00:58.060]  咖啡店就變得好像自修室一樣。
[00:00:58.060 --> 00:01:04.740]  還有另外一類人,也很常在咖啡店裡面出現的,大家知道是什麼類型嗎?
[00:01:04.740 --> 00:01:06.240]  嘩,你們這麼厲害。
[00:01:06.240 --> 00:01:14.660]  就是那些保險顧問,他們很多時候都會約客人去咖啡店談保險的事情。
[00:01:14.660 --> 00:01:17.920]  最近又多了一類,不知道大家知不知道。
[00:01:17.920 --> 00:01:29.460]  我早幾天去一家咖啡店,我發覺坐在我前後左右的人都在談移民。
[00:01:29.460 --> 00:01:34.060]  他們不是自己談,而是那些是移民顧問。
[00:01:34.060 --> 00:01:40.940]  他們約客人去這些咖啡店談移民的手續。
[00:01:40.940 --> 00:01:47.480]  毫無疑問,近期的局勢的確是令人憂慮的。
[00:01:47.480 --> 00:01:49.660]  不少的人都計劃移民。
[00:01:49.660 --> 00:01:56.580]  我在那家咖啡店問其中一個多口問,他說近期真的多了很多客人。
[00:01:56.580 --> 00:01:59.140]  我今天已經是第三宗了。
[00:01:59.140 --> 00:02:03.160]  我們可想而知,其實真的很多人都為前途而憂慮。
[00:02:03.160 --> 00:02:07.480]  可能在在中都有弟兄姊妹在想這個問題。
[00:02:07.480 --> 00:02:17.000]  以道至見,在這個月,六月,靈修的材料是在彼得前書一和二章。
[00:02:17.000 --> 00:02:22.720]  所以我們這個月的講壇也會看彼得前書這兩章。
[00:02:22.720 --> 00:02:26.680]  彼得前書的時代背景其實都頗動蕩的,
[00:02:26.680 --> 00:02:29.820]  和我們今天的環境有些相似。
[00:02:29.820 --> 00:02:37.400]  所以我想仕途彼得對當時信徒的教導,對我們今天其實都同樣適用。
[00:02:37.400 --> 00:02:42.400]  今天我想藉著剛才我們讀的那段經文來看看,
[00:02:42.400 --> 00:02:48.940]  我們在患難中可以怎樣迎難而上。
[00:02:48.940 --> 00:02:54.400]  首先我想和大家一起了解一下當時的背景。
[00:02:54.400 --> 00:02:59.480]  這是一封書信來的,是仕途彼得寫的。
[00:02:59.480 --> 00:03:09.280]  對象是這裡所說的本都加拉泰加帕多加亞細亞比推尼寄居的信徒。
[00:03:09.280 --> 00:03:13.660]  這些地方其實就是今天的土耳其。
[00:03:13.660 --> 00:03:18.720]  我們看到紅色的那些就是剛才經文所提到的那些地方。
[00:03:18.720 --> 00:03:25.100]  學者一般相信這封書信是流傳在那一帶的教會,
[00:03:25.100 --> 00:03:29.600]  在信徒之間,在教會之間傳閱的一封書信。
[00:03:29.600 --> 00:03:35.180]  而對象有猶太人,也有非猶太人。
[00:03:35.180 --> 00:03:40.280]  就是那些內幫人信了耶穌,成為基督徒。
[00:03:40.280 --> 00:03:46.940]  而這封書信大概寫作的年期是在主後的62至63年,
[00:03:46.940 --> 00:03:54.000]  也就是羅馬君主尼祿對基督徒進行大規模迫害的前夕。
[00:03:54.000 --> 00:04:01.940]  可能大家都有聽過尼祿王,或者聽過他有大規模的迫害基督徒。
[00:04:01.940 --> 00:04:07.420]  到底是怎麼一回事呢?為什麼他會迫害那些基督徒呢?
[00:04:07.420 --> 00:04:12.820]  在主後的64年,也是寫這封書信之後不久,
[00:04:12.820 --> 00:04:19.860]  羅馬城發生大火,足足燒了五日五夜。
[00:04:19.860 --> 00:04:27.720]  在這場火中燒了很多地方,羅馬城其實總共有大概14個區域,
[00:04:27.720 --> 00:04:35.660]  當中11個區域被火波及,甚至連皇宮也燒了。
[00:04:35.660 --> 00:04:40.900]  當時不少人相信是尼祿王所做的。
[00:04:40.900 --> 00:04:47.900]  而尼祿為了洗脫嫌疑,就把罪名嫁禍給基督徒。
[00:04:47.900 --> 00:04:53.700]  他迫使那些基督徒去認罪,並且進行大規模的搜捕,
[00:04:53.700 --> 00:04:57.420]  並且向他們施以殘酷的刑罰。
[00:04:57.420 --> 00:05:04.640]  這些刑罰包括當眾將他們活生生地燒死,
[00:05:04.640 --> 00:05:12.560]  也有將他們扔進鬥獸場,迫使他們披上獸皮,
[00:05:12.560 --> 00:05:20.720]  讓他們變得像野獸一樣,然後放獵犬出來將他們活生生地咬死。
[00:05:20.720 --> 00:05:28.240]  在這一輪的大逼迫中,仕途彼得也在當中殉道,
[00:05:28.240 --> 00:05:34.080]  傳統相信他是倒轉去釘十字架而死的。
[00:05:34.080 --> 00:05:43.280]  問題是為何當時的人會相信尼祿所說的這場火是基督徒所做的呢?
[00:05:43.280 --> 00:05:48.040]  原來當時的基督徒在社會上是受到敵視的。
[00:05:48.040 --> 00:05:52.120]  羅馬帝國是信奉多神的,他們什麼都可以拜一頓,
[00:05:52.120 --> 00:05:56.880]  但基督徒是拜三一的真神,
[00:05:56.880 --> 00:06:05.920]  而且他們又不會和劉合污和當時的人一起做壞事。
[00:06:05.920 --> 00:06:12.040]  他們還經常聚在一起,搜聖餐,進行愛言。
[00:06:12.040 --> 00:06:16.120]  有些人就誤會他們,他們抹餅喝杯,
[00:06:16.120 --> 00:06:23.280]  他們是不是在吃人血,吃人肉,有一些這樣的流傳。
[00:06:23.280 --> 00:06:28.680]  所以當時的基督徒是受到排斥和敵視,
[00:06:28.680 --> 00:06:32.880]  他們被稱為基督徒,就是從那時開始。
[00:06:32.880 --> 00:06:40.680]  其實這個字本身也有一些貶義,出於嘲諷。
[00:06:40.680 --> 00:06:43.680]  這個我一會兒會再講多一點。
