
[00:00:00.000 --> 00:00:02.040]  各位電視姐妹 祝大家平安
[00:00:02.040 --> 00:00:05.320]  說回林牧師在邀請我來的時候
[00:00:05.320 --> 00:00:08.560]  他給了一些資訊我去預備今天的訊息
[00:00:08.560 --> 00:00:10.240]  他首先提醒我
[00:00:10.240 --> 00:00:14.520]  我今天講到的對象會是職稱的群體
[00:00:14.520 --> 00:00:18.560]  接著他說 牧者很了解大家的狀況
[00:00:18.560 --> 00:00:21.400]  他說大家正處於一種迷惘
[00:00:21.400 --> 00:00:24.680]  世代之爭和混亂的世界裏面
[00:00:24.680 --> 00:00:27.080]  最後他就說
[00:00:27.080 --> 00:00:34.320]  究竟這個群體可以怎樣以信仰去面對這個世界呢
[00:00:34.320 --> 00:00:36.720]  他最後就說是不是很多東西
[00:00:36.720 --> 00:00:38.240]  我覺得都可以的 都分享得到
[00:00:38.240 --> 00:00:40.640]  我都是處於這樣的狀況裏面
[00:00:40.640 --> 00:00:41.680]  不過很老實說
[00:00:41.680 --> 00:00:44.400]  如果有得選擇的話
[00:00:44.400 --> 00:00:48.600]  我想大家都不會選擇去面對這個世界的
[00:00:48.600 --> 00:00:51.680]  這些混亂 迷惘有得選擇當然是不面對的
[00:00:51.680 --> 00:00:55.880]  如果不是 為什麼近來這麼多人說要移民
[00:00:55.880 --> 00:00:58.680]  而我最近聽得最多說要移民的人
[00:00:58.680 --> 00:01:02.960]  正正就是你們職稱這個年紀的人
[00:01:02.960 --> 00:01:06.960]  情況其實就好像我們上一兩代的家人一樣
[00:01:06.960 --> 00:01:09.760]  由大陸來到香港
[00:01:09.760 --> 00:01:12.520]  只不過當年下來香港的人
[00:01:12.520 --> 00:01:14.840]  就不會叫做移民這麼好聽
[00:01:14.840 --> 00:01:19.080]  當時的人一般都被稱為難民
[00:01:19.080 --> 00:01:20.840]  難民的意思就是說
[00:01:20.840 --> 00:01:22.880]  一班活在苦難的人
[00:01:22.880 --> 00:01:25.400]  他們為了逃離苦難
[00:01:25.400 --> 00:01:28.200]  而要去到一個新的地方居住
[00:01:28.200 --> 00:01:33.160]  究竟當時國內的人在面對什麼樣的苦難呢
[00:01:33.160 --> 00:01:36.560]  根據紀錄 維基也找到了
[00:01:36.560 --> 00:01:38.480]  在五十至七十年代
[00:01:38.480 --> 00:01:42.840]  總共出現過四次大規模的逃亡潮
[00:01:42.840 --> 00:01:47.040]  第一次就是基於五十年代的國內政權的轉移
[00:01:47.040 --> 00:01:50.080]  當時很多人為了逃離新政府
[00:01:50.080 --> 00:01:54.720]  即是新的政黨的統治而偷渡下來香港
[00:01:54.720 --> 00:01:56.800]  第二次就是因為六十年代初
[00:01:56.800 --> 00:01:59.000]  大家讀過歷史 大躍進
[00:01:59.000 --> 00:02:02.400]  因為大躍進的原因而引致的大饑荒
[00:02:02.400 --> 00:02:06.280]  很多人為了逃離國內那種高壓的生活
[00:02:06.280 --> 00:02:09.960]  而逃離香港
[00:02:09.960 --> 00:02:13.880]  而最後兩次都是在七十年代出現的
[00:02:13.880 --> 00:02:17.240]  第一就是七十年代初的文化大革命
[00:02:17.240 --> 00:02:20.280]  真的很恐怖 上一代的人就知道了
[00:02:20.280 --> 00:02:22.720]  而還有一個就是七十年代末
[00:02:22.720 --> 00:02:24.640]  七十年代末發生什麼事呢
[00:02:24.640 --> 00:02:30.480]  其實香港當時即將要實施一個叫做遣返難民的政策
[00:02:30.480 --> 00:02:34.480]  所以很多人就趁著這個政策實施之前
[00:02:34.480 --> 00:02:37.160]  就趕緊下來香港
[00:02:37.160 --> 00:02:40.400]  而當時國內政府為了不想那些人偷渡
[00:02:40.400 --> 00:02:42.600]  於是就大肆宣傳說
[00:02:42.600 --> 00:02:45.120]  香港是人間地獄
[00:02:45.120 --> 00:02:46.520]  在大陸是有這樣的東西
[00:02:46.520 --> 00:02:48.720]  有一份文件出了香港是人間地獄
[00:02:48.720 --> 00:02:50.120]  你不要下來
[00:02:50.120 --> 00:02:52.960]  但是對國內的人來說
[00:02:52.960 --> 00:02:55.200]  哪裡是地獄哪裡是天堂
