
[00:00:00.000 --> 00:00:06.000]  鄧小姐妹,平安,我講平安你們講喜樂
[00:00:06.000 --> 00:00:11.000]  平安喜樂是神給我們很大的祝福
[00:00:11.000 --> 00:00:16.000]  今天是傳道主日,我首先會和大家分享
[00:00:16.000 --> 00:00:19.000]  我弟弟在去年信主
[00:00:19.000 --> 00:00:24.000]  我覺得這是神給我一個最大的禮物
[00:00:24.000 --> 00:00:26.000]  好像一個神蹟一樣
[00:00:26.000 --> 00:00:30.000]  我弟弟在大學的時候是讀哲學系
[00:00:30.000 --> 00:00:35.000]  也讀過佛學,也教了佛學十幾二十年
[00:00:35.000 --> 00:00:43.000]  他每星期一段時間都去大嶼山寶蓮寺尋問
[00:00:43.000 --> 00:00:45.000]  他年輕的時候是基督徒
[00:00:45.000 --> 00:00:48.000]  但是讀了哲學之後他就離開了信仰
[00:00:48.000 --> 00:00:50.000]  四十幾年
[00:00:50.000 --> 00:00:53.000]  去年他患了癌症
[00:00:53.000 --> 00:00:56.000]  我和他同行了幾個月
[00:00:56.000 --> 00:00:59.000]  很關心他,和他分享福音
[00:00:59.000 --> 00:01:02.000]  我們每兩三天就聊長途電話
[00:01:02.000 --> 00:01:05.000]  他在英國,過了幾個小時
[00:01:05.000 --> 00:01:08.000]  但是突然間過了幾個月之後
[00:01:08.000 --> 00:01:10.000]  他突然寫了一個信息給我
[00:01:10.000 --> 00:01:14.000]  他說我經過九個月來的考慮
[00:01:14.000 --> 00:01:16.000]  我還是決定不信耶穌
[00:01:16.000 --> 00:01:20.000]  他寫了四個很大的原因
[00:01:20.000 --> 00:01:25.000]  我就發覺其實他還沒看見
[00:01:25.000 --> 00:01:30.000]  我就繼續努力來解答他心裏面的問題
[00:01:30.000 --> 00:01:35.000]  很感謝主,到最後他接受了主
[00:01:35.000 --> 00:01:38.000]  這個過程是一個非常艱難的過程
[00:01:38.000 --> 00:01:40.000]  他不是一下子就看到
[00:01:40.000 --> 00:01:46.000]  是一個慢慢神開他的眼睛
[00:01:46.000 --> 00:01:50.000]  這是神的恩典和人的努力
[00:01:50.000 --> 00:01:52.000]  在福音書裡面
[00:01:52.000 --> 00:01:57.000]  神蹟不只是一些很奇怪不能解釋的事
[00:01:57.000 --> 00:02:00.000]  神蹟是一個記號,英文叫sign
[00:02:00.000 --> 00:02:03.000]  是指向一些真理
[00:02:03.000 --> 00:02:06.000]  我們今天看這個核子的E字
[00:02:06.000 --> 00:02:09.000]  指向什麼真理呢?我先透露一點
[00:02:09.000 --> 00:02:11.000]  是指向那些門徒
[00:02:11.000 --> 00:02:15.000]  他們的心路歷程
[00:02:15.000 --> 00:02:19.000]  首先我們先明白這段經文的上下文
[00:02:19.000 --> 00:02:21.000]  首先簡單來說
[00:02:21.000 --> 00:02:27.000]  由第八章到第十章
[00:02:27.000 --> 00:02:33.000]  就是一大段講到門徒怎樣認識主
[00:02:33.000 --> 00:02:36.000]  這一段經文之前
[00:02:36.000 --> 00:02:39.000]  耶穌基督餵飽了幾千人
[00:02:39.000 --> 00:02:42.000]  然後他們渡海的時候
[00:02:42.000 --> 00:02:47.000]  發現忘了帶餅,他們就驚起來慌張
[00:02:47.000 --> 00:02:50.000]  耶穌當時問了他們七個問題
[00:02:50.000 --> 00:02:53.000]  你們沒有餅就議論嗎?
[00:02:53.000 --> 00:02:57.000]  你們還沒有醒悟嗎?還不明白嗎?
[00:02:57.000 --> 00:02:59.000]  你們的心裡面還是愚頑嗎?
