
[00:00:00.000 --> 00:00:02.920]  阿摩斯介绍一位这样的神
[00:00:02.920 --> 00:00:05.000]  第一段第二段
[00:00:05.000 --> 00:00:07.880]  其实是第一节到第五节
[00:00:07.880 --> 00:00:12.920]  第一节到第五节其实是讲述两件事
[00:00:12.920 --> 00:00:16.880]  当所罗门的儿子罗邦安
[00:00:16.880 --> 00:00:19.720]  听从那些年轻人的时候
[00:00:19.720 --> 00:00:22.560]  他的国家失去了十个支派
[00:00:22.560 --> 00:00:26.920]  所罗门的一个将领叫做耶罗邦安
[00:00:26.920 --> 00:00:30.080]  不是他的儿子多一个字 耶罗邦安
[00:00:30.080 --> 00:00:32.120]  就得着这十个支派
[00:00:32.120 --> 00:00:37.200]  十个支派就拥带了耶罗邦安成立了另一个国家
[00:00:37.200 --> 00:00:38.600]  所以就叫做北国
[00:00:38.600 --> 00:00:41.640]  因为他的首都在撒玛尼亚在北面
[00:00:41.640 --> 00:00:45.240]  而南国的首都在耶路撒冷
[00:00:45.240 --> 00:00:47.360]  所以就叫做南国
[00:00:47.360 --> 00:00:51.000]  在北国成立的时候
[00:00:51.000 --> 00:00:56.080]  耶罗邦安的心里面就有些问题
[00:00:56.080 --> 00:00:57.680]  他就说
[00:00:57.680 --> 00:01:02.840]  我的国家的民族仍然是敬拜耶和华的
[00:01:02.840 --> 00:01:05.240]  他们过时过节要去哪里
[00:01:05.240 --> 00:01:07.640]  去耶路撒冷敬拜
[00:01:07.640 --> 00:01:10.400]  去到耶路撒冷的时候见到朱镜明
[00:01:10.400 --> 00:01:12.640]  这位大祭司觉得多好
[00:01:12.640 --> 00:01:14.360]  就留下在南国
[00:01:14.360 --> 00:01:16.680]  那我的国民就越来越什么
[00:01:16.680 --> 00:01:18.400]  少
[00:01:18.400 --> 00:01:21.120]  他的私心
[00:01:21.120 --> 00:01:22.800]  他的恐惧
[00:01:22.800 --> 00:01:24.080]  他的什么
[00:01:24.080 --> 00:01:26.160]  他的身份
[00:01:26.160 --> 00:01:27.520]  不得到肯定
[00:01:27.520 --> 00:01:28.520]  就出现了
[00:01:28.520 --> 00:01:30.880]  因为他的核心身份有问题
[00:01:30.880 --> 00:01:33.240]  他不知道主已经答应了
[00:01:33.240 --> 00:01:35.040]  喂 我给你
[00:01:35.040 --> 00:01:37.560]  那主给你他会不会后悔
[00:01:37.560 --> 00:01:39.000]  你看不看到顶姐妹
[00:01:39.000 --> 00:01:40.680]  其实主给我们个个
[00:01:40.680 --> 00:01:42.840]  给我们 给我们 给我们
[00:01:42.840 --> 00:01:44.120]  不过
[00:01:44.120 --> 00:01:45.000]  死啦
[00:01:45.000 --> 00:01:45.880]  我想不行的
[00:01:45.880 --> 00:01:47.840]  我想给给下其实会什么
[00:01:47.840 --> 00:01:48.920]  会拿回的
[00:01:48.920 --> 00:01:50.200]  里面有问题
[00:01:50.200 --> 00:01:51.800]  我是谁其实我不配
[00:01:51.800 --> 00:01:54.800]  我要想办法去保护着
[00:01:54.800 --> 00:01:56.560]  耶罗邦真的出了这个问题
[00:01:56.560 --> 00:01:59.200]  所以我看到他的核心身份有问题
[00:01:59.200 --> 00:02:00.520]  他就说不行的
[00:02:00.520 --> 00:02:02.120]  这样的国家
[00:02:02.120 --> 00:02:04.200]  不会永远都效忠于我
[00:02:04.200 --> 00:02:05.640]  所以我要想办法
[00:02:05.640 --> 00:02:08.480]  令到那些人不要去南国敬拜
[00:02:08.480 --> 00:02:09.720]  于是
[00:02:09.720 --> 00:02:11.080]  他就这样
[00:02:11.080 --> 00:02:13.800]  就做了两只金牛犊
[00:02:13.800 --> 00:02:15.520]  做了两只金牛犊
[00:02:15.520 --> 00:02:17.240]  如果你看回聂王记
[00:02:17.240 --> 00:02:19.160]  你就发现记载这件事
[00:02:19.160 --> 00:02:20.600]  他就和以色列人说
[00:02:20.600 --> 00:02:22.920]  喂 以色列人 看看
[00:02:22.920 --> 00:02:26.560]  这位就是领你们出埃及的神
[00:02:26.560 --> 00:02:29.600]  他真的没说错
[00:02:29.600 --> 00:02:30.640]  为什么
[00:02:30.640 --> 00:02:33.080]  那个假神就出现了
[00:02:33.080 --> 00:02:36.720]  因为如果你们知道金牛犊是怎么出现的话
[00:02:36.720 --> 00:02:39.360]  你真的会觉得很邪
[00:02:39.360 --> 00:02:41.440]  金牛犊最早出现在哪里呢
[00:02:41.440 --> 00:02:44.240]  在以色列人出埃及在旷野的时候
[00:02:44.240 --> 00:02:46.720]  摩西上山四十昼夜
[00:02:46.720 --> 00:02:47.760]  太久没下来
[00:02:47.760 --> 00:02:49.360]  以色列人在下面
[00:02:49.360 --> 00:02:50.360]  很空闲
[00:02:50.360 --> 00:02:51.960]  没事做
[00:02:51.960 --> 00:02:53.880]  又不懂得敬拜
[00:02:53.880 --> 00:02:55.360]  又不懂得耕田
[00:02:55.360 --> 00:02:57.480]  那做什么
[00:02:57.480 --> 00:02:59.040]  说是非
[00:02:59.040 --> 00:03:00.560]  想些什么
[00:03:00.560 --> 00:03:01.520]  无谓的
[00:03:01.520 --> 00:03:03.880]  所以没事做好吗
[00:03:03.880 --> 00:03:06.080]  穆兰君没事做好吗
[00:03:06.080 --> 00:03:08.240]  没事做就在家发霉
[00:03:08.240 --> 00:03:12.480]  在家发霉之后就和隔壁什么斗嘴
[00:03:12.480 --> 00:03:14.960]  或者和老公吵架
[00:03:14.960 --> 00:03:16.480]  或者看儿子不顺眼
[00:03:16.480 --> 00:03:18.880]  不是 多数是看女儿不顺眼
[00:03:18.880 --> 00:03:22.480]  或者看牧师不顺眼
[00:03:22.480 --> 00:03:25.400]  看小组里面的成员不顺眼
[00:03:25.400 --> 00:03:27.160]  看组长不顺眼
[00:03:27.160 --> 00:03:29.120]  他做组长我应该可以做驱牧
[00:03:29.120 --> 00:03:31.160]  你这么想的
[00:03:31.160 --> 00:03:32.720]  那些问题就来了
[00:03:32.720 --> 00:03:34.160]  因为你太空闲
[00:03:34.160 --> 00:03:36.120]  所以我太空闲有事
[00:03:36.120 --> 00:03:40.000]  所以我其中一个教练的招数
[00:03:40.000 --> 00:03:43.160]  就是不要让你的弟兄姊妹太空闲
[00:03:43.160 --> 00:03:44.920]  因为太空闲是不行的
[00:03:44.920 --> 00:03:45.840]  为什么
[00:03:45.840 --> 00:03:48.200]  因为太空闲真的会生虫
[00:03:48.200 --> 00:03:52.360]  所以8月5号我回来池塘塘的时候
[00:03:52.360 --> 00:03:53.960]  有个家庭区的成员
[00:03:53.960 --> 00:03:55.480]  我已经忘记他是谁了
[00:03:55.480 --> 00:03:58.720]  就说王姐暑假真的很惨
[00:03:58.720 --> 00:04:01.200]  那些东西全部逼在一起
[00:04:01.200 --> 00:04:03.240]  又回家又四思
[00:04:03.240 --> 00:04:05.320]  然后还有什么
[00:04:05.320 --> 00:04:06.840]  回家四思
[00:04:06.840 --> 00:04:08.040]  真是醒目
[00:04:08.040 --> 00:04:09.400]  他还知道有代代相恋
[00:04:09.400 --> 00:04:11.040]  还有活水城还有什么
[00:04:11.040 --> 00:04:12.240]  四川呢
[00:04:12.240 --> 00:04:14.400]  程希做到爆肺
[00:04:14.400 --> 00:04:16.440]  真的很激烈
[00:04:16.440 --> 00:04:18.080]  要不要炒在一起
[00:04:18.080 --> 00:04:19.200]  他以为他数完了
[00:04:19.200 --> 00:04:21.320]  还没有
[00:04:21.320 --> 00:04:23.760]  你都不知道四思之前
[00:04:23.760 --> 00:04:25.600]  有深圳四思
[00:04:25.600 --> 00:04:26.640]  四思之后
[00:04:26.640 --> 00:04:29.640]  现在有江苏维安的什么
[00:04:29.640 --> 00:04:33.000]  高中的杨爱飞杨的四思
[00:04:33.000 --> 00:04:34.680]  你说死不死
[00:04:34.680 --> 00:04:35.440]  死不死
[00:04:35.440 --> 00:04:37.200]  真是做死你
[00:04:37.200 --> 00:04:37.880]  这样
[00:04:37.880 --> 00:04:39.360]  我去一间教练教会
[00:04:39.360 --> 00:04:41.800]  一进去有个年轻人说
[00:04:41.800 --> 00:04:43.000]  哇王姐
[00:04:43.000 --> 00:04:45.040]  这个暑假真的很惨
[00:04:45.040 --> 00:04:46.040]  我有多惨
[00:04:46.040 --> 00:04:47.560]  很辛苦
[00:04:47.560 --> 00:04:49.480]  多得你不少
[00:04:49.480 --> 00:04:51.360]  东西全部是我搞的
[00:04:51.360 --> 00:04:52.400]  多得我不少
[00:04:52.400 --> 00:04:54.680]  我说那有多辛苦
[00:04:54.680 --> 00:04:56.560]  辛苦到快死了
[00:04:56.560 --> 00:04:57.600]  那死了没有
[00:04:57.600 --> 00:04:58.320]  那又没有
[00:04:58.320 --> 00:05:00.000]  不过快了
[00:05:00.000 --> 00:05:00.480]  那我就说
[00:05:00.480 --> 00:05:01.000]  哦
[00:05:01.000 --> 00:05:01.560]  那好啊
[00:05:01.560 --> 00:05:02.680]  感谢主没死
[00:05:02.680 --> 00:05:03.760]  就是快了
[00:05:03.760 --> 00:05:05.960]  不过你记不记得你去年怎么死的
[00:05:05.960 --> 00:05:06.960]  我去年怎么死
[00:05:06.960 --> 00:05:09.320]  去年暑假怎么死的
[00:05:09.320 --> 00:05:10.960]  去年暑假
[00:05:10.960 --> 00:05:14.160]  在家闷死了
[00:05:14.160 --> 00:05:15.640]  那我就问他
[00:05:15.640 --> 00:05:18.120]  橫死廉死
[00:05:18.120 --> 00:05:20.160]  你喜欢怎么死
[00:05:20.160 --> 00:05:21.360]  你怎么死都是死的
[00:05:21.360 --> 00:05:23.600]  你死不死
[00:05:23.600 --> 00:05:24.360]  那他就说
[00:05:24.360 --> 00:05:27.000]  那也是
[00:05:27.000 --> 00:05:28.680]  做死好过闷死
[00:05:28.680 --> 00:05:30.400]  他年轻人
[00:05:30.400 --> 00:05:32.120]  这些年纪大的人
[00:05:32.120 --> 00:05:35.640]  是不是贪死好过做死
[00:05:35.640 --> 00:05:36.080]  是不是
[00:05:36.080 --> 00:05:37.880]  你是不是想着贪
[00:05:37.880 --> 00:05:38.480]  是不是
[00:05:38.480 --> 00:05:40.040]  你将来可以贪的
[00:05:40.040 --> 00:05:42.640]  长贪
[00:05:42.640 --> 00:05:43.440]  是不是
[00:05:43.440 --> 00:05:44.840]  但你现在可以做
[00:05:44.840 --> 00:05:46.480]  你要快些什么
