
[00:00:00.000 --> 00:00:03.600]  今天我們會繼續看詩篇十九篇
[00:00:03.600 --> 00:00:07.640]  上星期我們已經看了部分經文的訊息
[00:00:07.640 --> 00:00:10.640]  所以我們很想今天繼續完成
[00:00:10.640 --> 00:00:15.240]  去領受神在這首詩篇裏面給我們甚麼訊息
[00:00:15.240 --> 00:00:20.520]  這首詩篇仍然是很想跟大家一齊去更多的認識
[00:00:20.520 --> 00:00:23.600]  更多去熟讀這首詩篇
[00:00:23.600 --> 00:00:26.680]  所以我都邀請大家仍然可以開始的時候
[00:00:26.680 --> 00:00:29.240]  我們將整首詩篇十九篇再讀一次
[00:00:29.240 --> 00:00:32.400]  希望能夠放向你的心裏面
[00:00:32.400 --> 00:00:34.960]  所以如果可以我們一齊來看螢光幕
[00:00:34.960 --> 00:00:36.800]  或者看你手上的聖經
[00:00:36.800 --> 00:00:39.120]  我們再一次讀完這首詩篇
[00:00:39.120 --> 00:00:41.800]  從第一節讀到第十四節
[00:00:41.800 --> 00:00:44.680]  好,預備,我們開始讀,預備,起
[00:00:44.680 --> 00:00:47.600]  諸天述說神的榮耀
[00:00:47.600 --> 00:00:50.640]  窮倉傳揚他的手段
[00:00:50.640 --> 00:00:53.920]  這日到那日發出言語
[00:00:53.920 --> 00:00:57.360]  這夜到那夜傳出知識
[00:00:57.360 --> 00:01:01.720]  無言無語也無聲音可聽
[00:01:01.720 --> 00:01:05.000]  他的量大通遍天下
[00:01:05.000 --> 00:01:08.360]  他的言語傳到地極
[00:01:08.360 --> 00:01:12.920]  神在其間為太陽安設帳幕
[00:01:12.920 --> 00:01:16.360]  太陽如同新郎出洞房
[00:01:16.360 --> 00:01:19.840]  猶如勇士歡迎昏露
[00:01:19.840 --> 00:01:22.560]  他從天這邊出來
[00:01:22.560 --> 00:01:24.800]  繞到天那邊
[00:01:24.800 --> 00:01:29.600]  沒有一物被隱藏不得他的熱氣
[00:01:29.600 --> 00:01:34.760]  耶和華的律法傳遞能甦醒人心
[00:01:34.760 --> 00:01:40.360]  耶和華的法道確定能使愚人有智慧
[00:01:40.360 --> 00:01:45.520]  耶和華的訓詞正直能快活人的心
[00:01:45.520 --> 00:01:51.200]  耶和華的命令清潔能明亮人的眼目
[00:01:51.200 --> 00:01:55.840]  耶和華的道理潔淨傳到永遠
[00:01:55.840 --> 00:02:00.560]  耶和華的典章真實、傳言公義
[00:02:00.560 --> 00:02:03.400]  都比金紙可羨慕
[00:02:03.400 --> 00:02:07.240]  且比極多的精金可羨慕
[00:02:07.240 --> 00:02:12.920]  比蜜金田且比瘋狂下迪的蜜金田
[00:02:12.920 --> 00:02:17.040]  況且你的服人因此受警戒
[00:02:17.040 --> 00:02:20.640]  手著這些便有大賞
[00:02:20.640 --> 00:02:23.880]  誰能知道自己的錯失呢?
[00:02:23.880 --> 00:02:28.520]  願你赦免我隱而未現的過錯
[00:02:28.520 --> 00:02:33.680]  求你難阻服人不犯任意妄為的罪
[00:02:33.680 --> 00:02:36.480]  不用這罪克制我
[00:02:36.480 --> 00:02:40.400]  我便完全免犯大罪
[00:02:40.400 --> 00:02:44.640]  耶和華我的伴碩、我的救贖主
[00:02:44.640 --> 00:02:49.120]  願我口中的言語、心裡的意念
[00:02:49.120 --> 00:02:52.600]  在你面前蒙月立
[00:03:19.120 --> 00:03:23.680]  《耶和華律法》、《法道訓詞命令》、《道理典章》
[00:03:23.680 --> 00:03:27.400]  不知道大家有沒有機會回去看過詩篇119篇
[00:03:27.400 --> 00:03:32.560]  當中有更多的形容神的話去描述祂
[00:03:32.560 --> 00:03:36.320]  「世界真奇妙」是提醒我們世界向我們說話
