
[00:00:00.000 --> 00:00:02.800]  各位粉絲們 早晨
[00:00:02.800 --> 00:00:09.360]  聖誕節不知大家有沒有慣用的祝福語或者是問安語呢?
[00:00:09.360 --> 00:00:12.600]  聖誕節見到大家就說「聖誕快樂」
[00:00:12.600 --> 00:00:16.360]  新年呢?就「新年快樂」
[00:00:16.360 --> 00:00:19.280]  或者有些人可能不太適合說快樂的
[00:00:19.280 --> 00:00:21.960]  就說「主愛平安」、「耶穌愛你」
[00:00:21.960 --> 00:00:23.800]  其實很久之前
[00:00:23.800 --> 00:00:26.640]  書信或者聖誕卡下面
[00:00:26.640 --> 00:00:30.200]  人總是喜歡用「以馬內利」的
[00:00:30.200 --> 00:00:33.400]  是「祝福問安語必選之一」
[00:00:33.400 --> 00:00:34.640]  「以馬內利」
[00:00:34.640 --> 00:00:36.960]  但今天不知是否年代不同了呢?
[00:00:36.960 --> 00:00:38.440]  好像少見了
[00:00:38.440 --> 00:00:39.240]  等一下 姐妹
[00:00:39.240 --> 00:00:41.320]  我想… 剛才中途忘記問了
[00:00:41.320 --> 00:00:42.120]  午頭問一下
[00:00:42.120 --> 00:00:44.680]  誰都常說「以馬內利」的?
[00:00:44.680 --> 00:00:46.960]  舉手來看看
[00:00:46.960 --> 00:00:49.360]  嘩 幾乎沒有的
[00:00:49.360 --> 00:00:51.240]  知不知道正經有這幾個字的?
[00:00:51.240 --> 00:00:52.480]  知道吧?
[00:00:52.480 --> 00:00:54.360]  為甚麼不說的呢?
[00:00:54.360 --> 00:00:55.840]  是呀 時代不同了
[00:00:55.840 --> 00:00:57.880]  因為這個字不再普及
[00:00:57.880 --> 00:01:00.120]  甚至說將這個字忘記了
[00:01:00.120 --> 00:01:01.240]  或者這個字很難明白
[00:01:01.240 --> 00:01:03.480]  「以馬內利」即是甚麼?
[00:01:03.480 --> 00:01:05.720]  今天我就想請姐妹認識一下
[00:01:05.720 --> 00:01:08.080]  「以馬內利」這個字的意思
[00:01:08.080 --> 00:01:10.200]  當然不單單認識這個字的意思
[00:01:10.200 --> 00:01:13.440]  更加要明白這個字帶給我們的意義
[00:01:13.440 --> 00:01:18.720]  原來是在黑暗、在患難的時候
[00:01:18.720 --> 00:01:21.360]  神祂怎樣應許「以馬內利」
[00:01:21.360 --> 00:01:23.880]  就是應許祂與我們同在
[00:01:23.880 --> 00:01:28.000]  剛才讀的經文的內容和重點
[00:01:28.000 --> 00:01:31.240]  我想很簡單地跟姐妹說一次
[00:01:31.240 --> 00:01:33.640]  《馬伯太方》第一章1至17節
[00:01:33.640 --> 00:01:35.120]  就交代了耶穌的家譜
[00:01:35.120 --> 00:01:39.040]  由阿伯拉罕一直追溯到祂的父親約瑟
