
[00:00:00.000 --> 00:00:03.140]  很高興再在港台和大家見面
[00:00:03.140 --> 00:00:06.400]  很高興再次在講台上跟大家見面
[00:00:06.400 --> 00:00:10.560]  貪新忘舊這四個字其實就不是那麼好的
[00:00:10.560 --> 00:00:14.760]  貪新忘舊這四個字其實好像不太好
[00:00:14.760 --> 00:00:16.760]  通常就說我們見到一些新的東西
[00:00:16.760 --> 00:00:17.960]  舊的就不記得了
[00:00:17.960 --> 00:00:20.800]  通常看到新的事物
[00:00:20.800 --> 00:00:22.060]  舊的就忘記了
[00:00:22.060 --> 00:00:23.200]  尤其是男女關係
[00:00:23.200 --> 00:00:25.760]  如果貪新忘舊都挺麻煩的
[00:00:25.760 --> 00:00:27.460]  特別是男女關係
[00:00:27.460 --> 00:00:29.600]  如果貪新忘舊那是多麻煩
[00:00:29.600 --> 00:00:31.840]  今天我教你們要貪新忘舊
[00:00:31.840 --> 00:00:34.460]  今天我們要教大家貪新忘舊
[00:00:34.460 --> 00:00:38.440]  這就是保羅要教導我們的一番說話
[00:00:38.440 --> 00:00:40.500]  這是保羅教導我們的一番說話
[00:00:40.500 --> 00:00:43.400]  就是讓我們忘記了舊的不好的事
[00:00:43.400 --> 00:00:45.240]  讓我們忘記舊的不好的事
[00:00:45.240 --> 00:00:47.100]  我們要追求一個新的事
[00:00:47.100 --> 00:00:48.640]  我們要追求新的事
[00:00:48.640 --> 00:00:50.460]  我們很喜歡新的事是不是
[00:00:50.460 --> 00:00:51.940]  我們很喜歡新的事
[00:00:51.940 --> 00:00:56.340]  例如過年的時候我們當然是穿新衣
[00:00:56.340 --> 00:00:58.900]  例如過新年的時候我們要穿新衣
[00:00:58.900 --> 00:01:01.540]  是不是?新褲、新鞋
[00:01:01.540 --> 00:01:02.640]  新褲子、新鞋子
[00:01:02.640 --> 00:01:05.300]  差不多內外都要換新的是不是?
[00:01:05.300 --> 00:01:07.460]  新褲、內外的全都要換新的
[00:01:07.460 --> 00:01:09.460]  一來就是好意頭是不是?
[00:01:09.460 --> 00:01:12.240]  一來就是好意頭
[00:01:12.240 --> 00:01:14.260]  二來也是藉著一個新的一年
[00:01:14.260 --> 00:01:16.400]  好像有一個新的開始的意思是不是?
[00:01:16.400 --> 00:01:18.800]  而且藉著新的一年有一個新的開始
[00:01:18.800 --> 00:01:21.040]  我們有時候有新年立志
[00:01:21.040 --> 00:01:22.800]  有時候我們有一些新年的勵志
[00:01:22.800 --> 00:01:24.340]  有新年的願望
[00:01:24.340 --> 00:01:25.300]  有新年的願望
[00:01:25.300 --> 00:01:27.960]  就希望今年我會做得更加好了
[00:01:27.960 --> 00:01:29.600]  希望今年做得更加好
[00:01:29.600 --> 00:01:31.700]  去年那些壞事就要掃走它
[00:01:31.700 --> 00:01:33.740]  去年的媒體全都送走
[00:01:33.740 --> 00:01:36.440]  小朋友有新的學期
[00:01:36.440 --> 00:01:37.700]  小朋友有新的學期
[00:01:37.700 --> 00:01:38.640]  我們家長都說
[00:01:38.640 --> 00:01:40.640]  今個學期用心讀書是不是?
[00:01:40.640 --> 00:01:41.700]  家長也會說
[00:01:41.700 --> 00:01:43.740]  這個星期要用點心
[00:01:43.740 --> 00:01:45.640]  去年考第二而已
[00:01:45.640 --> 00:01:46.960]  今年要考第一
[00:01:46.960 --> 00:01:48.000]  去年考第二
