
[00:00:00.000 --> 00:00:02.600]  今天我的正道
[00:00:02.600 --> 00:00:04.920]  雖然我安排了四章一到十二節
[00:00:04.920 --> 00:00:07.480]  但是今天我主要會說一到八節
[00:00:07.480 --> 00:00:11.560]  因為想專注一點說「遠避淫行」這件事
[00:00:11.560 --> 00:00:17.480]  到「貼薩羅尼加前書」四章
[00:00:17.480 --> 00:00:21.040]  其實四章和五章是保羅的勸勉部分
[00:00:21.040 --> 00:00:23.360]  鼓勵大型節目在地上
[00:00:23.360 --> 00:00:27.400]  或者在教會裡面應該怎樣相處和生活
[00:00:28.240 --> 00:00:31.200]  但是在他講勸勉之前
[00:00:31.200 --> 00:00:33.640]  就要提一提上次的經文
[00:00:33.640 --> 00:00:38.440]  因為他首先在三章十一節至十三節
[00:00:38.440 --> 00:00:41.640]  他為了他的勸勉有一個定調
[00:00:41.640 --> 00:00:43.560]  我們一起看看他怎麼說
[00:00:43.560 --> 00:00:48.080]  他說願上帝我們的父和我們的主耶穌
[00:00:48.080 --> 00:00:50.600]  一直引領我們到你們那裡去
[00:00:50.600 --> 00:00:54.360]  由願主叫你們彼此相愛的心
[00:00:54.360 --> 00:00:57.440]  並愛眾人的心都能增長充足
[00:00:57.440 --> 00:00:59.800]  如同我們愛你們一樣
[00:00:59.800 --> 00:01:02.320]  好使你們當我們主耶穌
[00:01:02.320 --> 00:01:04.640]  和他眾聖徒來的時候
[00:01:04.640 --> 00:01:08.440]  在我們赴上帝面前心裡堅固
[00:01:08.440 --> 00:01:11.280]  成為聖潔無可責備
[00:01:11.280 --> 00:01:13.360]  所以保羅說的
[00:01:13.360 --> 00:01:18.880]  接下來我的勸勉是為了最後的時候
[00:01:18.880 --> 00:01:21.800]  我們可以和上帝有個好的關係
[00:01:21.800 --> 00:01:24.720]  在他面前成為聖潔無可指責
[00:01:25.120 --> 00:01:31.520]  他的勸勉就是基於我們最終和上帝的關係為基礎
[00:01:31.520 --> 00:01:33.600]  然後他就定調了
[00:01:33.600 --> 00:01:34.640]  我們要怎麼做
[00:01:34.640 --> 00:01:35.960]  要彼此相愛
[00:01:35.960 --> 00:01:37.760]  愛眾人的心要增長
[00:01:37.760 --> 00:01:41.760]  然後他就開始他的勸勉部分
[00:01:41.760 --> 00:01:43.480]  就是今天要說的經文
[00:01:43.480 --> 00:01:47.200]  我先和大家看一看
[00:01:47.200 --> 00:01:49.600]  其實這八節經文是說什麼的呢
[00:01:49.600 --> 00:01:52.400]  四章第一節
[00:01:52.880 --> 00:01:55.160]  「沒了,弟兄們」
[00:01:55.160 --> 00:01:58.520]  今天要先說一說
[00:01:58.520 --> 00:02:01.280]  就是你會發現保羅今天是和弟兄們說的
[00:02:01.280 --> 00:02:04.080]  但是到了今時今日
[00:02:04.080 --> 00:02:06.400]  我們是和姐妹們說的
[00:02:06.400 --> 00:02:08.920]  所以姐妹們今天的道理也是和大家說的
[00:02:08.920 --> 00:02:09.520]  OK
[00:02:09.520 --> 00:02:11.000]  那我們繼續吧
[00:02:11.000 --> 00:02:13.560]  「好,沒了,弟兄們」
[00:02:13.560 --> 00:02:17.200]  「我們靠著主耶穌求你們,勸你們」
[00:02:17.200 --> 00:02:19.960]  「既然你們領受了我們的教導」
[00:02:19.960 --> 00:02:21.720]  「知道該怎樣行事為人」
[00:02:21.720 --> 00:02:23.200]  「討上帝的喜悅」
