
[00:00:00.000 --> 00:00:03.140]  各位弟兄姊妹平安,很感謝神的恩典
[00:00:03.140 --> 00:00:05.140]  又能夠和大家見面
[00:00:05.140 --> 00:00:07.820]  這次我要用一堂的時間
[00:00:07.820 --> 00:00:11.040]  來介紹很重要的一卷書
[00:00:11.040 --> 00:00:13.040]  是保羅寫給他
[00:00:13.040 --> 00:00:15.040]  作恩信主
[00:00:15.040 --> 00:00:21.180]  做了他真兒子的年輕的提摩太
[00:00:21.180 --> 00:00:24.040]  大家知不知道我的英文名字
[00:00:24.040 --> 00:00:26.040]  叫做Timothy
[00:00:26.040 --> 00:00:27.700]  即是提摩太
[00:00:27.700 --> 00:00:29.980]  我記得在中學的時候
[00:00:29.980 --> 00:00:33.760]  有一個西方來的journeyman
[00:00:33.760 --> 00:00:35.760]  即是來香港兩年
[00:00:35.760 --> 00:00:38.360]  就起遣你中學教英文
[00:00:38.360 --> 00:00:40.920]  他說他幫我們每個學生
[00:00:40.920 --> 00:00:42.520]  要走出去外面
[00:00:42.520 --> 00:00:45.000]  就給一個英文名給我們
[00:00:45.000 --> 00:00:46.400]  我不記得了
[00:00:46.400 --> 00:00:49.520]  當時他好像給了一個Henry
[00:00:49.520 --> 00:00:52.480]  我覺得這麼隨便
[00:00:52.480 --> 00:00:53.920]  我不喜歡
[00:00:53.920 --> 00:00:56.120]  於是我就沒有用那個名字
[00:00:56.120 --> 00:00:58.440]  後來我自己就選了
[00:00:58.440 --> 00:01:00.440]  Timothy這個名字
[00:01:00.440 --> 00:01:03.860]  因為碰巧我爸爸也是牧師
[00:01:03.860 --> 00:01:06.760]  後來我又獻身做牧師
[00:01:06.760 --> 00:01:10.800]  所以我覺得保羅怎樣傳承給提摩太
[00:01:10.800 --> 00:01:13.640]  等於我爸爸怎樣傳承給我
[00:01:13.640 --> 00:01:17.100]  我又傳承給年輕一代的傳道人
[00:01:17.100 --> 00:01:20.120]  讓我能夠去接派
[00:01:20.120 --> 00:01:23.320]  讓我能夠繼續為神侍奉
[00:01:23.320 --> 00:01:25.820]  所以提摩太這個名字
[00:01:25.820 --> 00:01:27.460]  真是很適合我
[00:01:27.460 --> 00:01:31.120]  保羅一共寫了三卷書
[00:01:31.120 --> 00:01:35.580]  通常被稱為教牧書信
[00:01:35.580 --> 00:01:38.420]  就是提摩太前書、提摩太後書
[00:01:38.420 --> 00:01:40.740]  和提多書
[00:01:40.740 --> 00:01:45.460]  這三卷書可以說是牧師的手冊
[00:01:45.460 --> 00:01:48.380]  當然不是牧師先看
[00:01:48.380 --> 00:01:50.760]  信徒更加應該要看
[00:01:50.760 --> 00:01:53.840]  因為你會知道神對教會
[00:01:53.840 --> 00:01:56.200]  有一個很高的期望
[00:01:56.200 --> 00:01:59.720]  對教會有一個很高的要求
[00:01:59.720 --> 00:02:04.260]  然後神期望教會可以在地上發展
[00:02:04.260 --> 00:02:06.500]  榮耀祂的名
[00:02:06.500 --> 00:02:12.260]  今天就讓我來介紹提摩太前書這卷書
[00:02:12.260 --> 00:02:17.820]  首先我介紹一下提摩太這個年輕的信徒
[00:02:17.820 --> 00:02:23.520]  他原來是在路斯德這個地方成長的
[00:02:23.520 --> 00:02:28.280]  他爸爸是一個希臘人
[00:02:28.280 --> 00:02:32.140]  而他媽媽是一個猶太人
[00:02:32.140 --> 00:02:35.560]  所以可以說是異族通婚的
[00:02:35.560 --> 00:02:38.740]  可能他就在他媽媽
[00:02:38.740 --> 00:02:42.140]  特別是他媽媽的媽媽
[00:02:42.140 --> 00:02:44.060]  愛祖母那裡
[00:02:44.060 --> 00:02:48.260]  就承傳了這個信仰
[00:02:48.260 --> 00:02:52.340]  根據《使徒行傳》十六章的記載
[00:02:53.540 --> 00:03:00.240]  提摩太的媽媽就叫做有妮基
[00:03:00.240 --> 00:03:03.020]  而她的婆婆
[00:03:03.020 --> 00:03:06.500]  即是愛祖母就叫做羅爾
[00:03:06.500 --> 00:03:10.040]  所以在提摩太後書第一章
[00:03:10.040 --> 00:03:13.520]  就有說到你母親有妮基
[00:03:13.520 --> 00:03:15.600]  你愛祖母羅爾那裡
[00:03:15.600 --> 00:03:17.880]  傳承了這個信仰
[00:03:17.880 --> 00:03:21.520]  而他的爸爸這個希臘人
[00:03:21.520 --> 00:03:24.960]  可能是後期才信主的
[00:03:24.960 --> 00:03:26.220]  我們很感恩
[00:03:26.220 --> 00:03:29.900]  結果他爸爸也信了耶穌
[00:03:29.900 --> 00:03:34.920]  保羅在他第一次宣教行程的時候
[00:03:34.920 --> 00:03:38.860]  就去過路斯德這些地方
[00:03:38.860 --> 00:03:41.260]  可能就在那時候
[00:03:41.260 --> 00:03:45.600]  提摩太就聽到保羅傳的道
[00:03:45.600 --> 00:03:47.240]  就信主了
[00:03:47.240 --> 00:03:52.000]  所以可以說是保羅帶提摩太信主的
[00:03:52.000 --> 00:03:55.480]  這個年輕人信了主之後
[00:03:55.480 --> 00:03:57.820]  就開始很追求
[00:03:57.820 --> 00:03:59.820]  他心裡面火熱
[00:03:59.820 --> 00:04:02.100]  所以保羅就說
[00:04:02.100 --> 00:04:05.220]  當時路斯德那個地方的
[00:04:05.220 --> 00:04:08.180]  個個都讚這個年輕人
[00:04:08.180 --> 00:04:10.680]  所以後來保羅第二次
[00:04:10.680 --> 00:04:13.320]  他要去宣教行程的時候
[00:04:13.320 --> 00:04:15.720]  提摩太就申請
[00:04:15.720 --> 00:04:19.120]  加入保羅這個宣教隊
[00:04:19.120 --> 00:04:21.000]  好像做一個助手
[00:04:21.000 --> 00:04:25.260]  或者做一個年輕的傳道
