
[00:00:00.000 --> 00:00:07.900]  各位頂姐妹,主愛平安,讓我們一起低頭禱告。
[00:00:07.900 --> 00:00:18.900]  親愛的主耶穌,多謝祢,祢在十字架上的恩情,使我們再一次經歷主愛大能。
[00:00:18.900 --> 00:00:28.900]  祢讓我們體會何為愛,祢讓我們體會祢的愛是多麼的長闊和高深。
[00:00:28.900 --> 00:00:34.900]  主耶穌,多謝祢在十字架上彰顯祢的大愛。
[00:00:34.900 --> 00:00:52.900]  祢讓我們這群富剛,又或者我們生命都是很脆弱、很軟弱、很有限制的人,再一次被祢的愛得到滋潤。
[00:00:52.900 --> 00:01:14.900]  祢十字架的大能,也讓我們的人生能夠在黑暗的裡面得著剛強,得著指引,使我們在當中能夠靠著祢去戰勝黑暗的權勢。
[00:01:14.900 --> 00:01:40.900]  主願意祢自己的話語再一次讓我們有督責、提醒、勉勵,讓我們在2020年的壽苦節晚上再一次洗刷我們的心靈,使我們能夠更新而變化。
[00:01:40.900 --> 00:01:49.900]  多謝祢,順聽我們的禱告,奉耶穌基督,得勝的名球,阿們。
[00:01:49.900 --> 00:02:02.900]  2020年一開始,全球面對著疫情的威脅,世界猶如面對著第三次世界大戰。
[00:02:02.900 --> 00:02:18.900]  再加上香港去年至今經歷一個很大規模的社會運動所帶來的震盪,好像地裂天崩一樣,淋到在所有的人當中。
[00:02:18.900 --> 00:02:35.900]  過去很習以為常的生活,一下子變得好像很不習慣,變得不再健康,不再有把握,不再有以前我們所習慣的規律。
[00:02:35.900 --> 00:02:48.900]  不可預測的將來,都帶給我們未曾預想過,一起經歷的焦慮和不安。
[00:02:48.900 --> 00:02:58.900]  Stay at home,我們都很熟悉這三個字,使人與人之間的距離拉遠了。
[00:02:58.900 --> 00:03:07.900]  這一刻,我們都在不同的角落裡面,不同的空間裡面,一起去敬拜。
[00:03:07.900 --> 00:03:17.900]  我們又會不會能夠體會到,今天壽苦節崇拜的主題?
[00:03:17.900 --> 00:03:23.900]  我的神,我的神,為什麼離棄我?
[00:03:23.900 --> 00:03:40.900]  在最危難的時候,生命面對最低潮,經驗最黑暗的日子,我們會不會同樣苦悶哀嘆,我的神,我的神,為什麼離棄我?
[00:03:40.900 --> 00:03:56.900]  耶穌背起十字架,走上苦路的時候,說了七句話,很值得我們細味,在十加七言的第五句,耶穌就說,我的神,我的神,為什麼離棄我?
