
[00:00:00.000 --> 00:00:04.000]  因為今個月是四月份「受難節」、「復活節」
[00:00:04.000 --> 00:00:10.000]  所以我們就離開了原本上個月我們講到的經文
[00:00:10.000 --> 00:00:14.000]  都是看回路加福音主耶穌受難的過程
[00:00:14.000 --> 00:00:15.000]  復活的記載
[00:00:15.000 --> 00:00:20.000]  今天我們就回來看回第五章開始
[00:00:20.000 --> 00:00:24.000]  上一次跟大家在第四章講到主耶穌基督
[00:00:24.000 --> 00:00:28.000]  祂經過魔鬼的試探
[00:00:28.000 --> 00:00:34.000]  出來開始傳導全港天國的信息
[00:00:34.000 --> 00:00:37.000]  首先祂講明了祂的「使命宣言」
[00:00:37.000 --> 00:00:38.000]  如果大家還記得
[00:00:38.000 --> 00:00:41.000]  祂說:叫我報告:
[00:00:41.000 --> 00:00:44.000]  「被老的得釋放,黑眼的得看見」
[00:00:44.000 --> 00:00:46.000]  「叫那受壓制的得以自由」
[00:00:46.000 --> 00:00:51.000]  這就是主耶穌基督宣佈神所願立人的欺憐臨到
[00:00:51.000 --> 00:01:01.000]  接著祂就照著這個「使命宣言」開始作上帝天國的侍功
[00:01:01.000 --> 00:01:04.000]  首先在第五章開始的時候
[00:01:04.000 --> 00:01:09.000]  在頭二十六節路加記載了三個人物
[00:01:09.000 --> 00:01:11.000]  三個人物和耶穌接觸
[00:01:11.000 --> 00:01:19.000]  可以從三方面去看到耶穌的侍功的內涵和重要性
[00:01:19.000 --> 00:01:21.000]  特別的地方就是我們發覺
[00:01:21.000 --> 00:01:23.000]  在這三個人物裡面
[00:01:23.000 --> 00:01:24.000]  連續這三個
[00:01:24.000 --> 00:01:28.000]  耶穌開始路加記載這三個人物
[00:01:28.000 --> 00:01:30.000]  都有一個共通點
[00:01:30.000 --> 00:01:35.000]  就是耶穌不單止幫助他們表面的問題
[00:01:35.000 --> 00:01:39.000]  耶穌深入地了解他們心靈的需要
[00:01:39.000 --> 00:01:41.000]  所以可以說
[00:01:41.000 --> 00:01:49.000]  耶穌的「使命宣言」叫「受壓制的得以自由」
[00:01:49.000 --> 00:01:52.000]  叫「人的心靈得以釋放」
[00:01:52.000 --> 00:01:56.000]  這就是剛剛好在這三個例子裡面
[00:01:56.000 --> 00:02:03.000]  給我們看到的耶穌基督侍功的焦點
[00:02:03.000 --> 00:02:06.000]  意思就是不單止解決他們表面的問題
[00:02:06.000 --> 00:02:10.000]  而是解決他們心靈的罪疚的問題
[00:02:10.000 --> 00:02:13.000]  因為其實耶穌來到就是把福音帶給這個世界
[00:02:13.000 --> 00:02:18.000]  把天國的救恩臨到地上
[00:02:18.000 --> 00:02:21.000]  最大的問題就是因為我們人有罪
[00:02:21.000 --> 00:02:24.000]  罪影響了我們和上帝的關係
[00:02:24.000 --> 00:02:26.000]  叫我們和上帝分割
[00:02:26.000 --> 00:02:28.000]  耶穌來就是承諾我們的救主
[00:02:28.000 --> 00:02:32.000]  幫助我們來解決罪和罪所帶來的影響
[00:02:32.000 --> 00:02:35.000]  叫我們重新和天父和好
