
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,各位朋友,午安
[00:00:03.000 --> 00:00:05.000]  我經常都習慣了,早安
[00:00:05.000 --> 00:00:08.000]  這個題目OK嗎?
[00:00:08.000 --> 00:00:10.000]  行不行?
[00:00:10.000 --> 00:00:14.000]  希望大家明白
[00:00:14.000 --> 00:00:17.000]  說亞摩斯書,說先知書
[00:00:17.000 --> 00:00:19.000]  其實中間真的不容易說
[00:00:19.000 --> 00:00:21.000]  因為亞摩斯書,說先知書
[00:00:21.000 --> 00:00:24.000]  很多時候就是很多提醒
[00:00:24.000 --> 00:00:26.000]  很多責備
[00:00:26.000 --> 00:00:29.000]  盼望弟兄姊妹在這個系列當中
[00:00:29.000 --> 00:00:33.000]  懷抱著上帝給你謙卑的心
[00:00:33.000 --> 00:00:35.000]  一同去聆聽神的話語
[00:00:35.000 --> 00:00:37.000]  中國人有句說話,在詩經裏面叫做
[00:00:37.000 --> 00:00:41.000]  言之者無罪,聞之者足皆知
[00:00:41.000 --> 00:00:42.000]  有沒有聽過這句說話?
[00:00:42.000 --> 00:00:44.000]  提提大家的意思就是說
[00:00:44.000 --> 00:00:46.000]  聽到裏面的說話
[00:00:46.000 --> 00:00:48.000]  可能未必是你自己的問題
[00:00:48.000 --> 00:00:51.000]  但是都應該要引以為戒
[00:00:51.000 --> 00:00:52.000]  一起去學習
[00:00:52.000 --> 00:00:54.000]  好,我們一起跟著祈禱開始
[00:00:56.000 --> 00:00:59.000]  我們的上主,我們來到你庚前
[00:00:59.000 --> 00:01:01.000]  我們在敬拜當中
[00:01:01.000 --> 00:01:03.000]  我們一同去聆聽你的話語
[00:01:03.000 --> 00:01:06.000]  求主你讓今天早上
[00:01:06.000 --> 00:01:08.000]  我們一同去學習的
[00:01:08.000 --> 00:01:10.000]  這段亞摩斯書
[00:01:10.000 --> 00:01:11.000]  讓我們都看到
[00:01:11.000 --> 00:01:14.000]  我們應該怎樣去對神
[00:01:14.000 --> 00:01:16.000]  以致我們學會去對人
[00:01:16.000 --> 00:01:17.000]  以致我們
[00:01:17.000 --> 00:01:21.000]  上帝你是給我們那份榮耀
[00:01:21.000 --> 00:01:23.000]  讓我們在我們生活裏面
[00:01:23.000 --> 00:01:24.000]  能夠去見證出來
[00:01:24.000 --> 00:01:26.000]  我們這樣祈禱奉耶穌基督的名字
[00:01:26.000 --> 00:01:27.000]  阿們
[00:01:27.000 --> 00:01:31.000]  教會有很多不同的人
[00:01:31.000 --> 00:01:33.000]  我想跟大家聊聊天
[00:01:33.000 --> 00:01:34.000]  問問你
[00:01:34.000 --> 00:01:36.000]  你看看你有沒有見過
[00:01:36.000 --> 00:01:39.000]  或者認識一些朋友
[00:01:39.000 --> 00:01:41.000]  通常應該說是朋友
[00:01:41.000 --> 00:01:43.000]  是這樣的
[00:01:43.000 --> 00:01:47.000]  他平時喜歡賭馬
[00:01:47.000 --> 00:01:49.000]  買馬
[00:01:49.000 --> 00:01:50.000]  買六合彩
[00:01:50.000 --> 00:01:53.000]  一年裏面總有三幾次
[00:01:53.000 --> 00:01:55.000]  過大海
[00:01:55.000 --> 00:01:58.000]  我們所謂去澳門賭錢
[00:01:58.000 --> 00:01:59.000]  逢場作慶
[00:01:59.000 --> 00:02:03.000]  總是會抽煙喝酒
[00:02:03.000 --> 00:02:06.000]  聽到這裏有沒有這樣的朋友
[00:02:06.000 --> 00:02:08.000]  他對人是怎樣的呢
[00:02:08.000 --> 00:02:11.000]  對人就口甜舌滑
[00:02:11.000 --> 00:02:13.000]  說一些色情粗口
[00:02:13.000 --> 00:02:15.000]  哈哈爸爸
[00:02:15.000 --> 00:02:17.000]  總之一年當中裏面
[00:02:17.000 --> 00:02:19.000]  除了好事之外
[00:02:19.000 --> 00:02:23.000]  都有幾件事要做
[00:02:23.000 --> 00:02:25.000]  聽到這裏
[00:02:25.000 --> 00:02:28.000]  你的腦海裏面有沒有一些
[00:02:28.000 --> 00:02:31.000]  你的朋友閃爍過
[00:02:31.000 --> 00:02:33.000]  認識過的
[00:02:33.000 --> 00:02:35.000]  我繼續說下去
[00:02:35.000 --> 00:02:37.000]  他逢到星期日的時候
[00:02:37.000 --> 00:02:39.000]  他會回教會
[00:02:39.000 --> 00:02:46.000]  有沒有這樣的人
[00:02:47.000 --> 00:02:49.000]  回到教會
[00:02:49.000 --> 00:02:51.000]  你真的認不出他
[00:02:51.000 --> 00:02:55.000]  他的行為舉止會一改常態
[00:02:55.000 --> 00:02:59.000]  你完全分辨不到
[00:02:59.000 --> 00:03:00.000]  如果有的話
[00:03:00.000 --> 00:03:04.000]  我估計你會敬而遠之
[00:03:04.000 --> 00:03:07.000]  但有另一種人
[00:03:07.000 --> 00:03:09.000]  有另一類人
[00:03:09.000 --> 00:03:10.000]  其實他有回教會
[00:03:10.000 --> 00:03:12.000]  亦有侍奉
[00:03:12.000 --> 00:03:13.000]  很隨和
[00:03:13.000 --> 00:03:14.000]  有得傾
[00:03:14.000 --> 00:03:15.000]  好好傾
[00:03:15.000 --> 00:03:16.000]  但你跟他傾落的時候
[00:03:16.000 --> 00:03:18.000]  你會發覺
[00:03:18.000 --> 00:03:20.000]  原來他回教會侍奉
[00:03:20.000 --> 00:03:22.000]  又不是真的這麼有心
[00:03:22.000 --> 00:03:24.000]  他自己很多時候
[00:03:24.000 --> 00:03:28.000]  都是為了自己的感覺良好
[00:03:28.000 --> 00:03:30.000]  希望回到教會的時候
[00:03:30.000 --> 00:03:33.000]  真的可以滿足到自己
[00:03:33.000 --> 00:03:35.000]  傾落
[00:03:35.000 --> 00:03:37.000]  其實他為自己
[00:03:37.000 --> 00:03:39.000]  多過為上帝
[00:03:39.000 --> 00:03:42.000]  如果我說
[00:03:42.000 --> 00:03:45.000]  有點像耶穌所說的法利賽人
[00:03:45.000 --> 00:03:47.000]  或者文士
[00:03:47.000 --> 00:03:50.000]  可能大家會具體理解到
[00:03:50.000 --> 00:03:52.000]  信仰對這些人
[00:03:52.000 --> 00:03:54.000]  只不過是空殼
[00:03:54.000 --> 00:03:58.000]  這些人的問題
[00:03:58.000 --> 00:04:00.000]  經常都以為自己好
[00:04:00.000 --> 00:04:03.000]  這個可能才是
[00:04:03.000 --> 00:04:06.000]  他自己最大最大的問題
[00:04:06.000 --> 00:04:09.000]  想著自己多好
[00:04:09.000 --> 00:04:12.000]  外表完全都OK
[00:04:12.000 --> 00:04:14.000]  行為舉止都不錯
