
[00:00:00.000 --> 00:00:03.040]  我知道頂展會有些壓力
[00:00:03.040 --> 00:00:06.120]  但我想有一句說話告訴大家
[00:00:06.120 --> 00:00:10.240]  法庭是判決一個人有沒有罪的地方
[00:00:10.240 --> 00:00:14.720]  但教會是接納罪人悔改的地方
[00:00:14.720 --> 00:00:16.440]  可否和你旁邊的頂展說一聲
[00:00:16.440 --> 00:00:19.160]  教會是接納罪人悔改的地方
[00:00:19.160 --> 00:00:26.640]  我們今天請你打開《聖經路教方第八章》
[00:00:27.760 --> 00:00:30.080]  有《聖經路教方第八章》的請你打開
[00:00:30.080 --> 00:00:32.680]  我們一邊讀的時候一邊要講解
[00:00:32.680 --> 00:00:35.760]  一段表面上看起來不複雜
[00:00:35.760 --> 00:00:37.880]  但是很複雜的經文
[00:00:37.880 --> 00:00:42.560]  在《路教方第八章》1到21節
[00:00:42.560 --> 00:00:46.240]  《路教方第八章》1到21節
[00:00:46.240 --> 00:00:48.560]  《路教方第八章》第一節開始
[00:00:48.560 --> 00:00:50.760]  至到21節找到請聽我讀出
[00:00:50.760 --> 00:00:51.760]  如果你沒有《聖經》的
[00:00:51.760 --> 00:00:54.600]  旁邊的弟子妹都請你和他分享你的《聖經》
[00:00:54.600 --> 00:00:56.320]  《路教方第八章》第一節這麼說
[00:00:56.320 --> 00:00:59.440]  「過了不多日,耶穌周遊各城各鄉
[00:00:59.440 --> 00:01:01.760]  傳道宣講神國的福音
[00:01:01.760 --> 00:01:03.880]  和他同去的有十二個門徒
[00:01:03.880 --> 00:01:06.480]  還有被惡鬼所伏
[00:01:06.480 --> 00:01:08.320]  被疾病所累
[00:01:08.320 --> 00:01:10.120]  已經治好的幾個婦女
[00:01:10.120 --> 00:01:12.560]  內中有稱為「梅達拉瑪利亞」的
[00:01:12.560 --> 00:01:14.800]  曾有七個鬼從她身上趕出來
[00:01:14.800 --> 00:01:18.480]  也有希律加載撫薩的妻子
[00:01:18.480 --> 00:01:22.240]  若亞娜並蘇薩娜和好些別的婦女
[00:01:22.240 --> 00:01:23.680]  都使用自己的財物
[00:01:23.680 --> 00:01:25.760]  供給耶穌和門徒」
[00:01:25.760 --> 00:01:27.880]  究竟這三節經文
[00:01:27.880 --> 00:01:30.480]  和以下的經文有什麼關係呢?
[00:01:30.480 --> 00:01:32.200]  或者和上面有沒有關係呢?
[00:01:32.200 --> 00:01:33.560]  我們看見和上面沒有關係
[00:01:33.560 --> 00:01:34.880]  和下面有關係
[00:01:34.880 --> 00:01:35.880]  又有什麼關係呢?
[00:01:35.880 --> 00:01:37.640]  立即我們要解釋
[00:01:37.640 --> 00:01:40.280]  為什麼好像看起來沒有什麼關係
[00:01:40.280 --> 00:01:41.680]  一個好像很獨立的經文
[00:01:41.680 --> 00:01:43.960]  《路教方第八章》最困難的地方就是
[00:01:43.960 --> 00:01:46.120]  我看見有幾個片段
[00:01:46.120 --> 00:01:48.920]  好像是沒有什麼關聯性的
[00:01:48.920 --> 00:01:50.360]  但是它確實有的
[00:01:50.360 --> 00:01:52.720]  我們怎樣找到那個關聯出來呢?
[00:01:52.720 --> 00:01:57.720]  我告訴你 聖經沒有多餘的字
[00:01:57.720 --> 00:01:59.960]  這三節經文都不會是多餘的
[00:01:59.960 --> 00:02:01.960]  如果不是多餘的話 怎樣去理解呢?
[00:02:01.960 --> 00:02:02.880]  第四節
[00:02:02.880 --> 00:02:04.160]  「當很多人聚集
[00:02:04.160 --> 00:02:07.440]  又有人從各城出來見耶穌的時候
[00:02:07.440 --> 00:02:09.000]  耶穌就用比喻說
[00:02:09.000 --> 00:02:10.000]  有一個殺種的
[00:02:10.000 --> 00:02:11.600]  殺出去殺的時候
[00:02:11.600 --> 00:02:12.720]  有落在路旁的
[00:02:12.720 --> 00:02:13.640]  有被人踐踏
[00:02:13.640 --> 00:02:14.360]  天上的飛鳥
[00:02:14.360 --> 00:02:15.440]  有來吃盡了
[00:02:15.440 --> 00:02:16.680]  有落在盆石上面的
[00:02:16.680 --> 00:02:18.200]  一出來就枯乾了
[00:02:18.200 --> 00:02:19.840]  因為得不著滋潤
[00:02:19.840 --> 00:02:21.360]  有落在荊棘裡面的
[00:02:21.360 --> 00:02:23.200]  荊棘一同生長
[00:02:23.200 --> 00:02:24.240]  把它擠住了
[00:02:24.240 --> 00:02:26.160]  又有落在好土裡面的
[00:02:26.160 --> 00:02:27.040]  生長起來
[00:02:27.040 --> 00:02:28.240]  結十八倍
[00:02:28.240 --> 00:02:30.280]  耶穌說了這話就大聲說
[00:02:30.280 --> 00:02:31.800]  有耳可聽的
[00:02:31.800 --> 00:02:33.280]  就應當聽」
[00:02:33.280 --> 00:02:34.760]  同理啦 大家要聽我講一聲
