
[00:00:00.000 --> 00:00:03.040]  古羅開始了第二次的旅程
[00:00:03.040 --> 00:00:05.600]  這次的旅程
[00:00:05.600 --> 00:00:08.980]  他本來只是打算去探望一些
[00:00:08.980 --> 00:00:12.480]  他第一次旅程所建立的教會
[00:00:12.480 --> 00:00:14.980]  去鼓勵他們 幫助他們
[00:00:14.980 --> 00:00:18.420]  特別在《紙行傳》第十五章提到
[00:00:18.420 --> 00:00:20.440]  經過耶路撒冷會議之後
[00:00:20.440 --> 00:00:24.300]  教會決定要告訴這些外邦人知道
[00:00:24.300 --> 00:00:26.880]  他們不需要歸化成為猶太人
[00:00:26.880 --> 00:00:28.640]  他們可以繼續成為基督徒
[00:00:28.640 --> 00:00:30.120]  跟從耶穌基督
[00:00:30.120 --> 00:00:34.400]  所以保羅就願意將這個消息
[00:00:34.400 --> 00:00:39.960]  這個信帶給這些教會的人來知道
[00:00:39.960 --> 00:00:43.400]  不過在這次的旅程有一個特別的地方
[00:00:43.400 --> 00:00:45.560]  特別是一開始發生的事
[00:00:45.560 --> 00:00:47.200]  就是一些人事的問題
[00:00:47.200 --> 00:00:49.600]  人事永遠都是頭痛的問題
[00:00:49.600 --> 00:00:52.160]  保羅和巴拿巴
[00:00:52.160 --> 00:00:56.320]  因為要不要帶馬可一起去
[00:00:56.320 --> 00:00:59.440]  或者給不給馬可參加這次的短訓
[00:00:59.440 --> 00:01:00.720]  就鬧翻了
[00:01:00.720 --> 00:01:02.480]  人事問題
[00:01:02.480 --> 00:01:05.120]  結果就分手
[00:01:05.120 --> 00:01:10.840]  保羅就帶了西拉去開始這個旅行報道
[00:01:10.840 --> 00:01:13.920]  不過很快他們有一個新的人加入
[00:01:13.920 --> 00:01:17.080]  也是保羅的團隊很重要的人
[00:01:17.080 --> 00:01:18.240]  就是提摩太郎
[00:01:18.240 --> 00:01:19.560]  大家剛才看了
[00:01:19.560 --> 00:01:21.880]  更加在這段聖經提到
[00:01:21.880 --> 00:01:27.360]  有一個很重要的人加入了保羅的行列
[00:01:27.360 --> 00:01:29.120]  沒有名字出現
