
[00:00:00.000 --> 00:00:06.980]  今天我們會繼續看到彼得教導我們如何面對主的回來
[00:00:06.980 --> 00:00:09.220]  這裡就是講到彼此復仕
[00:00:09.220 --> 00:00:12.300]  今天我們停了幾個星期
[00:00:12.300 --> 00:00:19.180]  所以要和大家重溫彼得前書裡面有三樣東西提醒我們
[00:00:19.180 --> 00:00:22.180]  叫我們要如何好好的預備主的回來
[00:00:22.180 --> 00:00:26.020]  就和《馬太福音》25章耶穌所說
[00:00:26.020 --> 00:00:30.520]  主回來我們需要怎樣來準備是很相符的
[00:00:30.520 --> 00:00:35.660]  好 第一個就是十個童女的比喻
[00:00:35.660 --> 00:00:40.320]  記不記得有五個是有智慧的童女預備足夠的油
[00:00:40.320 --> 00:00:43.020]  有五個是不足夠的油
[00:00:43.020 --> 00:00:45.200]  後來新郎來的時候我們出去買油
[00:00:45.200 --> 00:00:48.300]  結果就不對分享新郎的快樂
[00:00:48.300 --> 00:00:50.800]  這個就是教導要警醒
[00:00:50.800 --> 00:00:53.600]  所以彼得要提醒我們
[00:00:53.600 --> 00:00:55.600]  他說到萬物的結構近了
[00:00:55.600 --> 00:00:56.820]  我們要怎樣呢?
[00:00:56.820 --> 00:01:00.460]  我們要謹慎自守 警醒 禱告
[00:01:00.460 --> 00:01:02.960]  大家可以上網聽聽
[00:01:02.960 --> 00:01:04.080]  如果你沒有參加的
[00:01:04.080 --> 00:01:06.080]  已經放在上YouTube那裡了
[00:01:06.080 --> 00:01:09.080]  第二個彼得提醒我們
[00:01:09.080 --> 00:01:12.380]  他說我們要切實相愛
[00:01:12.380 --> 00:01:15.340]  因為愛能遮掩很多的罪
[00:01:15.340 --> 00:01:17.960]  我們還要彼此復仕 不發怨言
[00:01:17.960 --> 00:01:20.460]  這個切實相愛就是很實際的去關心別人
[00:01:20.460 --> 00:01:25.300]  耶穌也說了一個比喻就是綿羊和山羊的比喻
[00:01:25.300 --> 00:01:28.720]  記住不是要彼得去講很多唐道
[00:01:28.720 --> 00:01:31.720]  要做宣教工作才能得到獎賞
[00:01:31.720 --> 00:01:35.040]  就是你有沒有愛心去關心有需要的人
[00:01:35.040 --> 00:01:38.040]  很簡單舉一個例子
[00:01:38.040 --> 00:01:40.540]  當你彼得去給一杯涼水
[00:01:40.540 --> 00:01:42.020]  一個小紙飲
[00:01:42.020 --> 00:01:44.520]  其實你就已經得到祝福了
[00:01:44.520 --> 00:01:48.920]  還有就是你如果去接待一些人的時候
[00:01:48.920 --> 00:01:51.760]  就已經得到神的賞賜
[00:01:51.760 --> 00:01:53.560]  這個就是切實相愛
[00:01:53.560 --> 00:01:56.560]  所以我想拆開一件事來講
[00:01:56.560 --> 00:02:01.560]  我剛剛跟我女兒錄了一個導讀
[00:02:01.560 --> 00:02:03.560]  原來不同時間不同的處境
[00:02:03.560 --> 00:02:05.560]  你讀聖經有不同的感受
[00:02:05.560 --> 00:02:07.560]  約翰三書
[00:02:07.560 --> 00:02:09.560]  我很少看這本書
[00:02:09.560 --> 00:02:11.560]  只有十幾節而已
[00:02:11.560 --> 00:02:12.560]  我很少看
[00:02:12.560 --> 00:02:14.560]  因為要順著次序一直下去
[00:02:14.560 --> 00:02:17.560]  當我看到約翰三書的時候是特別深感受
[00:02:17.560 --> 00:02:19.560]  為什麼呢?
[00:02:19.560 --> 00:02:21.560]  因為下個星期
[00:02:21.560 --> 00:02:23.560]  二月有一個星期
[00:02:23.560 --> 00:02:25.560]  年初一那一天
[00:02:25.560 --> 00:02:28.560]  我星期六上午就要去曼城
[00:02:28.560 --> 00:02:31.560]  就是曼城來大去港島
[00:02:31.560 --> 00:02:33.560]  早上10點半
[00:02:33.560 --> 00:02:36.560]  我在瑞丁上去的話
[00:02:36.560 --> 00:02:38.560]  一定不夠時間
[00:02:38.560 --> 00:02:40.560]  所以要早一天上去
[00:02:40.560 --> 00:02:43.560]  已經約了一個弟兄
[00:02:43.560 --> 00:02:46.560]  他有一個地方給我住
[00:02:46.560 --> 00:02:48.560]  我就問他什麼地方給我住
[00:02:48.560 --> 00:02:51.560]  我就在他住的地方Darby
[00:02:51.560 --> 00:02:52.560]  我計算過
[00:02:52.560 --> 00:02:54.560]  然後我坐一個多小時的火車
[00:02:54.560 --> 00:02:56.560]  就去到曼城
[00:02:56.560 --> 00:02:57.560]  就搞定了
[00:02:57.560 --> 00:02:59.560]  原來神園有恩典
[00:02:59.560 --> 00:03:01.560]  我晚上七點多八點鐘
[00:03:01.560 --> 00:03:03.560]  就是星期一晚上
[00:03:03.560 --> 00:03:05.560]  七點多八點鐘
[00:03:05.560 --> 00:03:07.560]  我預備買車票之前
[00:03:07.560 --> 00:03:08.560]  我要再確實
[00:03:08.560 --> 00:03:11.560]  那個弟兄回覆我還可以住
[00:03:11.560 --> 00:03:14.560]  所以等到晚上十二點多鐘
[00:03:14.560 --> 00:03:16.560]  我才收到消息
[00:03:16.560 --> 00:03:18.560]  於是我就買車票
[00:03:18.560 --> 00:03:21.560]  怎知道原來又不同了
[00:03:21.560 --> 00:03:23.560]  突然之間我看的時候
