
[00:00:00.000 --> 00:00:04.100]  司徒信經將基督降世最重要的任務
[00:00:04.100 --> 00:00:07.680]  一步一步列出來給我們看到
[00:00:07.680 --> 00:00:10.760]  被釘於十字架
[00:00:10.760 --> 00:00:13.320]  受死埋葬
[00:00:13.320 --> 00:00:14.840]  降在陰間
[00:00:14.840 --> 00:00:17.660]  第三天從死人中復活
[00:00:17.660 --> 00:00:18.940]  這些在過去
[00:00:18.940 --> 00:00:21.500]  幾個星期我們都看過
[00:00:21.500 --> 00:00:24.060]  然後就來到我們今天所看的這一句
[00:00:24.060 --> 00:00:25.340]  升天
[00:00:25.340 --> 00:00:28.680]  坐在全能赴上帝的右邊
[00:00:29.700 --> 00:00:33.020]  升天這件事件固然是二千多年前發生的
[00:00:33.020 --> 00:00:34.560]  過去了
[00:00:34.560 --> 00:00:37.120]  而基督在天上
[00:00:37.120 --> 00:00:38.920]  坐在上帝的右邊
[00:00:38.920 --> 00:00:43.020]  其實你聽落都知道是很遙遠的事跟我們有一個距離
[00:00:43.020 --> 00:00:48.900]  因此很多時候我們都將這兩句說話當成一種概念去記在腦裡
[00:00:48.900 --> 00:00:54.020]  又或者只是當作今生之後才需要理會
[00:00:54.020 --> 00:00:55.560]  的一些真理
[00:00:55.560 --> 00:00:58.380]  的確我們人的目光
[00:00:59.140 --> 00:01:01.180]  是會限制了我們的觀點
[00:01:01.180 --> 00:01:04.780]  以致我們看這個世界上面所發生的事
[00:01:04.780 --> 00:01:06.560]  作出的判斷
[00:01:06.560 --> 00:01:09.380]  未必能夠按照上帝所指引的去做
[00:01:09.380 --> 00:01:12.200]  今天我們所讀的這兩段經文
[00:01:12.200 --> 00:01:13.740]  剛才主席幫我們讀了
[00:01:13.740 --> 00:01:15.020]  第一段
[00:01:15.020 --> 00:01:17.840]  是關於主被接升天的記載
[00:01:17.840 --> 00:01:18.860]  《仕途行轉》
[00:01:18.860 --> 00:01:23.200]  第二段就是提到主現在在副的右邊
[00:01:23.200 --> 00:01:26.540]  這兩段的經文對今天的我們
[00:01:26.540 --> 00:01:28.840]  有怎樣的提醒和幫助呢
[00:01:29.600 --> 00:01:32.160]  我們再一次將這段時間禱告交託給主
[00:01:32.160 --> 00:01:36.000]  主耶穌基督求您的靈指教我們
[00:01:36.000 --> 00:01:38.060]  讓我們去明白
[00:01:38.060 --> 00:01:39.580]  祢升天
[00:01:39.580 --> 00:01:42.400]  祢在副右邊的真理
[00:01:42.400 --> 00:01:43.940]  跟我們今天的生活
[00:01:43.940 --> 00:01:46.500]  跟我們的人生有什麼關係
[00:01:46.500 --> 00:01:48.040]  多謝您
[00:01:48.040 --> 00:01:50.600]  祈禱奉主耶穌基督得聖名之祈求
[00:01:50.600 --> 00:01:51.620]  阿們
[00:01:51.620 --> 00:01:57.500]  自從上世紀1957年以來
[00:01:58.280 --> 00:02:00.060]  人類已經是由
[00:02:00.060 --> 00:02:01.860]  地球衝出太空
[00:02:01.860 --> 00:02:03.920]  根據統計
[00:02:03.920 --> 00:02:06.220]  到今天大約有
[00:02:06.220 --> 00:02:08.260]  600個人上過太空
[00:02:08.260 --> 00:02:12.620]  而最新近的上太空很觸目的事件我不知道您有沒有留意
[00:02:12.620 --> 00:02:16.200]  過去上太空都是官方
[00:02:16.200 --> 00:02:19.020]  軍方或者一些科研機構
[00:02:19.020 --> 00:02:21.840]  政府組織所派的太空人
[00:02:21.840 --> 00:02:27.200]  而去年就有一間商業營運的火箭公司將四個平民
[00:02:27.460 --> 00:02:29.000]  送上太空三天
[00:02:29.000 --> 00:02:32.580]  是第一次有非政府非研究組織
[00:02:32.580 --> 00:02:34.880]  純平民的太空旅程
[00:02:34.880 --> 00:02:38.980]  最早上太空的兩個太空人之一
[00:02:38.980 --> 00:02:40.260]  蘇聯的太空人
[00:02:40.260 --> 00:02:46.140]  他在太空1961年的時候上了太空在太空環繞了地球17圈半
[00:02:46.140 --> 00:02:49.480]  他回來地球之後他接受訪問他就
[00:02:49.480 --> 00:02:51.780]  跟他們的蘇聯電視台這樣去說
[00:02:51.780 --> 00:02:53.580]  我去了太空
[00:02:53.580 --> 00:02:55.620]  繞了17圈半
[00:02:56.380 --> 00:02:57.660]  但是我沒有看見神
[00:02:57.660 --> 00:03:04.580]  如果從我們現在人類那種的眼光和角度去看耶穌升天
[00:03:04.580 --> 00:03:07.380]  或者用今天我們是太空世紀
[00:03:07.380 --> 00:03:10.720]  到底這一件是怎樣的事呢?耶穌去了哪裡呢?
[00:03:10.720 --> 00:03:13.280]  次行傳的一章九節這裡說
[00:03:13.280 --> 00:03:18.900]  耶穌說他們還看著的時候,用眼看著的時候,他就被提上去
[00:03:18.900 --> 00:03:21.980]  有一朵雲彩把他接走
[00:03:21.980 --> 00:03:25.820]  他們就看不見他了
[00:03:26.580 --> 00:03:28.380]  聖經裡面所提到的天
[00:03:28.380 --> 00:03:31.460]  最自然的理解當然是解作天空
[00:03:31.460 --> 00:03:34.260]  在我們人類可見的事物裡面
[00:03:34.260 --> 00:03:35.540]  你可以
