
[00:00:00.000 --> 00:00:04.640]  我們今天的題目是準備充足
[00:00:04.640 --> 00:00:09.880]  我們整個系列我們就講德澤這個地方
[00:00:09.880 --> 00:00:15.800]  其實就講到以色列人他們怎麼進到應許的那個地方
[00:00:15.800 --> 00:00:19.080]  上帝給他們的渣男的那個地方
[00:00:19.080 --> 00:00:21.480]  這個是第二講
[00:00:21.480 --> 00:00:27.960]  上個星期就講到約束約紀第一章
[00:00:27.960 --> 00:00:33.120]  他們怎麼準備進到渣男的那個地方
[00:00:33.120 --> 00:00:36.640]  今天是講第二章
[00:00:36.640 --> 00:00:45.120]  講到就是說約束約他還沒有過約旦河之前
[00:00:45.120 --> 00:00:47.160]  他就派兩個探子
[00:00:47.160 --> 00:00:52.240]  我們叫spies 間諜
[00:00:52.240 --> 00:00:58.600]  如果用今天的那個語法我們就叫他們是
[00:00:58.600 --> 00:01:03.840]  如果在美國的話我們就叫他們CIA的agent
[00:01:03.840 --> 00:01:08.960]  如果是中國的話就國安局的人了
[00:01:08.960 --> 00:01:09.880]  對不對
[00:01:09.880 --> 00:01:11.320]  我沒有講錯
[00:01:11.320 --> 00:01:12.800]  ok好的
[00:01:12.800 --> 00:01:20.360]  那今天就講到約束他派兩個探子去耶利各城
[00:01:20.360 --> 00:01:23.920]  因爲一過了約旦河就有個很大的城
[00:01:23.920 --> 00:01:27.240]  叫Jericho 耶利各城
[00:01:27.240 --> 00:01:33.360]  他們要征服這個城才能夠進到應許之地
[00:01:33.360 --> 00:01:36.720]  今天就講到約束
[00:01:36.720 --> 00:01:41.360]  其實有兩個比較有趣的問題
[00:01:41.360 --> 00:01:46.480]  第一個問題就是說約束他要準備好
[00:01:46.480 --> 00:01:53.960]  那準備好跟信心有沒有衝突呢
[00:01:53.960 --> 00:01:58.840]  比如說他派那兩個探子去耶利各城的時候
[00:01:58.840 --> 00:02:03.200]  是不是表示他對上帝沒有信心呢
[00:02:03.200 --> 00:02:09.040]  所以他派兩個探子兩個CIA的agent去看清楚
[00:02:09.040 --> 00:02:12.600]  這個也是一個蠻有趣的一個問題
[00:02:12.600 --> 00:02:17.040]  那信心跟我們的準備有衝突嗎
[00:02:17.040 --> 00:02:19.520]  我們今天就會講講這個問題
[00:02:19.520 --> 00:02:21.560]  還有第二個問題
[00:02:21.560 --> 00:02:24.800]  那個探子他們一進到耶利各城
[00:02:24.800 --> 00:02:28.160]  他們就因爲他們是CIA的agent
[00:02:28.160 --> 00:02:30.600]  他們比較聰明
[00:02:30.600 --> 00:02:36.680]  那他們就想去什麼地方沒有那麼容易給人家知道呢
[00:02:36.680 --> 00:02:41.160]  那當然了就是說去一些地方男人最多的地方
[00:02:41.160 --> 00:02:44.440]  對不對 人來人往的地方
[00:02:44.440 --> 00:02:48.240]  他們就想到有一個叫臘河
[00:02:48.240 --> 00:02:50.880]  她是一個妓女
[00:02:50.880 --> 00:02:55.360]  那妓女的那個地方當然她不是去嫖妓什麼的
[00:02:55.360 --> 00:03:00.360]  只是說她有這個聰明到那個地方
[00:03:00.360 --> 00:03:03.880]  然後呢不受那麼多人的注意什麼的
[00:03:03.880 --> 00:03:08.440]  然後呢後來還是給耶利各城的那個皇帝
[00:03:08.440 --> 00:03:11.800]  他就知道了有一些探子來了
[00:03:11.800 --> 00:03:14.280]  所以就準備去抓他們就這樣
[00:03:14.280 --> 00:03:17.240]  那去了那個臘河的那個家的時候呢
[00:03:17.240 --> 00:03:20.760]  臘河的他就講犯話
[00:03:20.760 --> 00:03:22.720]  是反話 對對對
[00:03:22.720 --> 00:03:24.360]  講的對不對
[00:03:24.360 --> 00:03:26.520]  反話 OK 好的
[00:03:26.520 --> 00:03:28.440]  lying
[00:03:28.440 --> 00:03:32.240]  那那個臘河的就騙一些病人
[00:03:32.240 --> 00:03:34.800]  就說你們是找那個探子嗎
[00:03:34.800 --> 00:03:36.160]  對啊對啊他有來過
[00:03:36.160 --> 00:03:37.400]  但是他已經走了
[00:03:37.400 --> 00:03:38.640]  他們兩個已經走了
[00:03:38.640 --> 00:03:43.640]  其實那兩個探子就在他的屋頂藏起來了
[00:03:43.640 --> 00:03:47.200]  那有個問題比較有趣的問題就是說
[00:03:47.200 --> 00:03:52.000]  那那個臘河不是騙人嗎
[00:03:52.000 --> 00:03:55.480]  不是講那個反話嗎對不對
[00:03:55.480 --> 00:03:57.960]  那對還是不對呢
[00:03:57.960 --> 00:04:00.240]  那如果是對的話
[00:04:00.240 --> 00:04:02.320]  那我們之徒可不可以就是說
[00:04:02.320 --> 00:04:04.600]  在那麼困難的那個情況底下
[00:04:04.600 --> 00:04:09.320]  我們可不可以講那個反話呢
[00:04:09.320 --> 00:04:12.560]  有沒有想過這個問題
[00:04:12.560 --> 00:04:17.920]  比如說如果有人抓你的時候
[00:04:17.920 --> 00:04:22.360]  因爲你是基督徒或者是你藏了一些基督徒在你的家
[00:04:22.360 --> 00:04:27.160]  而且在那個地方不能夠全副印的什麼的
[00:04:27.160 --> 00:04:29.440]  那公安局的人來了
[00:04:29.440 --> 00:04:34.200]  問你 你有沒有藏起什麼什麼人在你家
[00:04:34.200 --> 00:04:35.640]  我要保護他們對不對
[00:04:35.640 --> 00:04:38.520]  他們是基督徒他們是全道人
[00:04:38.520 --> 00:04:39.920]  我要保護Pastor Tim
[00:04:39.920 --> 00:04:41.000]  所以我就說了
[00:04:41.000 --> 00:04:45.080]  Pastor Tim他來過但是他剛走了
[00:04:45.080 --> 00:04:49.480]  這樣可以嗎
[00:04:49.480 --> 00:04:50.880]  Pretty interesting
[00:04:50.880 --> 00:04:53.240]  所以今天我們就看看
[00:04:53.240 --> 00:04:57.440]  看看那兩個比較有趣的問題
[00:04:57.440 --> 00:05:00.920]  其實我們今天就講就是說
[00:05:00.920 --> 00:05:03.240]  準備好準備充足呢
[00:05:03.240 --> 00:05:08.720]  其實跟我們的心性沒有衝突
[00:05:08.720 --> 00:05:12.720]  而且呢是就是說互補的底下
[00:05:12.720 --> 00:05:16.800]  我們可以兩個方面我們都可以做
[00:05:16.800 --> 00:05:20.720]  那我就給你一些一個故事
[00:05:20.720 --> 00:05:26.160]  講到那個準備的充足的那個重要性
[00:05:26.160 --> 00:05:30.520]  我們先看看給你看一些圖片
[00:05:30.520 --> 00:05:33.880]  那這個呢是Captain Robert Scott
[00:05:33.880 --> 00:05:35.760]  那1912年的時候
[00:05:35.760 --> 00:05:38.440]  1911跟12年的時候呢
[00:05:38.440 --> 00:05:40.720]  他是一個英國的那個Captain
[00:05:40.720 --> 00:05:42.720]  這個這個船長
[00:05:42.720 --> 00:05:46.520]  然後呢他就很希望能夠是第一個人
[00:05:46.520 --> 00:05:50.400]  能夠到那個南極的那個地方
[00:05:50.400 --> 00:05:52.840]  South Pole
[00:05:52.840 --> 00:05:55.160]  那他就準備呢
[00:05:55.160 --> 00:05:58.400]  一個探險的那個隊伍
[00:05:58.400 --> 00:06:00.600]  他就準備他的隊伍去了
[00:06:00.600 --> 00:06:04.000]  那他那個隊伍呢叫Terra Nova
[00:06:04.000 --> 00:06:07.560]  一個Expedition的那個Team
[00:06:07.560 --> 00:06:11.800]  但是呢因爲他準備的不好
[00:06:11.800 --> 00:06:16.880]  所以呢他們有五個人全都死掉了
[00:06:16.880 --> 00:06:20.240]  那他們呢後來呢後來一些人呢
[00:06:20.240 --> 00:06:24.960]  就研究他的那個探險的那個旅程
[00:06:24.960 --> 00:06:28.040]  就發現了其實他犯了很多錯誤
[00:06:28.040 --> 00:06:30.240]  其中呢一個最大的錯誤就是說
[00:06:30.240 --> 00:06:31.480]  他沒有準備好
[00:06:31.480 --> 00:06:32.480]  那我們看看
[00:06:32.480 --> 00:06:34.400]  那那個呢就是他們的那個隊伍
[00:06:34.400 --> 00:06:36.040]  在1912年的時候
[00:06:36.040 --> 00:06:37.360]  坐在這裏呢
[00:06:37.360 --> 00:06:39.400]  那個就是Captain
[00:06:39.400 --> 00:06:40.360]  OK
[00:06:40.360 --> 00:06:43.800]  Captain Scott
[00:06:43.800 --> 00:06:46.040]  那後一張
[00:06:46.040 --> 00:06:47.680]  下一張我們看看
[00:06:47.680 --> 00:06:50.640]  那他怎麼樣呢
[00:06:50.640 --> 00:06:52.840]  因爲英國呢對
[00:06:52.840 --> 00:06:56.520]  對那個馬呢就特別喜愛的
[00:06:56.520 --> 00:06:59.480]  他們都很喜歡騎馬嘛
[00:06:59.480 --> 00:07:04.160]  那他就想到就是說去南極
[00:07:04.160 --> 00:07:08.480]  就是說帶一些狗呢好像沒有什麼的
[00:07:08.480 --> 00:07:10.400]  就是說不夠
[00:07:10.400 --> 00:07:11.680]  不夠吵你知道嗎
[00:07:11.680 --> 00:07:14.520]  就是說很沒有面子那種
[00:07:14.520 --> 00:07:16.960]  因爲你想一想他是
[00:07:16.960 --> 00:07:20.520]  他是很fantasize
