
[00:00:00.000 --> 00:00:05.640]  學校基督就不是三腳貓功夫
[00:00:05.640 --> 00:00:10.600]  即是說三朝兩日是未滿師的
[00:00:10.600 --> 00:00:15.080]  摩西就學了80年
[00:00:15.080 --> 00:00:20.440]  頭40年在埃及皇宮學那些也有用的
[00:00:20.440 --> 00:00:23.120]  不過他學做基督徒
[00:00:23.120 --> 00:00:24.800]  學做神跡僕人
[00:00:24.800 --> 00:00:28.760]  就由他走路去米甸曠野
[00:00:28.760 --> 00:00:34.520]  一直到曠野和玉壇河的交界那裡
[00:00:34.520 --> 00:00:35.640]  80年
[00:00:35.640 --> 00:00:39.680]  跟著他學的那個約書亞
[00:00:39.680 --> 00:00:42.960]  就跟他學了40年
[00:00:42.960 --> 00:00:44.840]  上個星期
[00:00:44.840 --> 00:00:48.600]  阿霍傳道就說了
[00:00:48.600 --> 00:00:53.400]  約書亞跟摩西上的第一堂
[00:00:53.400 --> 00:00:56.080]  40年後了
[00:00:56.280 --> 00:00:59.720]  一個星期 今天是40年後
[00:00:59.720 --> 00:01:06.520]  就說約書亞跟摩西學的最後一課
[00:01:06.520 --> 00:01:10.920]  稍後再回頭
[00:01:10.920 --> 00:01:13.040]  有一段經文是沒有讀到的
[00:01:13.040 --> 00:01:14.040]  好了
[00:01:14.040 --> 00:01:16.360]  約書亞和摩西
[00:01:16.360 --> 00:01:18.680]  你想想這兩個人
[00:01:18.680 --> 00:01:22.040]  誰學基督學得最像呢
[00:01:24.000 --> 00:01:26.640]  很難說的 一文一武
[00:01:26.640 --> 00:01:28.480]  文的那個是誰
[00:01:28.480 --> 00:01:29.800]  摩西
[00:01:29.800 --> 00:01:30.760]  武的那個
[00:01:30.760 --> 00:01:31.840]  約書亞
[00:01:31.840 --> 00:01:32.720]  搞錯了
[00:01:32.720 --> 00:01:35.280]  摩西是能文能武的
[00:01:35.280 --> 00:01:38.000]  他最初為什麼要走路
[00:01:38.000 --> 00:01:41.880]  他就一拳打死埃及人
[00:01:41.880 --> 00:01:44.120]  他是勇武分子
[00:01:44.120 --> 00:01:47.760]  那兩個人
[00:01:47.760 --> 00:01:49.240]  誰會打得比較好呢
[00:01:49.240 --> 00:01:52.280]  不算約書亞會打得比較好
[00:01:52.280 --> 00:01:53.600]  這是事實
[00:01:53.600 --> 00:01:54.160]  好了
[00:01:54.160 --> 00:01:56.240]  上個星期說的第一課
[00:01:56.240 --> 00:01:57.760]  要回頭看一看
[00:01:57.760 --> 00:01:58.840]  他說回頭
[00:01:58.840 --> 00:02:01.320]  戰馬阿瑪利人一課
[00:02:01.320 --> 00:02:02.680]  這是第一課
[00:02:02.680 --> 00:02:05.320]  這是約書亞成長的開始
[00:02:05.320 --> 00:02:07.240]  他的學習的開始
[00:02:07.240 --> 00:02:09.040]  成長歷練的開始
[00:02:09.040 --> 00:02:11.760]  有小學的聖師說
[00:02:11.760 --> 00:02:13.320]  「星星需要功夫」
[00:02:13.320 --> 00:02:13.760]  是嗎
[00:02:13.760 --> 00:02:14.200]  喜歡唱嗎
[00:02:14.200 --> 00:02:15.920]  「星星需要功夫」
[00:02:15.920 --> 00:02:17.320]  不是「星星」是「成聖」
[00:02:17.320 --> 00:02:21.320]  要「成庚」
[00:02:21.320 --> 00:02:22.640]  要「萬土」
[00:02:24.280 --> 00:02:25.200]  但是
[00:02:25.200 --> 00:02:27.480]  「成聖」是沒有捷徑的
[00:02:27.480 --> 00:02:28.400]  正如說
[00:02:28.400 --> 00:02:30.280]  不是三腳貓功夫
[00:02:30.280 --> 00:02:31.160]  三朝兩色
[00:02:31.160 --> 00:02:32.200]  幾天就學成的
[00:02:32.200 --> 00:02:32.480]  沒有的
[00:02:32.480 --> 00:02:33.480]  沒有促成法的
[00:02:33.480 --> 00:02:35.000]  好了
[00:02:35.000 --> 00:02:36.720]  在這場戰役
[00:02:36.720 --> 00:02:37.880]  你很奇怪
[00:02:37.880 --> 00:02:39.080]  約書亞是打得的
[00:02:39.080 --> 00:02:39.440]  是不是
[00:02:39.440 --> 00:02:39.800]  不打得
[00:02:39.800 --> 00:02:41.520]  摩西也不會派他上陣
[00:02:41.520 --> 00:02:44.440]  但是打了一天
[00:02:44.440 --> 00:02:46.840]  摩西就跟約書亞說
[00:02:46.840 --> 00:02:48.360]  明天我們去打仗
[00:02:48.360 --> 00:02:50.640]  我會拿著上帝之杖
[00:02:50.640 --> 00:02:51.360]  上了山頂
[00:02:51.360 --> 00:02:52.280]  記得嗎
[00:02:52.280 --> 00:02:54.200]  那麼你去打就打吧
[00:02:54.200 --> 00:02:55.840]  打了一天
[00:02:55.840 --> 00:03:01.040]  約書亞想想
[00:03:01.040 --> 00:03:03.200]  過紅海的時候
[00:03:03.200 --> 00:03:04.560]  他也有份的
[00:03:04.560 --> 00:03:06.000]  摩西之杖一伸出來
[00:03:06.000 --> 00:03:09.560]  海就分開了
[00:03:09.560 --> 00:03:11.240]  再伸出來
[00:03:11.240 --> 00:03:13.760]  千軍萬馬的埃及追兵
[00:03:13.760 --> 00:03:15.600]  都淹死了
[00:03:15.600 --> 00:03:17.400]  連那些還沒下海的
[00:03:17.400 --> 00:03:17.880]  都被人
[00:03:17.880 --> 00:03:18.600]  神駒
[00:03:18.600 --> 00:03:19.240]  我們先說一下
[00:03:19.240 --> 00:03:20.120]  被人推了下去
[00:03:20.120 --> 00:03:21.320]  神推鬼推
[00:03:21.320 --> 00:03:22.120]  推了下去
[00:03:22.120 --> 00:03:23.400]  淹死了
[00:03:23.400 --> 00:03:25.520]  這樣做
[00:03:25.520 --> 00:03:26.440]  是不是
[00:03:26.440 --> 00:03:27.400]  全都死了
[00:03:27.400 --> 00:03:29.520]  為什麼要打一整天呢
[00:03:29.520 --> 00:03:31.840]  因為你打得的
[00:03:31.840 --> 00:03:34.880]  不是這個意思的
[00:03:34.880 --> 00:03:35.560]  因為你看到
[00:03:35.560 --> 00:03:36.560]  只是讀經都知道
