
[00:00:00.000 --> 00:00:03.040]  你知道每年在父親節的時候
[00:00:03.040 --> 00:00:05.240]  我們總是會為弟兄姊妹
[00:00:05.240 --> 00:00:10.280]  安排了一個全家能夠一起照相的機會
[00:00:10.280 --> 00:00:13.040]  這些年我都是把跟孩子們合照
[00:00:13.040 --> 00:00:14.480]  過去這麼多年的照片
[00:00:14.480 --> 00:00:17.400]  都排在我辦公室那個
[00:00:17.400 --> 00:00:19.640]  bulletin board上面
[00:00:19.640 --> 00:00:20.840]  可是今年呢
[00:00:20.840 --> 00:00:22.000]  兩個孩子都不在
[00:00:22.000 --> 00:00:24.080]  一個紐約 一個去短暄了
[00:00:24.080 --> 00:00:28.840]  就剩下我們家的狗跟我們兩個合照
[00:00:28.840 --> 00:00:33.880]  我想這是所有空巢期的家庭的共同經驗吧
[00:00:33.880 --> 00:00:39.160]  當我回頭看這些年日跟孩子們合照的照片的時候
[00:00:39.160 --> 00:00:42.520]  我心裡真的充滿了感恩
[00:00:42.520 --> 00:00:43.520]  作為一個父親
[00:00:43.520 --> 00:00:48.120]  我真的知道自己不是一個很完全的父親
[00:00:48.120 --> 00:00:52.560]  但是這些年我真的看見神的恩典是真實的
[00:00:52.560 --> 00:00:55.320]  而且是夠用的恩典
[00:00:55.320 --> 00:01:00.200]  總是在我在缺乏 在軟弱的時候
[00:01:00.200 --> 00:01:04.840]  親自成為我的供應跟力量
[00:01:04.840 --> 00:01:09.200]  第二點我們真的看見在一個孩子成長的過程當中
[00:01:09.200 --> 00:01:13.840]  這個父親的形象是非常重要的
[00:01:13.840 --> 00:01:15.120]  這個父親的形象
[00:01:15.120 --> 00:01:20.240]  不只是光靠著我們口裡的講說跟教導而已
[00:01:20.240 --> 00:01:22.120]  這個父親的形象
[00:01:22.120 --> 00:01:29.760]  其實是在我們生活當中一種潛移默化的影響力
[00:01:29.760 --> 00:01:30.880]  我們的言行
[00:01:30.880 --> 00:01:32.840]  我們的生活
[00:01:32.840 --> 00:01:34.560]  我們的喜好
[00:01:34.560 --> 00:01:36.200]  我們的厭惡
[00:01:36.200 --> 00:01:37.920]  我們的習慣
[00:01:37.920 --> 00:01:42.320]  甚至是我們心靈深處的憂慮跟恐懼
[00:01:42.320 --> 00:01:49.680]  其實都直接或是間接的會影響到我們孩子的心靈世界
[00:01:49.680 --> 00:01:52.880]  所以有些時候當你看見你孩子的時候
[00:01:52.880 --> 00:01:55.280]  你就不覺得好像就是看見你自己嗎?
[00:01:55.280 --> 00:01:56.800]  不是嗎?
[00:01:56.800 --> 00:01:58.880]  所以一個做父親的人
[00:01:58.880 --> 00:02:03.720]  我們絕對不要輕忽神所託付給我們的責任
[00:02:03.720 --> 00:02:05.760]  我們要求神幫助我們
[00:02:05.760 --> 00:02:10.280]  能夠為我們的兒女能夠帶來屬靈的影響力
[00:02:10.280 --> 00:02:11.200]  Amen?
[00:02:11.200 --> 00:02:16.160]  那你說我們要怎麼樣才能夠成為這樣一個和神心意的父親呢?
[00:02:16.160 --> 00:02:19.320]  今天早上要跟他從四方面來思想
[00:02:19.320 --> 00:02:23.120]  怎麼樣要成為和神心意的父親
[00:02:23.120 --> 00:02:24.120]  第一個
[00:02:24.120 --> 00:02:26.000]  要做一個跟隨神的人
[00:02:26.000 --> 00:02:30.000]  跟你媽說要做一個跟隨神的人
[00:02:30.000 --> 00:02:36.960]  換句話說你一定要為你自己來建立一個與神的關係
[00:02:36.960 --> 00:02:39.560]  在聖經裡面我們看見
[00:02:39.560 --> 00:02:42.200]  亞伯拉罕跟羅德兩個人
[00:02:42.200 --> 00:02:49.560]  都是從吾爾離開他們的家鄉要進入神應許之地
[00:02:49.560 --> 00:02:51.440]  這兩個人都是認識神的人
[00:02:51.440 --> 00:02:54.440]  這兩個人也都是屬於神的人
[00:02:54.440 --> 00:02:59.880]  但我們看見這兩個人的結局卻是何等的不同
[00:02:59.880 --> 00:03:01.240]  亞伯拉罕
[00:03:01.240 --> 00:03:06.000]  你看見他的信仰是一代又一代的傳承
[00:03:06.000 --> 00:03:08.520]  所以聖經裡面講到我們所信的神的時候
[00:03:08.520 --> 00:03:14.080]  常常說他是亞伯拉罕以撒雅各的神
[00:03:14.080 --> 00:03:18.280]  這個信仰是一代又一代的傳承下去
[00:03:18.280 --> 00:03:20.960]  這是何等美好的見證
[00:03:20.960 --> 00:03:22.480]  可是羅德呢?
[00:03:22.480 --> 00:03:26.160]  我們看他的妻子因為貪戀索多瑪
[00:03:26.160 --> 00:03:28.160]  神要他們離開的時候
[00:03:28.160 --> 00:03:29.960]  他還捨不得離開
[00:03:29.960 --> 00:03:32.640]  頭還往回頭看索多瑪
[00:03:32.640 --> 00:03:36.200]  結果他就變成一個炎柱
[00:03:36.200 --> 00:03:39.000]  他的女婿不肯離開索多瑪
[00:03:39.000 --> 00:03:42.480]  就隨同索多瑪一同滅亡
[00:03:42.480 --> 00:03:45.120]  他兩個女兒不敬畏神
[00:03:45.120 --> 00:03:47.080]  與他犯了亂倫的罪
[00:03:47.080 --> 00:03:48.360]  生出兩個兒子
[00:03:48.360 --> 00:03:51.240]  一個叫摩押一個叫雅門
[00:03:51.240 --> 00:03:56.200]  這兩個族群的人也都成為神宙主的子民
[00:03:56.200 --> 00:04:01.640]  你看見兩個人同時從他們的家鄉出來
[00:04:01.640 --> 00:04:04.960]  都是認識神屬於神的
[00:04:04.960 --> 00:04:08.000]  他們的結局竟然這樣的不同
[00:04:08.000 --> 00:04:09.800]  為什麼呢?
[00:04:09.800 --> 00:04:12.160]  我相信最主要的原因就是因為
[00:04:12.160 --> 00:04:16.120]  亞伯拉罕是一個認真跟隨神的人
[00:04:16.120 --> 00:04:17.520]  Amen
[00:04:17.520 --> 00:04:19.240]  聖經說無論他走到哪裡
[00:04:19.240 --> 00:04:25.120]  他都在那裡築一座祭壇來獻祭給神
[00:04:25.120 --> 00:04:27.640]  為什麼要築一個祭壇呢?
[00:04:27.640 --> 00:04:32.280]  因為這個祭壇是他求告耶和華神的地方
[00:04:32.280 --> 00:04:36.760]  這個祭壇是他向神獻上感恩的地方
[00:04:36.760 --> 00:04:43.160]  這個祭壇也成為他自己獻上自己生命給神的地方
[00:04:43.160 --> 00:04:49.240]  在聖經裡我們看見這個祭壇更是神與人相會的地方
[00:04:49.240 --> 00:04:53.480]  神是在這裡向亞伯拉罕說話
[00:04:53.480 --> 00:04:57.920]  神也是在這裡向亞伯拉罕立約
[00:04:57.920 --> 00:05:01.320]  就是在這個祭壇的所在
[00:05:01.320 --> 00:05:06.680]  亞伯拉罕與神建立了親密的關係
[00:05:06.680 --> 00:05:07.920]  我非常喜歡一段經文
[00:05:07.920 --> 00:05:11.080]  在《創世紀》第十八章十七節裡面
[00:05:11.080 --> 00:05:11.960]  神這樣說
[00:05:11.960 --> 00:05:13.960]  耶和華說我所要做的事
[00:05:13.960 --> 00:05:17.120]  豈可瞞著亞伯拉罕呢?
[00:05:17.120 --> 00:05:18.520]  哇!
[00:05:18.520 --> 00:05:21.040]  我常想如果今天神能夠對我們說這句話
[00:05:21.040 --> 00:05:23.680]  我們死而無憾
[00:05:23.680 --> 00:05:24.440]  真的
[00:05:24.440 --> 00:05:26.120]  如果神能夠說他所做的事
[00:05:26.120 --> 00:05:27.400]  豈能瞞著我們?
[00:05:27.400 --> 00:05:29.400]  哇!
[00:05:29.400 --> 00:05:32.920]  這其實不是因為好像神特別偏愛亞伯拉罕
[00:05:32.920 --> 00:05:34.640]  不是
[00:05:34.640 --> 00:05:36.600]  也不是神特別鍾愛他
[00:05:36.600 --> 00:05:38.240]  不是
[00:05:38.240 --> 00:05:43.640]  乃是因為亞伯拉罕是一個肯花時間來親近神的人
[00:05:43.640 --> 00:05:44.920]  Amen
[00:05:44.920 --> 00:05:46.760]  反過來看羅德呢?
[00:05:46.760 --> 00:05:52.600]  你就從來沒有看見羅德在任何地方為神築過祭壇
[00:05:52.600 --> 00:05:54.800]  也許你會說他是跟著亞伯拉罕的
[00:05:54.800 --> 00:05:56.040]  亞伯拉罕既然築了祭壇
[00:05:56.040 --> 00:05:57.560]  為什麼他還要再築一個祭壇呢?
[00:05:57.560 --> 00:05:58.920]  也許不需要了
[00:05:58.920 --> 00:06:00.720]  也許是如此
[00:06:00.720 --> 00:06:03.240]  但當他離開亞伯拉罕之後
[00:06:03.240 --> 00:06:08.440]  你也沒有看見他為神築過任何的祭壇
[00:06:08.440 --> 00:06:12.240]  所以我們看見亞伯拉罕是個跟隨神的人
[00:06:12.240 --> 00:06:13.960]  那羅德呢?
[00:06:13.960 --> 00:06:19.160]  你最多只能說他是個跟隨亞伯拉罕的人
[00:06:19.160 --> 00:06:23.080]  他自己卻從來沒有跟神建立過親密的關係
[00:06:23.080 --> 00:06:26.840]  所以你看見亞伯拉罕每到一個地方建了一座祭壇
[00:06:26.840 --> 00:06:29.320]  我們看見亞伯拉罕在那裡敬拜神
[00:06:29.320 --> 00:06:34.320]  羅德就順便敬拜一下
[00:06:34.320 --> 00:06:37.320]  聽不懂我今天發現多少的基督徒也是像羅德一樣
[00:06:37.320 --> 00:06:40.920]  是一種順便行的基督徒
[00:06:40.920 --> 00:06:42.640]  順便來敬拜一下
[00:06:42.640 --> 00:06:43.600]  哦
[00:06:43.600 --> 00:06:46.200]  你們教會這裡講道真好耶
[00:06:46.200 --> 00:06:47.920]  你們教會敬拜真好
[00:06:47.920 --> 00:06:49.080]  氣氛很好
[00:06:49.080 --> 00:06:50.760]  小組更棒
[00:06:50.760 --> 00:06:54.600]  我們順便來敬拜一下吧
