
[00:00:00.000 --> 00:00:02.640]  今天上午讓我們一起去敬拜
[00:00:02.640 --> 00:00:04.760]  又可以分享成就話語
[00:00:04.760 --> 00:00:09.400]  知道星期日早午堂正在讀《羅馬書》
[00:00:09.400 --> 00:00:10.600]  不知道大家是否記得
[00:00:10.600 --> 00:00:11.800]  有一節正在讀《經文》
[00:00:11.800 --> 00:00:15.320]  應該是大家讀過的
[00:00:15.320 --> 00:00:16.400]  《聖經》裡面說
[00:00:16.400 --> 00:00:19.320]  無論是希臘人、未開化的人
[00:00:19.320 --> 00:00:21.240]  聰明人、愚蠢人
[00:00:21.240 --> 00:00:23.080]  我都欠他們的債
[00:00:23.080 --> 00:00:27.080]  所以我願意盡我的力量
[00:00:27.080 --> 00:00:29.040]  把福音也傳給
[00:00:29.040 --> 00:00:31.320]  你們在羅馬的人
[00:00:31.320 --> 00:00:35.120]  大家記不記得
[00:00:35.120 --> 00:00:37.920]  《羅馬書》一章十四至十五節
[00:00:37.920 --> 00:00:43.000]  那裡說到有關保羅的使命
[00:00:43.000 --> 00:00:44.800]  今天要和大家分享的
[00:00:44.800 --> 00:00:46.520]  就是關於彼得的
[00:00:46.520 --> 00:00:47.720]  關於彼得的生命
[00:00:47.720 --> 00:00:49.120]  他的使命
[00:00:49.120 --> 00:00:52.160]  《經文》記載在路加福音
[00:00:52.160 --> 00:00:54.520]  剛才主席幫我們讀過
[00:00:54.520 --> 00:00:57.000]  說到耶穌呼召彼得
[00:00:57.000 --> 00:00:59.360]  當中提到兩艘船
[00:00:59.360 --> 00:01:01.240]  兩次的殺亡
[00:01:01.240 --> 00:01:04.400]  兩個對耶穌的稱呼
[00:01:04.400 --> 00:01:07.280]  兩個彼得的名字
[00:01:07.280 --> 00:01:09.880]  兩個生命不同的焦點
[00:01:09.880 --> 00:01:12.520]  以及一個新的開始
[00:01:12.520 --> 00:01:13.760]  讓我們開始的時候
[00:01:13.760 --> 00:01:15.200]  首先我就是祈禱
[00:01:15.200 --> 00:01:16.600]  我們求上帝讓我們明白
[00:01:16.600 --> 00:01:21.360]  祂有話語和明白祂的心意
[00:01:21.360 --> 00:01:22.120]  天父我們多謝祢
[00:01:22.120 --> 00:01:24.520]  讓我們能夠一起去敬拜親近祢
[00:01:24.520 --> 00:01:26.720]  這是祢給我們的恩典
[00:01:26.720 --> 00:01:28.280]  還有多謝祢給我們的聖經
[00:01:28.280 --> 00:01:30.840]  讓我們當中能夠明白祢的話語
[00:01:30.840 --> 00:01:32.760]  我們將這段時間交託給祢
[00:01:32.760 --> 00:01:34.600]  求主祢和我們同在
[00:01:34.600 --> 00:01:35.800]  求真祢的聖靈
[00:01:35.800 --> 00:01:38.600]  在我們當中親自教導我們
[00:01:38.600 --> 00:01:40.200]  主祢知道我們說的不配
[00:01:40.200 --> 00:01:42.440]  但是主祢的話語帶著能力
[00:01:42.440 --> 00:01:44.480]  求天父祢掌管
[00:01:44.480 --> 00:01:45.560]  幫助我們
[00:01:45.560 --> 00:01:46.640]  和我們同在
[00:01:46.640 --> 00:01:47.520]  聽我們祈禱
[00:01:47.520 --> 00:01:54.480]  奉耶穌基督的聖名
[00:01:54.480 --> 00:01:59.040]  從西門到彼得
