
[00:00:00.000 --> 00:00:03.280]  我們讀一段聖經在馬太福音第七章
[00:00:03.280 --> 00:00:08.700]  我們從二十四到第二十七節
[00:00:08.700 --> 00:00:09.480]  主耶穌在這裏說
[00:00:09.480 --> 00:00:11.480]  所以凡聽見我這話就去行的
[00:00:11.480 --> 00:00:14.500]  好比一個聰明人把房子蓋在磐石上
[00:00:14.500 --> 00:00:15.940]  雨淋水衝風吹
[00:00:15.940 --> 00:00:18.080]  撞着那房子 房子總不倒塌
[00:00:18.080 --> 00:00:20.980]  因爲根基立在磐石上
[00:00:20.980 --> 00:00:22.700]  凡聽見我這話不去行的
[00:00:22.700 --> 00:00:25.200]  好比一個無知的人把房子蓋在沙土上
[00:00:25.200 --> 00:00:26.740]  雨淋水衝風吹
[00:00:26.740 --> 00:00:28.940]  撞着那房子 房子就倒塌了
[00:00:28.940 --> 00:00:30.800]  並且倒塌得很大
[00:00:30.800 --> 00:00:32.400]  我們就讀到這裏
[00:00:32.400 --> 00:00:34.860]  馬太福音第五章到第七章裏面
[00:00:34.860 --> 00:00:36.760]  其實是登山寶訓
[00:00:36.760 --> 00:00:40.260]  有人把它稱爲天國大憲章
[00:00:40.260 --> 00:00:42.460]  但更實際地來說
[00:00:42.460 --> 00:00:45.060]  其實這是耶穌對我們基督徒
[00:00:45.060 --> 00:00:48.300]  在地上一個生活的指引
[00:00:48.300 --> 00:00:50.440]  在登山寶訓的結束
[00:00:50.440 --> 00:00:54.640]  耶穌提出了一連串的選擇
[00:00:54.640 --> 00:00:56.900]  你到底要信窄門呢?
[00:00:56.900 --> 00:00:59.040]  你還是要進寬門?
[00:00:59.040 --> 00:01:01.840]  你的生命是要做一棵好樹
[00:01:01.840 --> 00:01:04.140]  還是要做一棵壞樹?
[00:01:04.140 --> 00:01:07.040]  你的根基是要建立在磐石上
[00:01:07.040 --> 00:01:09.840]  還是要建造在沙土上?
[00:01:09.840 --> 00:01:12.400]  但無論是窄門寬門
[00:01:12.400 --> 00:01:14.300]  無論是好樹壞樹
[00:01:14.300 --> 00:01:17.060]  無論是在磐石或沙土
[00:01:17.060 --> 00:01:19.500]  其實在一開始的時候
[00:01:19.500 --> 00:01:22.760]  從外面都看不出來有什麼不同
[00:01:22.760 --> 00:01:26.440]  表面上大家都在一起向前行
[00:01:26.440 --> 00:01:30.060]  表面上大家都在忙着建造
[00:01:30.060 --> 00:01:33.100]  但是那個所帶來的結果
[00:01:33.100 --> 00:01:35.800]  卻有天壤之別
[00:01:35.800 --> 00:01:39.640]  這就好像每一次的金融危機一樣不是嗎?
[00:01:39.640 --> 00:01:42.860]  表面上看起來每家公司都差不多嘛
[00:01:42.860 --> 00:01:45.860]  環境好的時候大家都在忙着工作
[00:01:45.860 --> 00:01:47.800]  大家忙着賺錢
[00:01:47.800 --> 00:01:51.300]  可當危機一發生的時候才發現
[00:01:51.300 --> 00:01:54.000]  根基太重要了
[00:01:54.000 --> 00:01:55.800]  根基不穩固
[00:01:55.800 --> 00:01:58.400]  我們看見風浪一來
[00:01:58.400 --> 00:02:01.240]  我們看見房子就要倒塌
[00:02:01.240 --> 00:02:03.740]  唯有根基穩固
[00:02:03.740 --> 00:02:08.140]  才能夠經過風暴仍然站立得穩
[00:02:08.140 --> 00:02:09.200]  Amen
[00:02:09.200 --> 00:02:11.000]  不但在公司上如此
[00:02:11.000 --> 00:02:14.000]  在我們個人生命當中更是這樣
[00:02:14.000 --> 00:02:18.900]  你要知道當主在這裏講到兩種根基的比喻的時候
[00:02:18.900 --> 00:02:20.300]  很多時候我們讀
[00:02:20.300 --> 00:02:22.200]  還是比較會看見
[00:02:22.200 --> 00:02:25.000]  什麼是聰明人 什麼是無知人
[00:02:25.000 --> 00:02:28.640]  我們還是比較想到這個磐石砂土
[00:02:28.640 --> 00:02:32.840]  卻忽略了在這個比喻裏面有一個更重要的真理
[00:02:32.840 --> 00:02:36.240]  那就是今天無論你是聰明人還是無知的人
[00:02:36.240 --> 00:02:39.000]  無論房子建在磐石砂土上
[00:02:39.000 --> 00:02:40.600]  我們看見在我們生命當中
[00:02:40.600 --> 00:02:46.700]  一樣會經歷到生命中的雨淋 水衝 風吹
[00:02:46.700 --> 00:02:48.940]  換句話說無論你是聰明人與否
[00:02:48.940 --> 00:02:50.740]  無論你屬靈不屬靈
[00:02:50.740 --> 00:02:54.200]  有一件事情大家都是一樣的
[00:02:54.200 --> 00:02:55.400]  那就在我們生命當中
[00:02:55.400 --> 00:02:59.100]  我們一定會經歷生命的風暴
[00:02:59.100 --> 00:03:04.500]  而主在這裏卻問我們一個很重要的問題
[00:03:04.500 --> 00:03:06.000]  那就是
[00:03:06.000 --> 00:03:08.200]  在人生的風暴當中
[00:03:08.200 --> 00:03:09.600]  請問你
[00:03:09.600 --> 00:03:14.700]  你生命的根基在哪裏啊
[00:03:14.700 --> 00:03:16.300]  當然當你聽到這個問題
[00:03:16.300 --> 00:03:18.000]  你自然地回答
[00:03:18.000 --> 00:03:21.300]  我的根基在聖經上
[00:03:21.300 --> 00:03:23.900]  但主的話是這樣說的嗎
[00:03:23.900 --> 00:03:25.000]  其實不是二十四節
[00:03:25.000 --> 00:03:26.500]  你看主怎麼說呢
[00:03:26.500 --> 00:03:27.500]  二十四節說
[00:03:27.500 --> 00:03:31.400]  主說凡聽見我這話又去什麼
[00:03:31.400 --> 00:03:33.400]  行的人
[00:03:33.400 --> 00:03:38.900]  他纔是把根基建造在磐石上
[00:03:38.900 --> 00:03:42.000]  所以今天早上要從四方面
[00:03:42.000 --> 00:03:43.300]  我們來講
[00:03:43.300 --> 00:03:51.900]  怎麼樣在神的話語上能夠經歷神
[00:03:51.900 --> 00:03:53.200]  四方面
[00:03:53.200 --> 00:03:54.100]  第一個
[00:03:54.100 --> 00:03:55.300]  你一定要研讀神的話
[00:03:55.300 --> 00:03:58.500]  給你媽說你要研讀神的話
[00:03:58.500 --> 00:03:58.900]  第二點
[00:03:58.900 --> 00:04:01.900]  神的話是我們整個信仰的根基
[00:04:01.900 --> 00:04:05.000]  也是我們屬靈生命的糧食
[00:04:05.000 --> 00:04:06.800]  今天你不可能說
[00:04:06.800 --> 00:04:09.600]  你不花時間來讀神的話
[00:04:09.600 --> 00:04:14.100]  而期望你屬靈生命會成熟長大
[00:04:14.100 --> 00:04:15.000]  你知道我們常說
