
[00:00:00.000 --> 00:00:03.500]  主一讓我們真的來到你面前的時候
[00:00:03.500 --> 00:00:06.100]  我們願意向你呼求
[00:00:06.100 --> 00:00:07.380]  因爲在我們的生命裏面
[00:00:07.380 --> 00:00:09.640]  我們真的要聽到你的聲音
[00:00:09.640 --> 00:00:11.740]  主一讓你親自對我們說話
[00:00:11.740 --> 00:00:16.200]  對我們每一個的弟兄姊妹們說話
[00:00:16.200 --> 00:00:17.320]  主一讓我們需要你
[00:00:17.320 --> 00:00:18.880]  我們需要你的話
[00:00:18.880 --> 00:00:20.560]  我們等候你
[00:00:20.560 --> 00:00:23.240]  在你面前我們的呼求祈禱
[00:00:23.240 --> 00:00:25.560]  是靠耶穌基督的名
[00:00:25.560 --> 00:00:27.320]  阿門
[00:00:27.320 --> 00:00:28.920]  弟兄姊妹大家好
[00:00:28.920 --> 00:00:34.320]  今天我們又是在一個視像的空間裏面見面
[00:00:34.320 --> 00:00:37.120]  在我們進入神的話之前
[00:00:37.120 --> 00:00:40.200]  很想和大家分享一節聖經
[00:00:40.200 --> 00:00:50.360]  這節聖經在《詩篇》119篇96節裏
[00:00:50.360 --> 00:00:51.480]  《詩篇》說
[00:00:51.480 --> 00:00:54.040]  我看萬物盡都有限
[00:00:54.040 --> 00:00:58.640]  惟有你的命令極其寬廣
[00:00:58.640 --> 00:01:01.000]  詩人在這裏說的萬物盡都有限
[00:01:01.000 --> 00:01:04.040]  今天對我們有什麼意義呢
[00:01:04.040 --> 00:01:07.240]  會不會都是在告訴我們
[00:01:07.240 --> 00:01:09.360]  艱難始終會過去
[00:01:09.360 --> 00:01:11.640]  疫情始終會過去
[00:01:11.640 --> 00:01:15.400]  很多事情始終會過去
[00:01:15.400 --> 00:01:19.720]  但是唯有神的話永遠長存
[00:01:19.720 --> 00:01:26.200]  唯有神的話可以讓我們得着生命
[00:01:26.200 --> 00:01:30.000]  今天很想和大家分享一個主題
[00:01:30.000 --> 00:01:36.600]  就是活在基督裏
[00:01:36.600 --> 00:01:38.920]  在聖經裏面很多時候都會提到
[00:01:38.920 --> 00:01:42.760]  在基督裏 在基督裏 在基督裏
[00:01:42.760 --> 00:01:45.200]  所以今天我們不止看一節聖經
[00:01:45.200 --> 00:01:47.960]  我們會看有七段聖經
[00:01:47.960 --> 00:01:51.600]  每一段大概是一節或者兩節
[00:01:51.600 --> 00:01:54.960]  在基督裏誰說得最多呢
[00:01:54.960 --> 00:01:57.320]  在聖經裏面
[00:01:57.320 --> 00:01:59.240]  其實主耶穌說過
[00:01:59.240 --> 00:02:03.840]  不過原來說得最多的是保羅
[00:02:03.840 --> 00:02:08.240]  是主耶穌親自來呼召的保羅
[00:02:08.240 --> 00:02:12.040]  他在比教會很多的書信裏面
[00:02:12.040 --> 00:02:17.240]  他都有提到在基督裏
[00:02:17.240 --> 00:02:20.160]  究竟在基督裏
[00:02:20.160 --> 00:02:24.240]  在保羅的心裏面是什麼意思呢
[00:02:24.240 --> 00:02:28.680]  我們可以跟着看以下的經文
[00:02:28.680 --> 00:02:31.800]  首先第一節想和大家分享的經文
[00:02:31.800 --> 00:02:38.000]  是在《哥倫多後書》的五章十七節
[00:02:38.000 --> 00:02:40.560]  我也邀請弟兄姊妹我們可以的
[00:02:40.560 --> 00:02:41.840]  我們一起讀
[00:02:41.840 --> 00:02:43.400]  如果你怕騷擾別人
[00:02:43.400 --> 00:02:47.480]  你可以在心裏面讀出來
[00:02:47.480 --> 00:02:49.840]  若有人在基督裏
[00:02:49.840 --> 00:02:52.440]  他就是新造的人
[00:02:52.440 --> 00:02:57.880]  舊是已過 都變成新的了
[00:02:57.880 --> 00:02:58.760]  保羅在這裏說
[00:02:58.760 --> 00:03:00.160]  若有人在基督裏
[00:03:00.160 --> 00:03:02.440]  他就是新造的人
[00:03:02.440 --> 00:03:06.840]  舊是已過 都變成新的了
[00:03:06.840 --> 00:03:08.280]  其實這裏是什麼意思呢
[00:03:08.280 --> 00:03:10.000]  在基督裏
[00:03:10.000 --> 00:03:13.640]  我想最簡單的說法就是信耶穌
[00:03:13.640 --> 00:03:17.200]  信耶穌你就在基督裏面
[00:03:17.200 --> 00:03:18.920]  是不是 弟兄姊妹
[00:03:18.920 --> 00:03:21.680]  而這節聖經裏面說到的其實
[00:03:21.680 --> 00:03:23.680]  保羅在這裏不是說一些神學
[00:03:23.680 --> 00:03:27.040]  一些很高深的偉大的思想
[00:03:27.040 --> 00:03:28.920]  其實是說他自己在生命歷程裏面
[00:03:28.920 --> 00:03:33.800]  他怎樣經歷在信耶穌之前
[00:03:33.800 --> 00:03:39.000]  和信耶穌之後的改變
[00:03:39.000 --> 00:03:43.800]  保羅曾經是一個迫害教會的人
[00:03:43.800 --> 00:03:46.760]  他要抓人 不讓人信耶穌
[00:03:46.760 --> 00:03:52.440]  甚至默許要殺害一些信耶穌的人
[00:03:52.440 --> 00:03:57.240]  但是當主耶穌親自來向他顯現的時候
[00:03:57.240 --> 00:04:00.720]  他願意悔改 他願意迴轉
[00:04:00.720 --> 00:04:04.080]  所以後來他就成爲一個福音的使者
[00:04:04.080 --> 00:04:05.240]  他甚至拿出一條命來
[00:04:05.240 --> 00:04:06.920]  他都要去傳福音
[00:04:06.920 --> 00:04:09.320]  保羅就是一個這樣的人
[00:04:09.320 --> 00:04:13.080]  我們看回經文裏面有圖片的時候
[00:04:13.080 --> 00:04:15.400]  講到浪子的故事
[00:04:15.400 --> 00:04:20.480]  浪子回頭 這個最近我們都不斷提及
[00:04:20.480 --> 00:04:23.280]  不過今天我想多說一點
[00:04:23.280 --> 00:04:28.840]  其實可能保羅就是那個浪子
[00:04:28.840 --> 00:04:30.920]  可能今天我們每一個信耶穌的人
[00:04:30.920 --> 00:04:34.920]  我們就是那個浪子
[00:04:34.920 --> 00:04:42.160]  這個浪子他曾經不聽爸爸媽媽說離開家庭
[00:04:42.160 --> 00:04:44.800]  但是他願意回頭的時候
[00:04:44.800 --> 00:04:48.600]  其實浪子的故事應該還有續集
[00:04:48.600 --> 00:04:50.360]  不過聖經沒有寫下去
[00:04:50.360 --> 00:04:53.800]  就讓保羅寫下去
[00:04:53.800 --> 00:04:57.400]  就是保羅他回到神身邊的時候
[00:04:57.400 --> 00:05:00.640]  他就很努力地去侍奉神
[00:05:00.640 --> 00:05:02.160]  並且去傳福音
[00:05:02.160 --> 00:05:03.920]  因爲他知道神的心意
[00:05:03.920 --> 00:05:08.800]  是要叫他向人去傳福音
[00:05:08.800 --> 00:05:11.640]  讓人能夠去認識耶穌
[00:05:11.640 --> 00:05:15.200]  唯有耶穌基督是人的救主
[00:05:15.200 --> 00:05:17.240]  他從前不認識耶穌
[00:05:17.240 --> 00:05:20.480]  所以他迫害那些信耶穌的人
[00:05:20.480 --> 00:05:22.800]  但是當神向他顯現的時候
[00:05:22.800 --> 00:05:25.160]  當耶穌向他顯現的時候
[00:05:25.160 --> 00:05:29.800]  他願意回頭 他願意悔改
[00:05:29.800 --> 00:05:34.040]  這個可能就是浪子的故事的延續
[00:05:34.040 --> 00:05:36.240]  也都在保羅的身上
[00:05:36.240 --> 00:05:39.960]  他很體會如何叫做一個新造的人
[00:05:39.960 --> 00:05:43.360]  他以爲以前他很努力去侍奉神
[00:05:43.360 --> 00:05:47.240]  但是當他與耶穌來到相遇的時候
[00:05:47.240 --> 00:05:51.160]  他就知道什麼叫做真正的侍奉神
[00:05:51.160 --> 00:05:55.200]  在基督裏就是一個新造的人
[00:05:55.200 --> 00:05:57.720]  接着我們再看第二節的經文
[00:05:57.720 --> 00:05:59.160]  或者第二段的經文
[00:05:59.160 --> 00:06:00.800]  在羅馬書那裏
[00:06:00.800 --> 00:06:04.760]  保羅又再次提到在基督裏
[00:06:04.760 --> 00:06:08.240]  都邀請大家我們又一起來讀
[00:06:08.240 --> 00:06:13.000]  如今那些在基督耶穌裏的就不定罪了
[00:06:13.000 --> 00:06:15.400]  因爲似生命性的律
[00:06:15.400 --> 00:06:18.480]  在基督耶穌裏釋放了我
[00:06:18.480 --> 00:06:24.440]  使我脫離罪和死的律了
[00:06:24.440 --> 00:06:26.880]  在這兩節經文裏面
[00:06:26.880 --> 00:06:28.400]  講了很多的律
