
[00:00:00.000 --> 00:00:03.440]  好 鄧師傅 讓我們在聆聽上主的說話
[00:00:03.440 --> 00:00:06.080]  以先我們一起以禱告
[00:00:06.080 --> 00:00:07.640]  預備我們心思意念
[00:00:07.640 --> 00:00:10.960]  來準確拿捏他當中的意思
[00:00:10.960 --> 00:00:14.840]  天父多謝你給了我們
[00:00:14.840 --> 00:00:17.360]  再次來到你的說話的根前
[00:00:17.360 --> 00:00:22.320]  直接透過你的啟示
[00:00:22.320 --> 00:00:23.720]  讓我們去明白
[00:00:23.720 --> 00:00:29.200]  你怎樣在人的當中來作供
[00:00:29.920 --> 00:00:32.840]  作成上主你的心願
[00:00:32.840 --> 00:00:39.000]  也要讓我們能夠在你的啟示裡面
[00:00:39.000 --> 00:00:41.680]  賦予我們更多的智慧
[00:00:41.680 --> 00:00:45.480]  來洞悉我們今天所遇見的世界
[00:00:45.480 --> 00:00:49.400]  求你讓我們有智慧
[00:00:49.400 --> 00:00:53.000]  來到去不單止明瞭
[00:00:53.000 --> 00:00:58.080]  看通這個世代人心那種的詭詐
[00:00:59.000 --> 00:01:01.680]  但同時也要讓我們去看到
[00:01:01.680 --> 00:01:05.400]  上帝你怎樣使用我們每一個
[00:01:05.400 --> 00:01:08.800]  能夠按照你的心思意念
[00:01:08.800 --> 00:01:12.960]  來活出一個能夠見證出
[00:01:12.960 --> 00:01:17.560]  上主的生命當有的樣式
[00:01:17.560 --> 00:01:19.360]  從而讓人去明白
[00:01:19.360 --> 00:01:24.040]  上主你的屬性是如何
[00:01:24.040 --> 00:01:26.640]  求你的幫助帶領
[00:01:26.640 --> 00:01:29.880]  賜予我們有聖靈的同在
[00:01:29.880 --> 00:01:33.280]  禱告奉靠主耶穌基督
[00:01:33.280 --> 00:01:35.640]  得聖的名字而求
[00:01:35.640 --> 00:01:36.600]  阿們
[00:01:36.600 --> 00:01:41.120]  人心是充滿詭詐
[00:01:41.120 --> 00:01:43.400]  這個我相信
[00:01:43.400 --> 00:01:45.760]  沒有人會否定這句說話的
[00:01:45.760 --> 00:01:46.840]  就算那些人怎樣說
[00:01:46.840 --> 00:01:49.920]  我是一個大好人也好
[00:01:49.920 --> 00:01:51.320]  平心而論
[00:01:51.320 --> 00:01:53.240]  始終人的心裡面
[00:01:53.240 --> 00:01:58.080]  總有一些古古怪怪的東西不斷盤算
[00:01:58.080 --> 00:02:01.440]  不過人雖然是詭詐
[00:02:01.440 --> 00:02:03.560]  但人也不想讓人知道
[00:02:03.560 --> 00:02:07.960]  他是一個這麼肮脹的屬靈生命
[00:02:07.960 --> 00:02:09.440]  於是乎怎樣呢
[00:02:09.440 --> 00:02:12.920]  人又很矛盾地要出盡力量
[00:02:12.920 --> 00:02:16.760]  要將自己包裝得很漂亮
[00:02:16.760 --> 00:02:19.560]  除非包無可包了
[00:02:19.560 --> 00:02:25.720]  被人揭發了自己的惡念或惡行之後
[00:02:25.720 --> 00:02:28.240]  人還有一招的毒招
[00:02:28.240 --> 00:02:30.920]  這招毒招是怎樣呢
[00:02:30.920 --> 00:02:32.280]  「發爛渣」
[00:02:32.280 --> 00:02:33.920]  所以我們中國人
[00:02:33.920 --> 00:02:37.160]  廣東話有句叫做「發爛渣」
[00:02:37.160 --> 00:02:40.680]  不是法文不是拉丁文不是意大利文
[00:02:40.680 --> 00:02:42.560]  是廣東話來的
[00:02:42.560 --> 00:02:44.880]  就是「這樣又怎樣呢」
[00:02:44.880 --> 00:02:47.360]  「你咬我啊?你吃我啊?」
[00:02:47.360 --> 00:02:49.920]  這種態度叫做「發爛渣」
[00:02:49.920 --> 00:02:52.880]  即是「盤撇」
[00:02:52.880 --> 00:02:57.080]  今天我們看到聖經裡的一些人物
[00:02:57.080 --> 00:03:00.320]  似乎很多時候我們看這段聖經
[00:03:00.320 --> 00:03:03.200]  就是從這個角度去看
[00:03:03.200 --> 00:03:07.360]  他們是不是這樣的態度去發爛渣呢
[00:03:07.360 --> 00:03:10.600]  還是這些人是根本上
[00:03:10.600 --> 00:03:14.240]  上帝是擺在你和我跟前
[00:03:14.240 --> 00:03:18.160]  來面對怎樣帶領他們
