
[00:00:00.000 --> 00:00:02.000]  祝福弟兄姊妹早晨
[00:00:02.000 --> 00:00:05.000]  讓我們在聆聽主的說話
[00:00:05.000 --> 00:00:07.000]  以先讓我們再次低頭
[00:00:07.000 --> 00:00:10.000]  求上帝的靈誘導我們
[00:00:10.000 --> 00:00:12.000]  去明白祂的啟示
[00:00:12.000 --> 00:00:15.000]  親愛的父神
[00:00:15.000 --> 00:00:18.000]  多謝祢讓我們眾弟兄姊妹
[00:00:18.000 --> 00:00:20.000]  再次來到祢的庚前
[00:00:20.000 --> 00:00:26.000]  一同打開祢先知僕人的禱告
[00:00:26.000 --> 00:00:30.000]  去探索我們在屬靈生命上
[00:00:30.000 --> 00:00:35.000]  應有的造就的過程
[00:00:35.000 --> 00:00:38.000]  以及怎樣讓上帝
[00:00:38.000 --> 00:00:41.000]  直接介入到我們生命當中
[00:00:41.000 --> 00:00:44.000]  監察我們每一個人
[00:00:44.000 --> 00:00:46.000]  能夠在你的裡面
[00:00:46.000 --> 00:00:49.000]  都能夠認罪悔改
[00:00:49.000 --> 00:00:51.000]  求祢的幫助
[00:00:51.000 --> 00:00:54.000]  讓這段禱告
[00:00:54.000 --> 00:00:57.000]  以及今天的講道
[00:00:57.000 --> 00:00:59.000]  都能夠
[00:00:59.000 --> 00:01:01.000]  識明我們自己
[00:01:01.000 --> 00:01:05.000]  在上帝裡面的靈性的光景
[00:01:05.000 --> 00:01:07.000]  從而讓我們能夠
[00:01:07.000 --> 00:01:10.000]  有力量 有方向
[00:01:10.000 --> 00:01:13.000]  有基礎地活在這個地上
[00:01:13.000 --> 00:01:15.000]  成為一個不折不扣
[00:01:15.000 --> 00:01:17.000]  屬神的子民
[00:01:17.000 --> 00:01:19.000]  直奔到永恆的當中
[00:01:19.000 --> 00:01:22.000]  禱告奉靠主耶穌基督
[00:01:22.000 --> 00:01:24.000]  得聖名自求
[00:01:24.000 --> 00:01:25.000]  阿們
[00:01:52.000 --> 00:01:55.000]  第八章的意象
[00:01:55.000 --> 00:01:58.000]  讓我們覺得很
[00:01:58.000 --> 00:01:59.000]  模糊
[00:01:59.000 --> 00:02:02.000]  也不知道發生什麼事的時候
[00:02:02.000 --> 00:02:04.000]  突然之間
[00:02:04.000 --> 00:02:06.000]  進入了一段圖文
[00:02:06.000 --> 00:02:08.000]  在這段圖文裡面
[00:02:08.000 --> 00:02:10.000]  究竟想說些什麼呢
[00:02:10.000 --> 00:02:12.000]  我相信其中一個
[00:02:12.000 --> 00:02:14.000]  最主要的原因的就是
[00:02:14.000 --> 00:02:18.000]  透過先前一連串的意象
[00:02:18.000 --> 00:02:20.000]  已經說了給我們聽
[00:02:20.000 --> 00:02:23.000]  但你要面對的世界
[00:02:23.000 --> 00:02:26.000]  是一個混亂不堪的世界
[00:02:26.000 --> 00:02:30.000]  和今天我們所處的光景
[00:02:30.000 --> 00:02:33.000]  是不無兩樣的
[00:02:33.000 --> 00:02:35.000]  我經常都這麼說
[00:02:35.000 --> 00:02:37.000]  在我們加拿大
[00:02:37.000 --> 00:02:40.000]  我們的國家領袖人士
[00:02:40.000 --> 00:02:43.000]  其實就真的沒有智慧的
[00:02:43.000 --> 00:02:46.000]  專門沒有工作找工作來做
[00:02:46.000 --> 00:02:48.000]  搞到現在
[00:02:48.000 --> 00:02:51.000]  加拿大經濟越來越差
[00:02:51.000 --> 00:02:53.000]  是一手造成的
[00:02:53.000 --> 00:02:55.000]  但是大家不要以為
