
[00:00:00.000 --> 00:00:02.180]  讓我們再次同心吐槽
[00:00:02.180 --> 00:00:06.740]  我們的主我們的神
[00:00:06.740 --> 00:00:09.300]  感謝你賜下你寶貴的說話
[00:00:09.300 --> 00:00:13.880]  昔日以色列人他們如何去恭聽你的話語
[00:00:13.880 --> 00:00:18.020]  而且去嘗試努力去跟從你的律法
[00:00:18.020 --> 00:00:21.120]  在當中今天爲了讀到的
[00:00:21.120 --> 00:00:24.880]  他們所經歷的需要的成長
[00:00:24.880 --> 00:00:27.080]  他們所經歷的掙扎
[00:00:27.080 --> 00:00:29.500]  甚至他們有失敗的
[00:00:30.140 --> 00:00:31.440]  侯主幫助我們
[00:00:31.440 --> 00:00:34.360]  讓我們能夠藉着你的話語
[00:00:34.360 --> 00:00:36.840]  你向我的啓詞
[00:00:36.840 --> 00:00:39.800]  去向我們的生命去說話
[00:00:39.800 --> 00:00:43.720]  讓我們的心都願意的得着提醒
[00:00:43.720 --> 00:00:48.800]  以致我們去跟從你自己的話語
[00:00:48.800 --> 00:00:50.920]  侯主幫助我們
[00:00:50.920 --> 00:00:52.720]  禱告奉耶穌基督的名字
[00:00:52.720 --> 00:00:53.720]  阿們
[00:00:57.560 --> 00:01:01.080]  之前我跟大家分享以色列人他們如何在
[00:01:01.080 --> 00:01:03.240]  水門前去聽神的說話
[00:01:03.240 --> 00:01:04.560]  由早到晚
[00:01:04.560 --> 00:01:05.280]  很長吧
[00:01:05.280 --> 00:01:07.040]  今日所讀的經文
[00:01:07.040 --> 00:01:09.320]  都是比較長一些
[00:01:09.320 --> 00:01:11.560]  不過都幾次應該
[00:01:11.560 --> 00:01:15.000]  如果大家平時領修讀一章聖經長長地
[00:01:15.000 --> 00:01:15.800]  都是
[00:01:15.800 --> 00:01:17.080]  差不多
[00:01:17.080 --> 00:01:19.800]  有主席讀給我們聽
[00:01:19.800 --> 00:01:22.320]  我們好好地去將一章聖經
[00:01:22.320 --> 00:01:24.160]  很完整地去到
[00:01:24.160 --> 00:01:26.840]  聽到整個事件
[00:01:27.520 --> 00:01:29.520]  並又在當中我們去思想
[00:01:29.520 --> 00:01:31.880]  上帝對我們的
[00:01:31.880 --> 00:01:33.040]  教訓
[00:01:33.040 --> 00:01:36.080]  今日我們的講題是
[00:01:36.080 --> 00:01:37.320]  瞬房覆車
[00:01:37.320 --> 00:01:39.000]  分別爲聲
[00:01:39.000 --> 00:01:43.800]  最近香港因爲天氣惡劣的玄觀
[00:01:43.800 --> 00:01:46.120]  我留意到有兩幅
[00:01:46.120 --> 00:01:47.680]  很不同的圖畫
