
[00:00:00.000 --> 00:00:05.000]  我們先來看到大魏的約的前提
[00:00:05.000 --> 00:00:13.000]  聖經中有許多的約
[00:00:13.000 --> 00:00:19.000]  一般認爲最重要的就是七個約
[00:00:19.000 --> 00:00:22.000]  我們過去也說過
[00:00:22.000 --> 00:00:24.000]  有伊甸園的約
[00:00:24.000 --> 00:00:26.000]  有羅亞的約
[00:00:26.000 --> 00:00:30.000]  然後下來到亞伯拉罕
[00:00:30.000 --> 00:00:32.000]  有亞伯拉罕的約
[00:00:32.000 --> 00:00:35.000]  然後再下來到西乃山的時候
[00:00:35.000 --> 00:00:37.000]  有摩西的約
[00:00:37.000 --> 00:00:39.000]  也就是西乃的約
[00:00:39.000 --> 00:00:41.000]  然後快要進迦南以前
[00:00:41.000 --> 00:00:43.000]  在摩亞地的地方
[00:00:43.000 --> 00:00:46.000]  神又跟以神立約
[00:00:46.000 --> 00:00:48.000]  有巴勒斯坦的約
[00:00:48.000 --> 00:00:51.000]  也又叫做摩亞之約
[00:00:51.000 --> 00:00:54.000]  那我們今天要看的就是大魏的約
[00:00:54.000 --> 00:00:57.000]  我們下次再要看的就是新約
[00:00:57.000 --> 00:00:59.000]  這主要的這七個約
[00:00:59.000 --> 00:01:01.000]  有人說是八個約
[00:01:01.000 --> 00:01:03.000]  那也可以有更多的約
[00:01:03.000 --> 00:01:07.000]  但這七個約是比較主要的
[00:01:07.000 --> 00:01:09.000]  這個七個約呢
[00:01:09.000 --> 00:01:11.000]  他們不是孤立的
[00:01:11.000 --> 00:01:16.000]  不是說這約都是有相互的關係
[00:01:16.000 --> 00:01:18.000]  而且這個約有個特點
[00:01:18.000 --> 00:01:21.000]  它都是跟神的救贖的永約
[00:01:21.000 --> 00:01:23.000]  永遠的約
[00:01:23.000 --> 00:01:27.000]  是密切相關的
[00:01:27.000 --> 00:01:30.000]  而且他們定的約呢
[00:01:30.000 --> 00:01:32.000]  神跟這部分的約呢
[00:01:32.000 --> 00:01:37.000]  也都是跟救贖的永約是有關係的
[00:01:37.000 --> 00:01:40.000]  那這個救贖的約呢
