
[00:00:00.000 --> 00:00:03.360]  今天跟大家繼續會看的是
[00:00:03.360 --> 00:00:05.360]  「貼薩尼加前書」
[00:00:05.360 --> 00:00:07.760]  不知道大家是否還記得上一次
[00:00:07.760 --> 00:00:09.760]  在第二章
[00:00:09.760 --> 00:00:12.800]  方牧師也提到我們
[00:00:12.800 --> 00:00:16.400]  保羅和信徒之間的關係
[00:00:16.400 --> 00:00:21.040]  其中他用了在「貼薩尼加前書」的第二章
[00:00:21.040 --> 00:00:25.040]  提到很想見到大家的面
[00:00:25.040 --> 00:00:27.040]  提醒我們
[00:00:27.040 --> 00:00:31.840]  長時間大家不能回到教會實體聚會的時候
[00:00:31.840 --> 00:00:35.040]  雖然透過線上可以見到面
[00:00:35.040 --> 00:00:37.040]  但我們仍然很盼望
[00:00:37.040 --> 00:00:41.040]  可以一齊回到教會的聚會當中
[00:00:41.040 --> 00:00:45.040]  無論崇拜、成長班、女傳道會、祈禱會
[00:00:45.040 --> 00:00:49.040]  我們都可以真正見到面的那種見面
[00:00:49.040 --> 00:00:52.160]  當經過保羅的表達之後
[00:00:52.160 --> 00:00:54.640]  他真的想做些事
[00:00:54.640 --> 00:00:57.440]  所以「貼薩尼加前書」的第三章
[00:00:57.440 --> 00:01:01.440]  提到保羅親自打發提摩太
[00:01:01.440 --> 00:01:05.440]  來與教會弟兄姊妹見面
[00:01:05.440 --> 00:01:08.240]  當中亦與他們一起
[00:01:08.240 --> 00:01:14.240]  經歷了更多明白教會弟兄姊妹的狀況
[00:01:14.240 --> 00:01:16.240]  這段經文
[00:01:16.240 --> 00:01:18.240]  三章一到十節我用了一個題目
[00:01:18.240 --> 00:01:23.440]  叫做「靠主站穩,喜樂滿滿」
[00:01:23.440 --> 00:01:29.440]  有少少可能是方博士有安排
[00:01:29.440 --> 00:01:31.440]  今天三月的月司特別提醒我們
[00:01:31.440 --> 00:01:35.440]  如何不要離開主,更加依靠主
[00:01:35.440 --> 00:01:37.440]  所以我想和大家來看這段經文
[00:01:37.440 --> 00:01:41.440]  「貼薩尼加前書」第三章一到十節
