
[00:00:00.000 --> 00:00:02.220]  我們講這個《啓示錄》
[00:00:02.220 --> 00:00:06.940]  可能有一些我們剛來的朋友
[00:00:06.940 --> 00:00:09.340]  或者是出信的弟兄姊妹
[00:00:09.340 --> 00:00:12.420]  甚至信主多年的
[00:00:12.420 --> 00:00:16.500]  可能都會覺得《啓示錄》是很難懂的一卷書
[00:00:16.500 --> 00:00:18.340]  坦白說確實很難懂
[00:00:18.340 --> 00:00:19.900]  所以我嘗試呢
[00:00:19.900 --> 00:00:22.660]  我要把它比較簡單化
[00:00:22.660 --> 00:00:25.860]  不是像解經家一樣
[00:00:25.860 --> 00:00:28.140]  每一節 每一句話
[00:00:28.140 --> 00:00:29.540]  哇 這個什麼意思
[00:00:29.540 --> 00:00:32.620]  你看解經書 你看到後來頭都昏了
[00:00:32.620 --> 00:00:36.220]  那我嘗試讓這一個《啓示錄》
[00:00:36.220 --> 00:00:39.980]  是跟我們現實的生活能夠是發生關係的
[00:00:39.980 --> 00:00:43.860]  那麼《啓示錄》我們在上一次的信息裏面講到十四章
[00:00:43.860 --> 00:00:45.900]  一開始第一節到第五節
[00:00:45.900 --> 00:00:47.980]  講到十四萬四千人 對不對
[00:00:47.980 --> 00:00:49.060]  那些人是什麼呢
[00:00:49.060 --> 00:00:50.420]  那些是得勝者
[00:00:50.420 --> 00:00:53.780]  將來你知道有一天這個世界都會結束的 對不對
[00:00:53.780 --> 00:00:56.060]  那麼這個世界結束了之後 到哪裏去呢
[00:00:56.060 --> 00:00:57.660]  再問這個問題 很簡單的問題
[00:00:57.660 --> 00:00:59.380]  到哪裏去 你有沒有想過這個問題
[00:00:59.380 --> 00:01:00.900]  來 請告訴我說
[00:01:00.900 --> 00:01:02.380]  你離開這個世界之後
[00:01:02.380 --> 00:01:04.940]  你會到天上去的 請舉手
[00:01:04.940 --> 00:01:08.460]  好 請放下
[00:01:08.460 --> 00:01:12.140]  那麼你不知道你離開這個世界會去哪裏的
[00:01:12.140 --> 00:01:13.660]  請舉手 好嗎
[00:01:13.660 --> 00:01:19.300]  好 那你剛纔都沒有舉手的 請舉手 好嗎
[00:01:19.300 --> 00:01:23.460]  總是有一些人怎麼講都不舉手
[00:01:23.460 --> 00:01:24.500]  沒關係 我知道
[00:01:24.500 --> 00:01:25.980]  因爲你可能覺得
[00:01:25.980 --> 00:01:28.700]  我不知道這個問題該怎麼回答 還在思想
[00:01:28.700 --> 00:01:31.180]  好 我盼望今天這個聚會結束之後
[00:01:31.180 --> 00:01:32.580]  你就很清楚知道了
[00:01:32.580 --> 00:01:34.340]  我盼望今天這個聚會之後
[00:01:34.340 --> 00:01:36.060]  每一個人都很清楚知道
[00:01:36.060 --> 00:01:37.500]  你離開這個世界
[00:01:37.500 --> 00:01:38.740]  你會去一個地方
[00:01:38.740 --> 00:01:41.940]  這個地方叫做天國 Amen
[00:01:41.940 --> 00:01:44.940]  Amen
[00:01:44.940 --> 00:01:47.140]  有天國嗎
[00:01:47.140 --> 00:01:49.100]  我知道有美國
[00:01:49.100 --> 00:01:52.340]  我知道有中國
[00:01:52.340 --> 00:01:55.140]  但是有天國嗎
[00:01:55.140 --> 00:01:56.940]  有
[00:01:56.940 --> 00:01:58.660]  我想這個末世
[00:01:58.660 --> 00:02:02.660]  幫助我們更多地去思想這些問題
[00:02:02.660 --> 00:02:04.180]  哪兒都去不了
[00:02:04.180 --> 00:02:06.500]  所以很多人就開始思想了
[00:02:06.500 --> 00:02:09.020]  哎呀 這個疫情什麼時候結束呢
[00:02:09.020 --> 00:02:11.300]  這個疫情好不容易
[00:02:11.300 --> 00:02:13.660]  我們今年到了這個七月份的時候
[00:02:13.660 --> 00:02:16.060]  拜登總統說全民免疫了
[00:02:16.060 --> 00:02:17.020]  從此之後
[00:02:17.020 --> 00:02:20.060]  你就可以繼續回到正常生活 對不對
[00:02:20.060 --> 00:02:24.380]  結果沒想到又來一個什麼病毒啊
[00:02:24.380 --> 00:02:27.100]  Delta
[00:02:27.100 --> 00:02:29.740]  這個Delta病毒來勢洶洶
[00:02:29.740 --> 00:02:31.700]  這個傳播速度更快
[00:02:31.700 --> 00:02:33.260]  武功更高強
[00:02:33.260 --> 00:02:34.060]  所以呢
[00:02:34.060 --> 00:02:37.460]  現在這些生藥單位又在研發
[00:02:37.460 --> 00:02:40.060]  看要怎麼去對付這個Delta病毒
[00:02:40.060 --> 00:02:42.140]  那麼最近 今天看了新聞裏面
[00:02:42.140 --> 00:02:46.140]  又來祕魯又產生一個什麼病毒啊
[00:02:46.140 --> 00:02:47.740]  反正我也記不清楚了
[00:02:47.740 --> 00:02:49.180]  那你就會發現好像
[00:02:49.180 --> 00:02:51.420]  這個日子是沒完沒了
[00:02:51.420 --> 00:02:52.340]  親愛的同志們
[00:02:52.340 --> 00:02:55.340]  我已經從疫情一開始就告訴丁子妹了
[00:02:55.340 --> 00:03:00.660]  不要把我們的焦點放在疫情什麼時候結束
[00:03:00.660 --> 00:03:04.020]  盼望這個疫情讓我們更多的去思想
[00:03:04.020 --> 00:03:06.740]  生命的意義和價值在哪裏
[00:03:06.740 --> 00:03:09.900]  讓我們看見說人生這麼短暫
[00:03:09.900 --> 00:03:12.180]  我們應當如何
[00:03:12.180 --> 00:03:14.820]  好好的來過我們的人生
[00:03:14.820 --> 00:03:16.500]  今天我們要來看見
[00:03:16.500 --> 00:03:17.580]  從這段生機裏面
[00:03:17.580 --> 00:03:20.500]  我們講到有兩種人生的結局
[00:03:20.500 --> 00:03:22.340]  請你注意這個題目
[00:03:22.340 --> 00:03:27.380]  是兩種人生的什麼結局
[00:03:27.380 --> 00:03:29.620]  你說牧師啊 我還年輕呢
[00:03:29.620 --> 00:03:31.780]  談兩種人生就好了
[00:03:31.780 --> 00:03:34.100]  談兩種人生的結局
[00:03:34.100 --> 00:03:35.900]  那不好像我已經是七老八十
[00:03:35.900 --> 00:03:37.700]  準備走到這個世界的末了
[00:03:37.700 --> 00:03:40.140]  這個人生的終點了嗎
[00:03:40.140 --> 00:03:42.140]  不管你年紀多大
[00:03:42.140 --> 00:03:44.860]  不管你是年輕或者是年老
[00:03:44.860 --> 00:03:48.020]  承不承認
[00:03:48.020 --> 00:03:53.260]  棺材店賣有大棺材也有小棺材
[00:03:53.260 --> 00:03:56.100]  承不承認
[00:03:56.100 --> 00:03:58.580]  承不承認嗎
[00:03:58.580 --> 00:04:05.980]  黃泉路上有老有少
[00:04:05.980 --> 00:04:07.020]  死亡有沒有說
[00:04:07.020 --> 00:04:10.540]  嘿 我只招呼八十歲以上的
[00:04:10.540 --> 00:04:11.020]  對不對
[00:04:11.020 --> 00:04:14.380]  打疫苗可以 六十五歲以上先打
[00:04:14.380 --> 00:04:15.220]  死亡有沒有說
[00:04:15.220 --> 00:04:18.100]  來 六十五歲的先來 有沒有
[00:04:18.100 --> 00:04:21.180]  有沒有 六十五以上慢慢來
[00:04:21.180 --> 00:04:23.500]  沒有這一回事
[00:04:23.500 --> 00:04:26.860]  沒有一個人可以保證你的 是不是
[00:04:26.860 --> 00:04:30.940]  CDC也沒有辦法保證你的
[00:04:30.940 --> 00:04:33.700]  所以 啓示錄在這裏
[00:04:33.700 --> 00:04:36.860]  這一個十四章六到二十節
[00:04:36.860 --> 00:04:40.020]  這段聖經裏面
[00:04:40.020 --> 00:04:42.460]  如果你仔細去看
[00:04:42.460 --> 00:04:46.900]  你看見整個聖經裏面
[00:04:46.900 --> 00:04:50.020]  在講到這一位神
[00:04:50.020 --> 00:04:52.780]  他是一位憐憫的神
[00:04:52.780 --> 00:04:58.580]  他同時又是一位公義的神
[00:04:58.580 --> 00:05:01.500]  這兩個東西 這兩個屬性
[00:05:01.500 --> 00:05:05.220]  是彼此矛盾的 對不對
[00:05:05.220 --> 00:05:07.860]  一個人我們說他很有愛心
[00:05:07.860 --> 00:05:10.260]  但是我們說一個人他很有公義
[00:05:10.260 --> 00:05:12.540]  這兩個常常是矛盾的
[00:05:12.540 --> 00:05:15.380]  聖經裏面講到神的憐憫的時候
[00:05:15.380 --> 00:05:20.180]  其實他原文裏面用的這個字
[00:05:20.180 --> 00:05:21.300]  是很豐富的
[00:05:21.300 --> 00:05:24.860]  中文沒有辦法用一個語言去翻譯它
[00:05:24.860 --> 00:05:26.780]  你可以把它翻譯成連續
[00:05:26.780 --> 00:05:28.780]  你也可以把它翻譯成慈愛
[00:05:28.780 --> 00:05:30.980]  你也可以把它翻譯成恩慈
[00:05:30.980 --> 00:05:33.780]  所以你看 中文聖經有好多地方
[00:05:33.780 --> 00:05:34.580]  講到這些的時候
[00:05:34.580 --> 00:05:36.260]  他都一連串講的
[00:05:36.260 --> 00:05:40.140]  耶和華是有連續 有恩慈 有忍耐
[00:05:40.140 --> 00:05:42.180]  就要這樣子來形容
[00:05:42.180 --> 00:05:43.340]  因爲他不這樣形容的話
[00:05:43.340 --> 00:05:47.220]  沒有辦法形容這一個字
[00:05:47.220 --> 00:05:51.620]  我就用這個聖經裏面比較常出現的
[00:05:51.620 --> 00:05:54.900]  神的慈愛來講
[00:05:54.900 --> 00:05:57.500]  慈愛
[00:05:57.500 --> 00:05:59.620]  神的慈愛
