
[00:00:00.000 --> 00:00:02.320]  背景 作者摩西
[00:00:02.320 --> 00:00:06.880]  因為有人說詩篇90篇和91篇用的詞有點相似
[00:00:06.880 --> 00:00:09.320]  也有人說應該是大衛
[00:00:09.320 --> 00:00:14.440]  因為跟他其他的詩篇講山寨、避難所都很接近
[00:00:14.440 --> 00:00:16.680]  還有一個 我覺得這個一定是對的
[00:00:16.680 --> 00:00:23.120]  無論如何 一定是一個曾經歷憂患痛苦、疫病的人寫的
[00:00:23.120 --> 00:00:25.120]  這個一定是對的
[00:00:25.120 --> 00:00:28.520]  這首詩篇的詩體叫《朝聖詩》
[00:00:28.520 --> 00:00:31.320]  是以色列人去敬拜的時候
[00:00:31.320 --> 00:00:34.760]  見證上帝是保護信靠他的人
[00:00:34.760 --> 00:00:37.680]  不過我更加喜歡他的別名
[00:00:37.680 --> 00:00:41.520]  別名叫《中年人的詩篇》
[00:00:41.520 --> 00:00:42.720]  福音
[00:00:42.720 --> 00:00:45.040]  中年人很多偽懶的
[00:00:45.040 --> 00:00:47.680]  另外一個就叫《意外的詩篇》
[00:00:47.680 --> 00:00:51.320]  Song of Accidents
[00:00:51.320 --> 00:00:54.440]  人隨著年紀越來越年長
[00:00:54.440 --> 00:00:56.000]  不要說老了
[00:00:56.000 --> 00:00:58.200]  越來越明白有很多事情
[00:00:58.200 --> 00:01:02.400]  不在我們掌控之間
[00:01:02.400 --> 00:01:04.120]  所以今天跟大家講的叫做
[00:01:04.120 --> 00:01:07.440]  「埋身禱告四論」
[00:01:07.440 --> 00:01:09.640]  第一 住在人物
[00:01:09.640 --> 00:01:11.560]  第二 對照主明
[00:01:11.560 --> 00:01:13.880]  第三 堅持仰望
[00:01:13.880 --> 00:01:17.400]  第四 靠主應許
[00:01:17.400 --> 00:01:20.600]  第一 住在人物是我的神
[00:01:20.600 --> 00:01:22.240]  什麼叫住呢?
[00:01:22.240 --> 00:01:27.040]  住的意思是恆常、延續
[00:01:27.040 --> 00:01:30.240]  你不單止睡在那裡
[00:01:30.240 --> 00:01:32.880]  你的心也在那裡
[00:01:32.880 --> 00:01:36.200]  Home is where your heart is
[00:01:36.200 --> 00:01:40.960]  住在那裡就是你的心也在那裡
[00:01:40.960 --> 00:01:43.840]  隱密呢?
[00:01:43.840 --> 00:01:45.320]  有人說
[00:01:45.320 --> 00:01:51.480]  在聖經就說好像嬰兒鳥在媽媽鳥下面找到安全
[00:01:51.480 --> 00:01:55.440]  所以應該是和上帝很隱密、很親密的地方
[00:01:55.440 --> 00:01:59.000]  那種大家講講悄悄話的地方
[00:01:59.000 --> 00:01:59.840]  令我想起什麼呢?
[00:01:59.840 --> 00:02:02.000]  想起我的年代的一個名詞
[00:02:02.000 --> 00:02:03.240]  如果你懂得這個名詞
[00:02:03.240 --> 00:02:05.480]  恐怕你都不小了
[00:02:05.480 --> 00:02:11.680]  我的年代很喜歡一個地方叫「角仔」
