
[00:00:00.000 --> 00:00:03.680]  各位現場及網上的弟兄姊妹平安
[00:00:03.680 --> 00:00:06.720]  有一個故事是這樣說的
[00:00:06.720 --> 00:00:10.000]  他說從前有一位很有地位
[00:00:10.000 --> 00:00:11.560]  很有聲譽
[00:00:11.560 --> 00:00:14.160]  又有愛心的一個人
[00:00:14.160 --> 00:00:17.840]  他很想將自己心愛的禮物
[00:00:17.840 --> 00:00:21.440]  送給村裡面一群很貧困的小朋友
[00:00:21.440 --> 00:00:24.760]  但他又不知道怎樣來迅速
[00:00:24.760 --> 00:00:28.960]  於是乎他就邀請他的管家來跟他傾談
[00:00:29.120 --> 00:00:30.720]  管家就提議
[00:00:30.720 --> 00:00:34.600]  不如你先請這群小朋友來家裡吃飯
[00:00:34.600 --> 00:00:37.600]  然後就將你家裡面心愛的禮物
[00:00:37.600 --> 00:00:41.080]  任由他們來選擇
[00:00:41.080 --> 00:00:44.000]  於是乎在那一晚裡面
[00:00:44.000 --> 00:00:47.360]  每一個小朋友都很開心
[00:00:47.360 --> 00:00:48.720]  吃得很飽
[00:00:48.720 --> 00:00:52.760]  每一個人都揀選了他們自己心愛的禮物
[00:00:52.760 --> 00:00:55.000]  當在離開的時候
[00:00:55.000 --> 00:00:58.280]  這位主人家就跟每一位小朋友道別
[00:00:58.400 --> 00:01:00.680]  但他見到有一位小朋友
[00:01:00.680 --> 00:01:03.440]  他手上沒有任何的禮物
[00:01:03.440 --> 00:01:05.240]  於是乎他就問他
[00:01:05.240 --> 00:01:07.240]  「究竟你揀了些什麼呢?」
[00:01:07.240 --> 00:01:09.240]  「為什麼不見你手拿著呢?」
[00:01:09.240 --> 00:01:10.320]  他就說
[00:01:10.320 --> 00:01:13.560]  「我揀了的禮物就是你」
[00:01:13.560 --> 00:01:17.680]  這個故事再一次提醒我
[00:01:17.680 --> 00:01:22.080]  主耶穌在我生命裡面是最重要的
[00:01:22.080 --> 00:01:24.440]  讓我更深要體會
[00:01:24.440 --> 00:01:27.440]  當我去捉住神
[00:01:27.440 --> 00:01:30.880]  去抓緊神自己應許的時候
[00:01:30.880 --> 00:01:34.720]  讓我可以經常來到施恩座面前
[00:01:34.720 --> 00:01:37.920]  去禱告尋求神
[00:01:37.920 --> 00:01:42.040]  在下半年我們開始了五個標記
[00:01:42.040 --> 00:01:48.200]  過去的時間我們講及了客女和子民
[00:01:48.200 --> 00:01:49.440]  從今天開始
[00:01:49.440 --> 00:01:53.200]  我們就會講到祭司這個標記
[00:01:53.200 --> 00:01:56.640]  當我們要講到祭司這個標記
[00:01:56.640 --> 00:01:59.120]  我們要先從耶穌基督
[00:01:59.120 --> 00:02:02.440]  是我們的大祭司來講起
[00:02:02.440 --> 00:02:05.240]  我們知道在希伯來書裡面
[00:02:05.240 --> 00:02:07.720]  記載了不少的描述
[00:02:07.720 --> 00:02:14.440]  希伯來的作者將焦點放在上帝最終極的啟示
[00:02:14.440 --> 00:02:18.200]  成就完美救贖這個鐘堡
[00:02:18.200 --> 00:02:20.560]  主耶穌基督的身上
[00:02:20.560 --> 00:02:22.440]  我不知道你有沒有想過
[00:02:22.440 --> 00:02:26.360]  耶穌基督是我們的大祭司
