
[00:00:00.000 --> 00:00:03.560]  這篇信息其實我講過幾次
[00:00:03.560 --> 00:00:06.280]  但幾次的場景都很不同
[00:00:06.280 --> 00:00:08.600]  特別是講到大使命的時候
[00:00:08.600 --> 00:00:10.960]  我相信大家都耳熟能詳
[00:00:10.960 --> 00:00:13.880]  就是使人作主的門徒
[00:00:13.880 --> 00:00:15.160]  這個大使命
[00:00:15.160 --> 00:00:17.080]  照計一句就講完了
[00:00:17.080 --> 00:00:21.560]  那為什麼要用一篇去講這個內容呢
[00:00:21.560 --> 00:00:23.800]  但是我又思想
[00:00:23.800 --> 00:00:25.560]  如果我們試一下
[00:00:25.560 --> 00:00:27.880]  從昔日馬太
[00:00:27.880 --> 00:00:30.840]  他怎樣去撰寫福音書
[00:00:30.840 --> 00:00:32.920]  在28章最後一章
[00:00:32.920 --> 00:00:34.440]  最後一段的說話
[00:00:34.440 --> 00:00:36.320]  講到大使命的時候
[00:00:36.320 --> 00:00:37.600]  我們就深信一件事
[00:00:37.600 --> 00:00:43.480]  這個大使命對馬太本身的影響是很大
[00:00:43.480 --> 00:00:46.400]  所以我構思這個信息的時候
[00:00:46.400 --> 00:00:50.160]  我嘗試去從馬太的人生的改變
[00:00:50.160 --> 00:00:53.720]  去看究竟這個大使命對他
[00:00:53.720 --> 00:00:56.280]  也都對我們有什麼影響
[00:00:56.280 --> 00:00:59.320]  所以今天這個信息基本上分兩個部分
[00:00:59.320 --> 00:01:02.200]  第一個部分我們邀請了馬太回來
[00:01:02.200 --> 00:01:03.480]  現身說法
[00:01:03.480 --> 00:01:04.640]  跟我們講一下
[00:01:04.640 --> 00:01:06.360]  為什麼他會寫這本書呢
[00:01:06.360 --> 00:01:09.720]  這本書對他的生命有什麼改變
[00:01:09.720 --> 00:01:11.320]  有什麼影響呢
[00:01:11.320 --> 00:01:14.120]  第二部分就是牧師回來
[00:01:14.120 --> 00:01:16.200]  就跟大家講一下
[00:01:16.200 --> 00:01:21.240]  究竟大使命對我們今天的影響好不好
[00:01:21.240 --> 00:01:23.120]  大家好像很懷疑
[00:01:23.120 --> 00:01:27.240]  不過很快我們就準備這個旅程了
[00:01:53.120 --> 00:01:55.720]  是羅馬政府
[00:01:55.720 --> 00:01:59.560]  你知道羅馬政府是一個很英明的政府
[00:01:59.560 --> 00:02:05.760]  所以沒有一個居民不會逃離他的稅網
[00:02:05.760 --> 00:02:08.880]  為什麼羅馬政府收稅得這麼順利呢
[00:02:08.880 --> 00:02:12.600]  就全賴我們這班同業敬業熬業
[00:02:12.600 --> 00:02:16.320]  所以羅馬政府才可以收到稅
[00:02:16.320 --> 00:02:18.200]  不知道你們有沒有聽過
[00:02:18.200 --> 00:02:21.080]  我們的稅利長薩戈
[00:02:21.080 --> 00:02:23.080]  薩戈就厲害了
[00:02:23.080 --> 00:02:26.560]  他是我們同業當中最受尊崇的一位
[00:02:26.560 --> 00:02:29.160]  而且他是收稅的總長
[00:02:29.160 --> 00:02:32.680]  可能他就是今天的稅務局局長也說不定
[00:02:32.680 --> 00:02:35.840]  因為所有我們這些同業所收的稅
[00:02:35.840 --> 00:02:36.840]  都要交給他
[00:02:36.840 --> 00:02:38.600]  由他交給政府
[00:02:38.600 --> 00:02:41.120]  所以薩戈生命的改變
[00:02:41.120 --> 00:02:43.920]  對我們來講是一個很大的震撼
[00:02:43.920 --> 00:02:45.320]  你知不知道
[00:02:45.320 --> 00:02:47.840]  就是早前的時候
[00:02:47.840 --> 00:02:49.960]  薩戈為了見耶穌
[00:02:49.960 --> 00:02:52.480]  就爬上一棵桑樹上
[00:02:52.480 --> 00:02:54.920]  誰知猜不到
[00:02:54.920 --> 00:02:57.440]  耶穌就叫薩戈你快點下來
[00:02:57.440 --> 00:02:59.560]  我要去你家
[00:02:59.560 --> 00:03:01.920]  那時候薩戈又驚又喜
[00:03:01.920 --> 00:03:03.720]  馬上就接待耶穌
[00:03:03.720 --> 00:03:05.760]  當接待了耶穌之後
[00:03:05.760 --> 00:03:08.960]  薩戈的生命就有很大的改變
[00:03:08.960 --> 00:03:10.240]  他就說
[00:03:10.240 --> 00:03:13.480]  我將我的一半家產分給窮人
[00:03:13.480 --> 00:03:14.800]  如果我騙過誰
[00:03:14.800 --> 00:03:17.800]  我會四倍奉還
[00:03:17.800 --> 00:03:20.800]  我們聽到的時候心裡都為他很擔心
[00:03:20.800 --> 00:03:24.800]  那薩戈所有的財富就消失了
[00:03:24.800 --> 00:03:27.560]  不過薩戈很開心
[00:03:27.560 --> 00:03:28.680]  因為他知道
[00:03:28.680 --> 00:03:32.560]  這個是主耶穌對他的接納
[00:03:32.560 --> 00:03:35.480]  我又想起自己的生命的時候
[00:03:35.480 --> 00:03:37.280]  我就記得有一天
[00:03:37.280 --> 00:03:39.280]  我曾經與一群同業
[00:03:39.280 --> 00:03:40.680]  在約旦河邊
[00:03:40.680 --> 00:03:43.200]  聽到施浸約翰的教導
[00:03:43.200 --> 00:03:44.160]  他這樣說
[00:03:44.160 --> 00:03:48.200]  要表現出與你悔改的心相稱的行為來
[00:03:48.200 --> 00:03:50.280]  因此除了例定的數目
[00:03:50.280 --> 00:03:52.280]  就不要多收
[00:03:52.280 --> 00:03:54.760]  一提到不要多收的時候
[00:03:54.760 --> 00:03:55.960]  我就想起
[00:03:55.960 --> 00:03:57.160]  我們做這一行
[00:03:57.160 --> 00:03:58.280]  如果不多收
[00:03:58.280 --> 00:04:00.000]  我們哪裡有飯吃呢?
[00:04:00.000 --> 00:04:02.000]  所有的稅率都是一樣的
[00:04:02.000 --> 00:04:05.280]  他一定要多收他政府規定的稅
[00:04:05.280 --> 00:04:07.480]  那些才是我們的收入
[00:04:07.480 --> 00:04:09.200]  如果我們不收多
[00:04:09.200 --> 00:04:10.680]  那我們吃什麼呢?
[00:04:10.680 --> 00:04:14.400]  所以這個其實是一個很大的飯碗問題
[00:04:14.400 --> 00:04:17.400]  我相信大家在在都很明白我所說
[00:04:17.400 --> 00:04:19.200]  不是說我們不誠實
[00:04:19.200 --> 00:04:22.840]  不是說我們不為人設想
[00:04:22.840 --> 00:04:27.280]  但是這個是關乎我們的生計
[00:04:27.280 --> 00:04:30.280]  但是施浸約翰說這句話
